symbol,date,open,high,low,close,volume,marketCap
PRO,"Oct 29, 2021",$2.23,$2.27,$1.99,$2.11,"$1,446,918","$149,785,459"
PRO,"Oct 28, 2021",$2.17,$2.26,$1.95,$2.23,"$1,552,884","$158,313,085"
PRO,"Oct 27, 2021",$2.15,$2.24,$1.78,$2.18,"$1,818,840","$154,180,215"
PRO,"Oct 26, 2021",$2.32,$2.40,$2.07,$2.15,"$1,660,506","$151,985,820"
PRO,"Oct 25, 2021",$2.13,$2.32,$2.08,$2.32,"$1,545,131","$164,024,352"
PRO,"Oct 24, 2021",$2.27,$2.38,$1.97,$2.13,"$2,175,071","$150,732,397"
PRO,"Oct 23, 2021",$1.93,$2.26,$1.93,$2.26,"$1,677,570","$160,042,608"
PRO,"Oct 22, 2021",$2.16,$2.42,$1.68,$1.93,"$3,094,473","$136,603,553"
PRO,"Oct 21, 2021",$1.46,$2.18,$1.42,$2.18,"$1,900,769","$154,559,073"
PRO,"Oct 20, 2021",$1.37,$1.49,$1.35,$1.46,"$1,197,664","$103,104,119"
PRO,"Oct 19, 2021",$1.21,$1.39,$1.21,$1.37,"$810,655","$97,356,527"
PRO,"Oct 18, 2021",$1.18,$1.28,$1.17,$1.21,"$746,839","$85,884,657"
PRO,"Oct 17, 2021",$1.17,$1.23,$1.13,$1.18,"$597,487","$83,609,642"
PRO,"Oct 16, 2021",$1.18,$1.25,$1.14,$1.17,"$642,036","$82,881,453"
PRO,"Oct 15, 2021",$1.12,$1.24,$1.09,$1.18,"$669,001","$83,539,721"
PRO,"Oct 14, 2021",$1.11,$1.16,$1.09,$1.12,"$760,085","$79,078,046"
PRO,"Oct 13, 2021",$0.9938,$1.15,$0.9754,$1.11,"$1,082,084","$78,572,413"
PRO,"Oct 12, 2021",$0.9482,$1.93,$0.9153,$0.9938,"$731,198","$70,409,535"
PRO,"Oct 11, 2021",$0.8721,$0.9885,$0.8714,$0.9486,"$649,399","$67,211,628"
PRO,"Oct 10, 2021",$0.8798,$0.9119,$0.8669,$0.872,"$507,510","$61,785,054"
PRO,"Oct 09, 2021",$0.8997,$0.9184,$0.8756,$0.8799,"$541,548","$62,337,981"
PRO,"Oct 08, 2021",$0.9034,$0.9405,$0.8704,$0.8996,"$530,183","$63,738,165"
PRO,"Oct 07, 2021",$0.9762,$0.9762,$0.8898,$0.9034,"$606,535","$64,007,842"
PRO,"Oct 06, 2021",$0.9826,$1.01,$0.8879,$0.9765,"$727,433","$69,186,208"
PRO,"Oct 05, 2021",$0.9478,$1.02,$0.9249,$0.9826,"$538,407","$69,616,442"
