,symbol,date,open,high,low,close,volume,marketCap
0,PSB,"Oct 19, 2021",$0.6246,$0.6679,$0.5764,$0.6021,"$257,744",$0
1,PSB,"Oct 18, 2021",$0.6996,$0.6996,$0.5978,$0.6246,"$366,911",$0
2,PSB,"Oct 17, 2021",$0.6343,$0.7476,$0.597,$0.6996,"$448,615",$0
3,PSB,"Oct 16, 2021",$0.6843,$0.8979,$0.6024,$0.6342,"$563,494",$0
4,PSB,"Oct 15, 2021",$0.6347,$0.6844,$0.4989,$0.6843,"$533,140",$0
5,PSB,"Oct 14, 2021",$0.6024,$0.6648,$0.5212,$0.6347,"$606,054",$0
6,PSB,"Oct 13, 2021",$0.6805,$0.7231,$0.5093,$0.6023,"$577,636",$0
7,PSB,"Oct 12, 2021",$0.7526,$0.8287,$0.6629,$0.6806,"$434,167",$0
8,PSB,"Oct 11, 2021",$0.7804,$0.9035,$0.7127,$0.7527,"$466,114",$0
9,PSB,"Oct 10, 2021",$0.7261,$0.8847,$0.726,$0.7806,"$562,090",$0
10,PSB,"Oct 09, 2021",$0.6623,$0.8708,$0.647,$0.726,"$936,414",$0
11,PSB,"Oct 08, 2021",$0.7165,$16.42,$0.5678,$0.6623,"$1,214,375",$0
12,PSB,"Oct 07, 2021",$0.9064,$0.9209,$0.6918,$0.7165,"$3,252,636",$0
13,PSB,"Oct 06, 2021",$0.9419,$1.24,$0.8006,$0.9063,"$11,515,333",$0
