symbol,date,open,high,low,close,volume,marketCap
PTD,"Oct 29, 2021",$0.0356,$0.04019,$0.03435,$0.03498,"$137,536",$0
PTD,"Oct 28, 2021",$0.03517,$0.03595,$0.03458,$0.0356,"$148,765",$0
PTD,"Oct 27, 2021",$0.03588,$0.03682,$0.03445,$0.03518,"$73,256",$0
PTD,"Oct 26, 2021",$0.03619,$0.0378,$0.03527,$0.03588,"$53,863",$0
PTD,"Oct 25, 2021",$0.03838,$0.0451,$0.02881,$0.03619,"$81,585",$0
PTD,"Oct 24, 2021",$0.04006,$0.0401,$0.03673,$0.03838,"$52,043",$0
PTD,"Oct 23, 2021",$0.03603,$0.04006,$0.03507,$0.04006,"$56,209",$0
PTD,"Oct 22, 2021",$0.03623,$0.03739,$0.03521,$0.03603,"$141,390",$0
PTD,"Oct 21, 2021",$0.04166,$0.04181,$0.0342,$0.03623,"$165,874",$0
PTD,"Oct 20, 2021",$0.0388,$0.04246,$0.03728,$0.04166,"$135,621",$0
PTD,"Oct 19, 2021",$0.03629,$0.04025,$0.03627,$0.03879,"$124,671",$0
PTD,"Oct 18, 2021",$0.04149,$0.04149,$0.03619,$0.0363,"$119,261",$0
PTD,"Oct 17, 2021",$0.04103,$0.04291,$0.04027,$0.04149,"$198,628",$0
PTD,"Oct 16, 2021",$0.04118,$0.04172,$0.03869,$0.04103,"$169,901",$0
PTD,"Oct 15, 2021",$0.04271,$0.04408,$0.04009,$0.04118,"$176,502",$0
PTD,"Oct 14, 2021",$0.04222,$0.04377,$0.04126,$0.04271,"$170,289",$0
PTD,"Oct 13, 2021",$0.0419,$0.04601,$0.0413,$0.04222,"$202,954",$0
PTD,"Oct 12, 2021",$0.04263,$0.04392,$0.04083,$0.04189,"$195,573",$0
PTD,"Oct 11, 2021",$0.04756,$0.04774,$0.04257,$0.04263,"$174,565",$0
PTD,"Oct 10, 2021",$0.04808,$0.04938,$0.04661,$0.04755,"$243,712",$0
PTD,"Oct 09, 2021",$0.04563,$0.05195,$0.0451,$0.04809,"$200,149",$0
PTD,"Oct 08, 2021",$0.05367,$0.05385,$0.0453,$0.04563,"$163,138",$0
PTD,"Oct 07, 2021",$0.08144,$0.08285,$0.0483,$0.05367,"$217,155",$0
PTD,"Oct 06, 2021",$0.06418,$0.1226,$0.04836,$0.08144,"$288,364",$0
PTD,"Oct 05, 2021",$0.06603,$0.06628,$0.06286,$0.06418,"$198,327",$0
PTD,"Oct 04, 2021",$0.06475,$0.06658,$0.0645,$0.06603,"$146,405",$0
PTD,"Oct 03, 2021",$0.06876,$0.06876,$0.06437,$0.06475,"$146,252",$0
PTD,"Oct 02, 2021",$0.07151,$0.07291,$0.06769,$0.06877,"$186,222",$0
PTD,"Oct 01, 2021",$0.07272,$0.07428,$0.06938,$0.0715,"$242,903",$0
PTD,"Sep 30, 2021",$0.07543,$0.07614,$0.07233,$0.07272,"$289,868",$0
PTD,"Sep 29, 2021",$0.07595,$0.07693,$0.07378,$0.07543,"$215,998",$0
PTD,"Sep 28, 2021",$0.08101,$0.08208,$0.07485,$0.07596,"$241,747",$0
PTD,"Sep 27, 2021",$0.08666,$0.08695,$0.08084,$0.08101,"$207,516",$0
PTD,"Sep 26, 2021",$0.1014,$0.102,$0.08009,$0.08666,"$216,127",$0
PTD,"Sep 25, 2021",$0.1018,$0.1027,$0.09771,$0.1014,"$189,567",$0
PTD,"Sep 24, 2021",$0.1221,$0.1224,$0.09618,$0.1018,"$281,196",$0
PTD,"Sep 23, 2021",$0.1212,$0.1223,$0.1205,$0.1221,"$224,363",$0
PTD,"Sep 22, 2021",$0.1236,$0.124,$0.1201,$0.1212,"$223,110",$0
PTD,"Sep 21, 2021",$0.1312,$0.1326,$0.1202,$0.1236,"$269,020",$0
PTD,"Sep 20, 2021",$0.1395,$0.1395,$0.1298,$0.1312,"$319,125",$0
PTD,"Sep 19, 2021",$0.1389,$0.1399,$0.1378,$0.1395,"$248,568",$0
PTD,"Sep 18, 2021",$0.1404,$0.1447,$0.1377,$0.1389,"$244,184",$0
