symbol,date,open,high,low,close,volume,marketCap
PUX,"Oct 22, 2021",$0.00165,$0.001651,$0,$0,$0,$0
PUX,"Oct 21, 2021",$0.001531,$0.001651,$0.00153,$0.00165,"$4,226","$66,001"
PUX,"Oct 20, 2021",$0.0009791,$0.001602,$0.0009634,$0.001531,"$3,381","$61,232"
PUX,"Oct 19, 2021",$0.000975,$0.0009852,$0.0009608,$0.0009791,"$3,217","$39,164"
PUX,"Oct 18, 2021",$0.0009543,$0.001412,$0.000869,$0.000975,"$2,396","$39,002"
PUX,"Oct 17, 2021",$0.000877,$0.001489,$0.0008599,$0.0009543,"$3,798","$38,171"
PUX,"Oct 16, 2021",$0.0009142,$0.001548,$0.0008558,$0.0008771,"$2,505","$35,082"
PUX,"Oct 15, 2021",$0.000933,$0.001689,$0.0009125,$0.0009142,"$3,529","$36,569"
PUX,"Oct 14, 2021",$0.0009691,$0.001517,$0.000924,$0.000933,"$2,779","$37,322"
PUX,"Oct 13, 2021",$0.001012,$0.001675,$0.0009536,$0.0009691,"$3,008","$38,765"
PUX,"Oct 12, 2021",$0.001063,$0.001607,$0.0009922,$0.001012,"$3,502","$40,479"
PUX,"Oct 11, 2021",$0.001093,$0.001722,$0.001033,$0.001063,"$3,932","$42,506"
PUX,"Oct 10, 2021",$0.001088,$0.001102,$0.001068,$0.001093,"$3,300","$43,720"
PUX,"Oct 09, 2021",$0.001105,$0.001105,$0.001076,$0.001088,"$3,149","$43,527"
PUX,"Oct 08, 2021",$0.001099,$0.001105,$0.001076,$0.001105,"$3,495","$44,211"
PUX,"Oct 07, 2021",$0.001093,$0.001101,$0.001079,$0.001099,"$3,182","$43,975"
PUX,"Oct 06, 2021",$0.001084,$0.001101,$0.001078,$0.001093,"$3,478","$43,738"
PUX,"Oct 05, 2021",$0.001097,$0.0011,$0.001078,$0.001085,"$3,341","$43,381"
PUX,"Oct 04, 2021",$0.001251,$0.001287,$0.001044,$0.001097,"$3,589","$43,875"
PUX,"Oct 03, 2021",$0.001193,$0.001266,$0.001177,$0.001251,"$3,280","$50,053"
PUX,"Oct 02, 2021",$0.001282,$0.00129,$0.001179,$0.001194,"$3,309","$47,741"
PUX,"Oct 01, 2021",$0.001272,$0.00129,$0.001268,$0.001282,"$3,065","$51,285"
PUX,"Sep 30, 2021",$0.001266,$0.001283,$0.00126,$0.001272,"$2,590","$50,878"
