,symbol,date,open,high,low,close,volume,marketCap
0,QHC,"Oct 20, 2021",$0.00286,$0.003097,$0.002073,$0.002195,"$1,042",$0
1,QHC,"Oct 19, 2021",$0.002764,$0.002867,$0.002501,$0.00286,"$8,434",$0
2,QHC,"Oct 18, 2021",$0.003235,$0.003247,$0.002701,$0.002764,"$6,616",$0
3,QHC,"Oct 17, 2021",$0.002179,$0.003236,$0.002179,$0.003235,"$1,394",$0
4,QHC,"Oct 16, 2021",$0.002151,$0.003838,$0.001999,$0.002179,"$1,407",$0
5,QHC,"Oct 15, 2021",$0.002183,$0.002491,$0.002018,$0.002151,"$3,219",$0
6,QHC,"Oct 14, 2021",$0.002183,$0.002184,$0.002182,$0.002183,$0,$0
7,QHC,"Oct 13, 2021",$0.0021,$0.002513,$0.002099,$0.002183,$341,$0
8,QHC,"Oct 12, 2021",$0.002879,$0.002897,$0.002011,$0.0021,$316,$0
9,QHC,"Oct 11, 2021",$0.002281,$0.004058,$0.00199,$0.002879,"$2,616",$0
10,QHC,"Oct 10, 2021",$0.002815,$0.002816,$0.001855,$0.002281,"$3,112",$0
11,QHC,"Oct 09, 2021",$0.002501,$0.003017,$0.001851,$0.002815,$772,$0
12,QHC,"Oct 08, 2021",$0.002171,$0.004112,$0.001852,$0.002501,$201,$0
13,QHC,"Oct 07, 2021",$0.00203,$0.004998,$0.002029,$0.002171,$763,$0
14,QHC,"Oct 06, 2021",$0.00229,$0.002707,$0.001602,$0.00203,"$2,904",$0
15,QHC,"Oct 05, 2021",$0.001684,$0.003312,$0.001608,$0.00229,"$2,946",$0
16,QHC,"Oct 04, 2021",$0.002811,$0.002811,$0.001653,$0.001684,"$1,131",$0
17,QHC,"Oct 03, 2021",$0.002753,$0.003022,$0.0027,$0.002811,$751,$0
18,QHC,"Oct 02, 2021",$0.003444,$0.003813,$0.002577,$0.002753,$336,$0
19,QHC,"Oct 01, 2021",$0.003443,$0.005222,$0.003442,$0.003443,"$1,581",$0
20,QHC,"Sep 30, 2021",$0.002696,$0.004894,$0.001601,$0.003443,"$2,248",$0
21,QHC,"Sep 29, 2021",$0.003084,$0.006301,$0.001684,$0.002696,"$8,204",$0
22,QHC,"Sep 28, 2021",$0.00392,$0.00394,$0.001397,$0.003084,"$4,085",$0
23,QHC,"Sep 27, 2021",$0.005569,$0.005572,$0.002765,$0.00392,"$7,863",$0
24,QHC,"Sep 26, 2021",$0.004088,$0.006038,$0.002906,$0.005569,"$2,104",$0
25,QHC,"Sep 25, 2021",$0.004475,$0.006685,$0.003299,$0.004088,"$1,332",$0
26,QHC,"Sep 24, 2021",$0.004067,$0.004502,$0.004,$0.004475,"$7,419",$0
27,QHC,"Sep 23, 2021",$0.004987,$0.00499,$0.00406,$0.004067,$912,$0
28,QHC,"Sep 22, 2021",$0.004499,$0.005027,$0.004039,$0.004987,"$1,797",$0
29,QHC,"Sep 21, 2021",$0.004869,$0.005032,$0.003997,$0.0045,"$2,510",$0
30,QHC,"Sep 20, 2021",$0.005051,$0.008995,$0.004868,$0.004869,"$6,494",$0
31,QHC,"Sep 19, 2021",$0.005038,$0.005769,$0.005031,$0.005051,"$5,461",$0
32,QHC,"Sep 18, 2021",$0.005095,$0.005712,$0.005029,$0.005039,"$9,792",$0
33,QHC,"Sep 17, 2021",$0.005131,$0.005154,$0.005086,$0.005095,"$16,722",$0
34,QHC,"Sep 16, 2021",$0.005132,$0.005154,$0.005096,$0.005131,"$16,355",$0
35,QHC,"Sep 15, 2021",$0.005252,$0.005253,$0.005132,$0.005132,"$12,349",$0
36,QHC,"Sep 14, 2021",$0.005286,$0.005337,$0.00525,$0.005252,"$5,506",$0
37,QHC,"Sep 13, 2021",$0.005659,$0.005729,$0.005169,$0.005287,"$17,766",$0
38,QHC,"Sep 12, 2021",$0.005787,$0.005788,$0.005021,$0.005659,"$15,903",$0
39,QHC,"Sep 11, 2021",$0.005784,$0.005787,$0.005779,$0.005787,"$18,281",$0
40,QHC,"Sep 10, 2021",$0.005785,$0.00579,$0.00578,$0.005783,"$14,931",$0
41,QHC,"Sep 09, 2021",$0.005779,$0.005793,$0.005777,$0.005785,"$14,145",$0
42,QHC,"Sep 08, 2021",$0.005781,$0.005782,$0.005778,$0.005779,"$12,343",$0
43,QHC,"Sep 07, 2021",$0.005777,$0.005786,$0.005776,$0.005782,"$17,590",$0
44,QHC,"Sep 06, 2021",$0.005775,$0.005782,$0.005774,$0.005777,"$18,396",$0
45,QHC,"Sep 05, 2021",$0.005777,$0.005778,$0.005767,$0.005775,"$17,616",$0
46,QHC,"Sep 04, 2021",$0.005783,$0.005795,$0.005772,$0.005776,"$17,446",$0
47,QHC,"Sep 03, 2021",$0.005786,$0.005793,$0.005773,$0.005784,"$15,845",$0
48,QHC,"Sep 02, 2021",$0.005783,$0.0058,$0.005781,$0.005786,"$18,124",$0
49,QHC,"Sep 01, 2021",$0.005786,$0.005791,$0.005771,$0.005783,"$17,969",$0
50,QHC,"Aug 31, 2021",$0.005785,$0.005794,$0.00577,$0.005785,"$18,056",$0
51,QHC,"Aug 30, 2021",$0.005791,$0.005801,$0.005782,$0.005785,"$18,529",$0
52,QHC,"Aug 29, 2021",$0.005798,$0.005802,$0.005786,$0.00579,"$18,055",$0
53,QHC,"Aug 28, 2021",$0.005786,$0.005798,$0.005778,$0.005797,"$16,643",$0
