symbol,date,open,high,low,close,volume,marketCap
QNT,"Oct 29, 2021",$291.78,$295.26,$281.73,$287.09,"$58,569,396","$3,465,990,525"
QNT,"Oct 28, 2021",$283.01,$294.83,$280.54,$291.22,"$73,785,884","$3,515,848,956"
QNT,"Oct 27, 2021",$315.56,$316.32,$280.21,$281.22,"$86,813,191","$3,395,106,663"
QNT,"Oct 26, 2021",$312.15,$325.74,$306.90,$315.65,"$79,504,115","$3,810,770,240"
QNT,"Oct 25, 2021",$290.63,$320.88,$290.16,$314.00,"$101,771,977","$3,790,869,629"
QNT,"Oct 24, 2021",$296.93,$307.06,$287.15,$290.64,"$56,653,579","$3,508,880,815"
QNT,"Oct 23, 2021",$287.49,$302.64,$285.82,$297.12,"$53,376,739","$3,587,061,639"
QNT,"Oct 22, 2021",$286.88,$292.91,$280.55,$287.31,"$52,286,049","$3,468,562,765"
QNT,"Oct 21, 2021",$295.40,$296.43,$284.99,$286.33,"$58,258,256","$3,456,749,998"
QNT,"Oct 20, 2021",$285.05,$302.86,$280.23,$295.48,"$67,300,124","$3,567,202,614"
QNT,"Oct 19, 2021",$290.40,$294.58,$280.38,$285.32,"$54,949,753","$3,444,571,931"
QNT,"Oct 18, 2021",$300.89,$306.22,$288.97,$289.92,"$56,682,498","$3,500,103,631"
QNT,"Oct 17, 2021",$308.22,$321.95,$291.65,$301.27,"$77,738,262","$3,637,167,039"
QNT,"Oct 16, 2021",$289.24,$328.06,$284.93,$308.61,"$84,114,531","$3,725,729,695"
QNT,"Oct 15, 2021",$290.32,$297.19,$275.17,$288.96,"$70,329,016","$3,488,540,759"
QNT,"Oct 14, 2021",$281.79,$299.77,$275.04,$290.13,"$61,651,293","$3,502,654,298"
QNT,"Oct 13, 2021",$280.87,$287.60,$269.83,$281.53,"$54,002,445","$3,398,807,377"
QNT,"Oct 12, 2021",$288.70,$288.81,$264.87,$280.04,"$78,257,585","$3,380,803,641"
QNT,"Oct 11, 2021",$294.30,$301.22,$285.00,$288.77,"$62,029,318","$3,486,212,867"
QNT,"Oct 10, 2021",$299.14,$308.02,$291.48,$294.64,"$58,216,685","$3,557,166,300"
QNT,"Oct 09, 2021",$310.70,$314.94,$296.21,$299.54,"$65,418,377","$3,616,282,725"
QNT,"Oct 08, 2021",$288.53,$329.89,$287.88,$311.24,"$102,855,210","$3,757,510,836"
QNT,"Oct 07, 2021",$291.60,$301.81,$285.27,$288.15,"$64,535,403","$3,478,750,709"
QNT,"Oct 06, 2021",$303.97,$308.62,$288.41,$291.84,"$72,431,745","$3,523,252,161"
QNT,"Oct 05, 2021",$305.45,$315.27,$298.46,$303.33,"$66,647,039","$3,662,016,574"
QNT,"Oct 04, 2021",$316.66,$316.84,$290.19,$305.27,"$78,889,608","$3,685,415,154"
QNT,"Oct 03, 2021",$317.77,$330.05,$314.35,$316.68,"$65,593,354","$3,823,151,598"
QNT,"Oct 02, 2021",$310.92,$344.15,$303.21,$317.82,"$85,141,480","$3,836,909,124"
QNT,"Oct 01, 2021",$290.22,$313.71,$281.98,$310.33,"$87,903,362","$3,746,482,873"
QNT,"Sep 30, 2021",$271.79,$293.22,$271.79,$289.94,"$72,452,352","$3,500,400,177"
QNT,"Sep 29, 2021",$277.01,$293.93,$267.86,$271.78,"$67,433,247","$3,281,090,861"
QNT,"Sep 28, 2021",$294.35,$303.87,$276.02,$276.85,"$62,186,222","$3,342,294,835"
QNT,"Sep 27, 2021",$294.05,$326.06,$291.35,$294.34,"$85,128,618","$3,553,464,322"
QNT,"Sep 26, 2021",$301.37,$305.03,$280.72,$294.61,"$78,546,685","$3,556,732,130"
QNT,"Sep 25, 2021",$317.17,$317.35,$293.02,$301.36,"$56,402,788","$3,638,187,489"
QNT,"Sep 24, 2021",$336.48,$338.22,$284.57,$317.18,"$128,613,043","$3,829,262,603"
QNT,"Sep 23, 2021",$312.13,$350.18,$304.66,$337.40,"$116,441,402","$4,073,330,123"
QNT,"Sep 22, 2021",$264.67,$316.58,$260.63,$312.53,"$141,213,821","$3,773,033,095"
QNT,"Sep 21, 2021",$290.73,$319.33,$255.23,$266.42,"$154,369,116","$3,216,387,606"
QNT,"Sep 20, 2021",$347.16,$348.21,$265.78,$289.38,"$249,773,838","$3,493,596,223"
QNT,"Sep 19, 2021",$362.14,$365.89,$343.09,$347.73,"$67,530,191","$4,198,004,273"
QNT,"Sep 18, 2021",$345.88,$376.85,$343.49,$362.31,"$82,497,116","$4,374,106,766"
QNT,"Sep 17, 2021",$367.50,$368.63,$340.73,$345.86,"$91,710,811","$4,175,494,196"
QNT,"Sep 16, 2021",$366.78,$376.50,$354.10,$367.47,"$108,238,659","$4,436,318,924"
QNT,"Sep 15, 2021",$374.05,$377.14,$354.34,$367.40,"$103,030,865","$4,435,546,922"
QNT,"Sep 14, 2021",$382.11,$416.27,$356.73,$376.02,"$233,501,561","$4,539,647,516"
QNT,"Sep 13, 2021",$357.15,$382.20,$325.05,$382.20,"$173,218,811","$4,614,249,266"
QNT,"Sep 12, 2021",$384.98,$386.58,$355.83,$357.42,"$123,755,056","$4,315,005,762"
QNT,"Sep 11, 2021",$394.83,$428.38,$361.03,$384.92,"$358,431,248","$4,647,010,734"
QNT,"Sep 10, 2021",$313.66,$406.85,$310.18,$393.54,"$400,255,294","$4,751,070,746"
QNT,"Sep 09, 2021",$308.41,$333.57,$295.29,$314.05,"$190,309,326","$3,791,394,259"
QNT,"Sep 08, 2021",$354.08,$357.21,$289.46,$313.09,"$225,251,076","$3,779,821,186"
QNT,"Sep 07, 2021",$325.77,$357.05,$279.52,$354.37,"$317,732,206","$4,278,186,713"
QNT,"Sep 06, 2021",$319.08,$384.76,$302.80,$325.42,"$606,818,194","$3,928,672,212"
QNT,"Sep 05, 2021",$223.31,$329.11,$221.24,$317.78,"$493,015,962","$3,836,433,478"
QNT,"Sep 04, 2021",$187.42,$226.08,$186.69,$222.89,"$103,862,150","$2,690,898,099"
QNT,"Sep 03, 2021",$186.46,$188.47,$182.14,$186.96,"$45,779,764","$2,257,074,330"
QNT,"Sep 02, 2021",$187.52,$194.85,$183.09,$186.17,"$40,001,147","$2,247,545,769"
QNT,"Sep 01, 2021",$182.13,$188.29,$179.58,$187.64,"$43,475,234","$2,265,271,627"
QNT,"Aug 31, 2021",$183.84,$188.14,$177.47,$182.11,"$42,083,669","$2,198,535,125"
QNT,"Aug 30, 2021",$190.14,$191.51,$183.42,$183.68,"$38,616,324","$2,217,548,212"
QNT,"Aug 29, 2021",$194.49,$196.06,$188.69,$190.23,"$30,059,510","$2,296,545,973"
QNT,"Aug 28, 2021",$195.59,$196.94,$191.39,$194.38,"$28,835,536","$2,346,693,689"
QNT,"Aug 27, 2021",$186.25,$198.11,$180.61,$195.59,"$45,002,590","$2,361,342,295"
QNT,"Aug 26, 2021",$194.28,$196.61,$183.20,$186.64,"$44,525,758","$2,253,261,551"
QNT,"Aug 25, 2021",$205.91,$212.15,$187.70,$194.38,"$79,915,766","$2,346,706,520"
QNT,"Aug 24, 2021",$181.77,$208.60,$178.57,$205.77,"$111,172,719","$2,484,154,648"
QNT,"Aug 23, 2021",$183.41,$188.00,$180.01,$181.96,"$43,731,088","$2,196,768,036"
QNT,"Aug 22, 2021",$186.82,$190.24,$179.26,$183.32,"$39,071,432","$2,213,164,898"
QNT,"Aug 21, 2021",$192.22,$194.97,$183.74,$186.80,"$41,820,734","$2,255,174,913"
QNT,"Aug 20, 2021",$178.28,$195.75,$178.18,$192.28,"$54,071,678","$2,321,389,989"
QNT,"Aug 19, 2021",$182.98,$190.12,$178.16,$178.86,"$63,499,808","$2,159,333,768"
QNT,"Aug 18, 2021",$165.14,$202.40,$165.14,$183.78,"$179,930,728","$2,218,692,863"
QNT,"Aug 17, 2021",$153.24,$166.81,$149.71,$165.14,"$47,571,369","$1,993,684,923"
QNT,"Aug 16, 2021",$165.10,$165.10,$150.08,$153.23,"$39,673,618","$1,849,895,845"
QNT,"Aug 15, 2021",$150.61,$166.18,$147.56,$165.49,"$46,785,845","$1,997,901,617"
QNT,"Aug 14, 2021",$153.88,$157.33,$150.11,$150.64,"$36,377,265","$1,818,618,059"
QNT,"Aug 13, 2021",$150.95,$159.89,$147.69,$153.88,"$38,280,264","$1,857,808,796"
QNT,"Aug 12, 2021",$154.83,$156.97,$145.41,$150.94,"$38,689,220","$1,822,311,757"
QNT,"Aug 11, 2021",$153.18,$164.65,$153.06,$154.83,"$41,193,105","$1,869,173,627"
QNT,"Aug 10, 2021",$151.86,$164.35,$149.61,$153.26,"$47,975,093","$1,850,319,448"
QNT,"Aug 09, 2021",$152.01,$166.05,$142.72,$151.76,"$56,703,324","$1,832,201,736"
QNT,"Aug 08, 2021",$155.68,$162.77,$147.19,$151.99,"$47,626,392","$1,834,930,013"
QNT,"Aug 07, 2021",$162.05,$166.26,$151.23,$155.70,"$58,846,888","$1,879,693,439"
QNT,"Aug 06, 2021",$173.17,$174.99,$161.38,$161.76,"$59,216,337","$1,952,922,217"
QNT,"Aug 05, 2021",$178.04,$180.85,$169.01,$173.94,"$56,996,655","$2,099,942,579"
QNT,"Aug 04, 2021",$166.51,$185.05,$156.34,$178.44,"$91,245,753","$2,154,274,856"
QNT,"Aug 03, 2021",$157.02,$173.76,$145.21,$166.52,"$81,901,043","$2,010,376,290"
QNT,"Aug 02, 2021",$175.74,$191.69,$143.71,$156.84,"$147,112,781","$1,893,439,691"
QNT,"Aug 01, 2021",$135.04,$179.71,$135.04,$176.42,"$169,652,610","$2,129,851,133"
QNT,"Jul 31, 2021",$129.64,$139.77,$125.00,$135.06,"$37,462,375","$1,630,526,835"
QNT,"Jul 30, 2021",$134.17,$137.44,$121.14,$129.72,"$67,350,881","$1,566,082,645"
QNT,"Jul 29, 2021",$98.68,$147.77,$96.10,$134.36,"$224,503,944","$1,622,109,612"
QNT,"Jul 28, 2021",$93.77,$98.89,$93.12,$98.89,"$19,824,266","$1,193,899,252"
QNT,"Jul 27, 2021",$89.35,$96.51,$84.99,$93.72,"$15,574,298","$1,131,505,237"
QNT,"Jul 26, 2021",$95.69,$99.72,$87.49,$89.38,"$26,505,330","$1,079,103,207"
QNT,"Jul 25, 2021",$82.51,$97.55,$81.86,$96.00,"$29,916,550","$1,159,036,796"
QNT,"Jul 24, 2021",$74.87,$83.38,$74.69,$82.50,"$14,907,110","$996,016,873"
QNT,"Jul 23, 2021",$73.27,$75.60,$71.95,$74.89,"$12,238,343","$904,088,614"
QNT,"Jul 22, 2021",$73.43,$74.30,$71.96,$73.28,"$9,906,802","$884,662,926"
QNT,"Jul 21, 2021",$68.16,$74.57,$67.24,$73.43,"$13,676,943","$886,497,115"
QNT,"Jul 20, 2021",$66.27,$74.10,$56.37,$68.16,"$23,179,810","$822,820,828"
QNT,"Jul 19, 2021",$70.00,$70.15,$66.02,$66.27,"$10,413,187","$800,068,425"
QNT,"Jul 18, 2021",$69.33,$72.41,$69.07,$70.01,"$7,880,628","$845,220,928"
QNT,"Jul 17, 2021",$70.62,$71.08,$68.67,$69.32,"$7,968,578","$836,924,288"
QNT,"Jul 16, 2021",$71.61,$72.69,$69.66,$70.62,"$13,061,116","$852,603,585"
QNT,"Jul 15, 2021",$76.36,$79.41,$70.84,$71.55,"$8,800,964","$863,855,233"
QNT,"Jul 14, 2021",$72.54,$76.35,$68.73,$76.35,"$9,033,190","$921,785,204"
QNT,"Jul 13, 2021",$76.90,$76.92,$71.60,$72.44,"$7,650,420","$874,502,850"
QNT,"Jul 12, 2021",$79.33,$79.41,$72.83,$76.89,"$8,096,117","$928,325,916"
QNT,"Jul 11, 2021",$80.92,$81.19,$78.96,$79.33,"$6,807,064","$957,701,172"
QNT,"Jul 10, 2021",$77.34,$81.44,$77.13,$80.90,"$8,225,078","$976,684,890"
