,symbol,date,open,high,low,close,volume,marketCap
0,QRK,"Oct 19, 2021",$0.03494,$0.0431,$0.03419,$0.03855,"$1,853","$10,615,099"
1,QRK,"Oct 18, 2021",$0.03692,$0.04172,$0.03485,$0.03492,"$1,906","$9,615,744"
2,QRK,"Oct 17, 2021",$0.04019,$0.04092,$0.03537,$0.03693,"$1,707","$10,162,039"
3,QRK,"Oct 16, 2021",$0.03952,$0.04032,$0.03502,$0.04018,"$1,549","$11,058,107"
4,QRK,"Oct 15, 2021",$0.03783,$0.04029,$0.03369,$0.03954,"$1,944","$10,880,087"
5,QRK,"Oct 14, 2021",$0.03442,$0.039,$0.03372,$0.03784,"$1,656","$10,413,183"
6,QRK,"Oct 13, 2021",$0.03462,$0.03768,$0.0317,$0.03443,"$1,354","$9,473,266"
7,QRK,"Oct 12, 2021",$0.03449,$0.03861,$0.03212,$0.03463,"$1,292","$9,529,817"
8,QRK,"Oct 11, 2021",$0.03387,$0.03812,$0.03255,$0.03448,"$1,617","$9,486,936"
9,QRK,"Oct 10, 2021",$0.03226,$0.03727,$0.03188,$0.03389,"$1,250","$9,325,676"
10,QRK,"Oct 09, 2021",$0.03237,$0.03666,$0.0321,$0.03226,"$1,565","$8,875,178"
11,QRK,"Oct 08, 2021",$0.03115,$0.03725,$0.03112,$0.03236,"$1,637","$8,902,626"
12,QRK,"Oct 07, 2021",$0.03369,$0.0366,$0.03108,$0.03115,"$1,590","$8,569,367"
13,QRK,"Oct 06, 2021",$0.02988,$0.03676,$0.0297,$0.03371,"$1,705","$9,273,552"
14,QRK,"Oct 05, 2021",$0.02942,$0.03415,$0.02892,$0.02986,"$1,130","$8,215,877"
15,QRK,"Oct 04, 2021",$0.02837,$0.03295,$0.02784,$0.02942,"$1,399","$8,092,914"
16,QRK,"Oct 03, 2021",$0.02767,$0.03224,$0.02765,$0.02837,"$1,431","$7,803,269"
17,QRK,"Oct 02, 2021",$0.03023,$0.03234,$0.02761,$0.02768,"$1,280","$7,614,879"
18,QRK,"Oct 01, 2021",$0.02934,$0.03155,$0.02556,$0.03024,"$1,242","$8,318,362"
19,QRK,"Sep 30, 2021",$0.02781,$0.02941,$0.006025,$0.02933,"$1,161","$8,067,421"
20,QRK,"Sep 29, 2021",$0.02585,$0.02845,$0.02374,$0.02778,$849,"$7,641,608"
21,QRK,"Sep 28, 2021",$0.0245,$0.02865,$0.02419,$0.02581,"$1,277","$7,099,552"
22,QRK,"Sep 27, 2021",$0.02494,$0.0295,$0.02447,$0.0245,"$1,306","$6,736,807"
23,QRK,"Sep 26, 2021",$0.02776,$0.02911,$0.02434,$0.02495,"$1,177","$6,861,617"
24,QRK,"Sep 25, 2021",$0.02483,$0.02864,$0.02446,$0.02776,"$1,145","$7,631,638"
25,QRK,"Sep 24, 2021",$0.02694,$0.03,$0.02469,$0.02483,"$1,019","$6,825,201"
26,QRK,"Sep 23, 2021",$0.02527,$0.0301,$0.02519,$0.02694,"$1,332","$7,391,150"
27,QRK,"Sep 22, 2021",$0.0242,$0.02946,$0.02417,$0.02528,"$1,210","$6,935,108"
28,QRK,"Sep 21, 2021",$0.02485,$0.02833,$0.02215,$0.02412,"$1,177","$6,616,665"
29,QRK,"Sep 20, 2021",$0.03072,$0.0312,$0.02475,$0.02487,"$1,203","$6,822,755"
30,QRK,"Sep 19, 2021",$0.02949,$0.0322,$0.02651,$0.03073,"$1,310","$8,429,235"
31,QRK,"Sep 18, 2021",$0.02978,$0.03217,$0.02698,$0.02947,"$1,673","$8,084,922"
32,QRK,"Sep 17, 2021",$0.0301,$0.03318,$0.0281,$0.02975,"$1,161","$8,161,645"
