symbol,date,open,high,low,close,volume,marketCap
QSD,"Oct 29, 2021",$1.03,$1.10,$1.02,$1.02,$0,$0
QSD,"Oct 28, 2021",$0.9758,$1.03,$0.9743,$1.03,$0,$0
QSD,"Oct 27, 2021",$1.01,$1.03,$0.9742,$0.9759,$0,$0
QSD,"Oct 26, 2021",$1.02,$1.03,$1.01,$1.01,$0,$0
QSD,"Oct 25, 2021",$1.01,$1.03,$1.01,$1.02,$0,$0
QSD,"Oct 24, 2021",$1.02,$1.03,$1.00,$1.01,$0,$0
QSD,"Oct 23, 2021",$1.02,$1.02,$1.01,$1.02,$0,$0
QSD,"Oct 22, 2021",$0.9989,$1.02,$0.9905,$1.02,"$4,619",$0
QSD,"Oct 21, 2021",$1.01,$1.01,$0.9956,$0.9995,$0,$0
QSD,"Oct 20, 2021",$1.01,$1.04,$1.00,$1.01,"$3,793",$0
QSD,"Oct 19, 2021",$1.02,$1.03,$1.00,$1.01,$0,$0
QSD,"Oct 18, 2021",$0.9803,$1.02,$0.9794,$1.02,$0,$0
QSD,"Oct 17, 2021",$0.988,$0.9882,$0.9793,$0.9803,$40,$0
QSD,"Oct 16, 2021",$0.9854,$0.9897,$0.9849,$0.9879,$430,$0
QSD,"Oct 15, 2021",$0.9871,$0.9871,$0.9839,$0.9854,$873,$0
QSD,"Oct 14, 2021",$0.9861,$0.9989,$0.9782,$0.9871,$521,$0
QSD,"Oct 13, 2021",$0.9827,$1.00,$0.9768,$0.9861,"$1,405",$0
QSD,"Oct 12, 2021",$0.9893,$0.9896,$0.9782,$0.9828,$891,$0
QSD,"Oct 11, 2021",$0.9835,$0.9895,$0.9803,$0.9893,"$4,716",$0
QSD,"Oct 10, 2021",$0.986,$0.9861,$0.9818,$0.9836,$277,$0
QSD,"Oct 09, 2021",$0.9848,$1.00,$0.9847,$0.9858,$169,$0
QSD,"Oct 08, 2021",$0.9885,$0.9888,$0.9835,$0.9849,$567,$0
