symbol,date,open,high,low,close,volume,marketCap
RAK,"Oct 29, 2021",$13.11,$14.51,$12.91,$13.02,"$170,878",$0
RAK,"Oct 28, 2021",$13.58,$13.85,$12.92,$13.11,"$173,709",$0
RAK,"Oct 27, 2021",$15.02,$15.17,$13.53,$13.58,"$178,017",$0
RAK,"Oct 26, 2021",$14.29,$15.33,$13.79,$15.02,"$187,174",$0
RAK,"Oct 25, 2021",$14.38,$15.99,$13.52,$14.29,"$166,479",$0
RAK,"Oct 24, 2021",$14.80,$17.09,$13.70,$14.38,"$190,590",$0
RAK,"Oct 23, 2021",$14.90,$15.54,$14.16,$14.80,"$184,342",$0
RAK,"Oct 22, 2021",$15.66,$15.92,$14.74,$14.90,"$174,563",$0
RAK,"Oct 21, 2021",$15.15,$16.08,$14.90,$15.66,"$206,270",$0
RAK,"Oct 20, 2021",$16.29,$17.40,$14.59,$15.15,"$196,361",$0
RAK,"Oct 19, 2021",$15.69,$16.72,$14.31,$16.29,"$212,681",$0
RAK,"Oct 18, 2021",$18.09,$18.90,$14.59,$15.69,"$268,738",$0
RAK,"Oct 17, 2021",$12.22,$21.89,$11.29,$18.09,"$385,648",$0
RAK,"Oct 16, 2021",$12.16,$12.69,$11.49,$12.22,"$167,112",$0
RAK,"Oct 15, 2021",$11.96,$13.14,$11.35,$12.16,"$213,097",$0
RAK,"Oct 14, 2021",$12.13,$12.45,$11.87,$11.96,"$171,717",$0
RAK,"Oct 13, 2021",$12.90,$13.22,$11.83,$12.13,"$188,936",$0
RAK,"Oct 12, 2021",$13.53,$13.60,$12.13,$12.90,"$181,784",$0
RAK,"Oct 11, 2021",$12.42,$15.13,$12.26,$13.53,"$185,899",$0
RAK,"Oct 10, 2021",$12.45,$15.28,$11.57,$12.42,"$235,084",$0
RAK,"Oct 09, 2021",$12.75,$13.29,$12.39,$12.45,"$194,339",$0
RAK,"Oct 08, 2021",$12.67,$15.11,$11.30,$12.75,"$194,033",$0
RAK,"Oct 07, 2021",$14.13,$14.51,$12.58,$12.67,"$168,493",$0
RAK,"Oct 06, 2021",$15.10,$15.35,$13.10,$14.13,"$223,976",$0
RAK,"Oct 05, 2021",$15.56,$15.76,$14.08,$15.10,"$227,699",$0
RAK,"Oct 04, 2021",$16.51,$17.76,$14.30,$15.56,"$273,329",$0
RAK,"Oct 03, 2021",$10.23,$23.09,$9.92,$16.51,"$353,492",$0
RAK,"Oct 02, 2021",$10.31,$10.98,$9.75,$10.24,"$141,445",$0
RAK,"Oct 01, 2021",$10.16,$10.35,$9.89,$10.31,"$188,997",$0
RAK,"Sep 30, 2021",$9.74,$11.39,$9.68,$10.16,"$208,120",$0
RAK,"Sep 29, 2021",$10.08,$10.09,$9.32,$9.74,"$152,493",$0
RAK,"Sep 28, 2021",$10.11,$10.50,$9.63,$10.08,"$163,144",$0
RAK,"Sep 27, 2021",$10.40,$10.96,$9.72,$10.11,"$151,725",$0
RAK,"Sep 26, 2021",$10.97,$13.47,$9.89,$10.40,"$161,613",$0
RAK,"Sep 25, 2021",$11.57,$11.90,$10.85,$10.97,"$138,236",$0
RAK,"Sep 24, 2021",$11.29,$12.57,$10.50,$11.57,"$190,942",$0
RAK,"Sep 23, 2021",$12.03,$12.18,$10.78,$11.29,"$155,514",$0
RAK,"Sep 22, 2021",$13.36,$13.40,$10.64,$12.03,"$165,759",$0
RAK,"Sep 21, 2021",$14.00,$14.17,$13.25,$13.36,"$196,378",$0
RAK,"Sep 20, 2021",$13.59,$14.35,$13.44,$14.00,"$252,120",$0
RAK,"Sep 19, 2021",$13.52,$14.04,$13.30,$13.58,"$188,718",$0
RAK,"Sep 18, 2021",$13.54,$13.78,$12.77,$13.52,"$193,682",$0
RAK,"Sep 17, 2021",$13.81,$14.32,$13.46,$13.54,"$185,102",$0
RAK,"Sep 16, 2021",$13.76,$14.32,$13.72,$13.81,"$189,597",$0
