,symbol,date,open,high,low,close,volume,marketCap
0,RNT,"Oct 19, 2021",$0.002873,$0.002959,$0.002585,$0.002812,"$154,632","$798,694"
1,RNT,"Oct 18, 2021",$0.003136,$0.003514,$0.002835,$0.002875,"$377,583","$816,609"
2,RNT,"Oct 17, 2021",$0.002601,$0.003566,$0.002431,$0.003125,"$435,286","$887,592"
3,RNT,"Oct 16, 2021",$0.002456,$0.002733,$0.002237,$0.002603,"$182,747","$739,514"
4,RNT,"Oct 15, 2021",$0.00305,$0.0034,$0.002076,$0.002458,"$321,692","$698,324"
5,RNT,"Oct 14, 2021",$0.002403,$0.003435,$0.002323,$0.00303,"$331,055","$860,848"
6,RNT,"Oct 13, 2021",$0.002547,$0.002547,$0.002309,$0.002402,"$191,042","$682,439"
7,RNT,"Oct 12, 2021",$0.002581,$0.002637,$0.002271,$0.002548,"$239,993","$723,902"
8,RNT,"Oct 11, 2021",$0.00256,$0.002631,$0.00243,$0.00258,"$283,018","$733,019"
9,RNT,"Oct 10, 2021",$0.002919,$0.003,$0.002519,$0.002554,"$464,553","$725,529"
10,RNT,"Oct 09, 2021",$0.002959,$0.003549,$0.002612,$0.002946,"$851,405","$836,999"
11,RNT,"Oct 08, 2021",$0.001968,$0.003467,$0.001908,$0.002959,"$830,424","$840,596"
12,RNT,"Oct 07, 2021",$0.001901,$0.002043,$0.001794,$0.001969,"$106,881","$559,228"
13,RNT,"Oct 06, 2021",$0.001791,$0.00196,$0.001774,$0.001899,"$88,574","$539,548"
14,RNT,"Oct 05, 2021",$0.001822,$0.001981,$0.00175,$0.001792,"$74,371","$509,071"
15,RNT,"Oct 04, 2021",$0.001772,$0.001852,$0.001686,$0.001821,"$78,609","$517,374"
16,RNT,"Oct 03, 2021",$0.001815,$0.001825,$0.001662,$0.001771,"$78,360","$502,999"
17,RNT,"Oct 02, 2021",$0.00178,$0.001855,$0.001771,$0.001816,"$72,820","$515,885"
18,RNT,"Oct 01, 2021",$0.001834,$0.001861,$0.001684,$0.001779,"$67,798","$505,464"
19,RNT,"Sep 30, 2021",$0.001753,$0.001884,$0.001659,$0.001836,"$80,565","$521,593"
20,RNT,"Sep 29, 2021",$0.001835,$0.001893,$0.001742,$0.001752,"$100,369","$497,569"
21,RNT,"Sep 28, 2021",$0.001775,$0.00184,$0.001715,$0.001836,"$122,450","$521,529"
22,RNT,"Sep 27, 2021",$0.001783,$0.001889,$0.001725,$0.001775,"$116,176","$504,298"
23,RNT,"Sep 26, 2021",$0.001912,$0.001912,$0.00162,$0.001782,"$159,990","$506,180"
24,RNT,"Sep 25, 2021",$0.002059,$0.002081,$0.001878,$0.001908,"$65,887","$542,101"
25,RNT,"Sep 24, 2021",$0.002081,$0.002102,$0.001952,$0.002061,"$68,072","$585,539"
26,RNT,"Sep 23, 2021",$0.002049,$0.002112,$0.001994,$0.002085,"$74,635","$592,393"
27,RNT,"Sep 22, 2021",$0.001986,$0.002083,$0.001937,$0.002046,"$115,845","$581,139"
28,RNT,"Sep 21, 2021",$0.001987,$0.00203,$0.001911,$0.001987,"$123,558","$564,586"
29,RNT,"Sep 20, 2021",$0.002107,$0.002133,$0.00186,$0.001984,"$212,600","$563,472"
30,RNT,"Sep 19, 2021",$0.002118,$0.002222,$0.002063,$0.002109,"$133,870","$599,016"
31,RNT,"Sep 18, 2021",$0.002054,$0.002197,$0.002044,$0.002121,"$125,448","$602,596"
32,RNT,"Sep 17, 2021",$0.002034,$0.002096,$0.002018,$0.002057,"$109,617","$584,338"
33,RNT,"Sep 16, 2021",$0.002099,$0.002199,$0.002016,$0.002034,"$82,578","$577,678"
34,RNT,"Sep 15, 2021",$0.00215,$0.002339,$0.00202,$0.002102,"$67,693","$597,141"
35,RNT,"Sep 14, 2021",$0.002028,$0.002214,$0.001921,$0.00215,"$87,970","$610,642"
36,RNT,"Sep 13, 2021",$0.002085,$0.002284,$0.001942,$0.002029,"$118,756","$576,351"
37,RNT,"Sep 12, 2021",$0.002137,$0.002379,$0.002025,$0.002082,"$105,723","$591,448"
38,RNT,"Sep 11, 2021",$0.002081,$0.002301,$0.002002,$0.002135,"$293,167","$606,483"
39,RNT,"Sep 10, 2021",$0.001974,$0.002186,$0.001901,$0.002072,"$138,740","$588,630"
40,RNT,"Sep 09, 2021",$0.001982,$0.002039,$0.001853,$0.001973,"$78,813","$560,614"
41,RNT,"Sep 08, 2021",$0.001968,$0.00216,$0.001892,$0.002016,"$104,297","$572,769"
42,RNT,"Sep 07, 2021",$0.002307,$0.0024,$0.001909,$0.001969,"$136,084","$559,342"
43,RNT,"Sep 06, 2021",$0.002674,$0.002675,$0.002256,$0.002307,"$92,524","$655,305"
44,RNT,"Sep 05, 2021",$0.002096,$0.002683,$0.002053,$0.002673,"$119,972","$759,354"
45,RNT,"Sep 04, 2021",$0.002054,$0.00213,$0.002013,$0.002107,"$98,318","$598,580"
46,RNT,"Sep 03, 2021",$0.002095,$0.002102,$0.002038,$0.002053,"$85,306","$583,268"
47,RNT,"Sep 02, 2021",$0.002079,$0.002137,$0.002074,$0.002089,"$67,259","$593,384"
48,RNT,"Sep 01, 2021",$0.002057,$0.002108,$0.001962,$0.00208,"$100,511","$590,899"
49,RNT,"Aug 31, 2021",$0.002076,$0.002208,$0.001993,$0.002057,"$112,515","$584,325"
50,RNT,"Aug 30, 2021",$0.00212,$0.002223,$0.002046,$0.00208,"$103,253","$590,782"
51,RNT,"Aug 29, 2021",$0.002138,$0.00227,$0.002035,$0.002117,"$96,713","$601,346"
52,RNT,"Aug 28, 2021",$0.001952,$0.002308,$0.001921,$0.002144,"$148,049","$608,941"
53,RNT,"Aug 27, 2021",$0.002071,$0.00212,$0.0019,$0.001949,"$92,017","$553,526"
54,RNT,"Aug 26, 2021",$0.00216,$0.002169,$0.002041,$0.002073,"$108,943","$588,836"
55,RNT,"Aug 25, 2021",$0.002036,$0.002189,$0.001984,$0.002164,"$126,723","$614,734"
