,symbol,date,open,high,low,close,volume,marketCap
0,RPL,"Oct 19, 2021",$31.21,$32.19,$30.26,$31.62,"$1,006,736","$325,046,647"
1,RPL,"Oct 18, 2021",$32.28,$33.13,$30.46,$31.21,"$887,655","$320,787,311"
2,RPL,"Oct 17, 2021",$31.98,$33.43,$30.64,$32.28,"$718,538","$331,793,226"
3,RPL,"Oct 16, 2021",$32.00,$33.28,$31.08,$31.98,"$728,607","$328,754,466"
4,RPL,"Oct 15, 2021",$31.69,$33.06,$31.11,$32.00,"$850,662","$328,903,277"
5,RPL,"Oct 14, 2021",$30.48,$32.88,$30.05,$31.69,"$982,693","$325,812,480"
6,RPL,"Oct 13, 2021",$29.68,$31.02,$28.80,$30.47,"$1,147,207","$313,239,352"
7,RPL,"Oct 12, 2021",$33.36,$33.66,$28.76,$29.67,"$4,931,026","$305,014,550"
8,RPL,"Oct 11, 2021",$33.92,$34.82,$32.73,$33.36,"$1,036,368","$342,902,185"
9,RPL,"Oct 10, 2021",$35.54,$35.54,$33.35,$33.92,"$1,369,846","$348,659,580"
10,RPL,"Oct 09, 2021",$35.37,$36.14,$34.60,$35.54,"$1,694,378","$365,365,898"
11,RPL,"Oct 08, 2021",$35.96,$36.58,$35.34,$35.37,"$2,356,211","$363,556,927"
12,RPL,"Oct 07, 2021",$33.77,$36.00,$32.62,$35.98,"$5,997,321","$369,876,032"
13,RPL,"Oct 06, 2021",$32.42,$34.41,$31.72,$33.77,"$2,569,663","$347,105,790"
14,RPL,"Oct 05, 2021",$33.57,$33.77,$28.29,$32.44,"$16,272,037","$333,456,489"
15,RPL,"Oct 04, 2021",$37.08,$37.28,$33.13,$33.57,"$3,843,317","$345,041,237"
16,RPL,"Oct 03, 2021",$36.14,$37.64,$35.63,$37.08,"$2,769,615","$381,127,566"
17,RPL,"Oct 02, 2021",$34.57,$36.81,$33.70,$36.15,"$2,261,049","$371,648,233"
18,RPL,"Oct 01, 2021",$31.62,$34.85,$31.61,$34.56,"$1,605,536","$355,318,028"
19,RPL,"Sep 30, 2021",$30.49,$32.94,$30.02,$31.62,"$3,285,161","$325,001,636"
20,RPL,"Sep 29, 2021",$28.81,$32.87,$28.81,$30.49,"$3,013,802","$313,403,032"
21,RPL,"Sep 28, 2021",$31.39,$32.62,$28.81,$28.81,"$3,327,489","$296,188,701"
22,RPL,"Sep 27, 2021",$32.46,$33.77,$31.07,$31.39,"$2,990,687","$322,711,622"
23,RPL,"Sep 26, 2021",$31.21,$32.86,$29.34,$32.46,"$2,070,381","$333,706,183"
24,RPL,"Sep 25, 2021",$31.05,$31.95,$29.94,$31.21,"$1,154,574","$320,795,179"
