symbol,date,open,high,low,close,volume,marketCap
SAFESUN,"Oct 22, 2021",$0.000001034,$0.000001124,$0.0000008724,$0.000001025,"$17,500",$0
SAFESUN,"Oct 21, 2021",$0.00000123,$0.000001376,$0.0000007461,$0.000001034,"$20,258",$0
SAFESUN,"Oct 20, 2021",$0.000001125,$0.000001409,$0.000001119,$0.000001229,"$6,198",$0
SAFESUN,"Oct 19, 2021",$0.000001088,$0.000001395,$0.000001088,$0.000001124,"$2,323",$0
SAFESUN,"Oct 18, 2021",$0.000001063,$0.000001959,$0.0000009004,$0.000001088,"$7,671",$0
SAFESUN,"Oct 17, 2021",$0.000001129,$0.000001136,$0.000001012,$0.000001063,"$2,327",$0
SAFESUN,"Oct 16, 2021",$0.000001066,$0.000001168,$0.000001051,$0.000001129,"$3,794",$0
SAFESUN,"Oct 15, 2021",$0.000001089,$0.000001094,$0.000001019,$0.000001066,"$1,488",$0
SAFESUN,"Oct 14, 2021",$0.000001059,$0.000001137,$0.000001017,$0.000001089,"$3,701",$0
SAFESUN,"Oct 13, 2021",$0.0000009728,$0.000001185,$0.0000009726,$0.000001059,"$7,314",$0
SAFESUN,"Oct 12, 2021",$0.0000009676,$0.000001099,$0.0000008944,$0.0000009727,"$7,216",$0
SAFESUN,"Oct 11, 2021",$0.000000942,$0.000001031,$0.0000009082,$0.0000009678,"$6,342",$0
SAFESUN,"Oct 10, 2021",$0.000001047,$0.00000109,$0.0000005476,$0.0000009421,"$18,903",$0
SAFESUN,"Oct 09, 2021",$0.000001035,$0.000001134,$0.000001005,$0.000001047,"$4,864",$0
SAFESUN,"Oct 08, 2021",$0.000001018,$0.000001111,$0.0000009665,$0.000001035,"$13,693",$0
SAFESUN,"Oct 07, 2021",$0.000001005,$0.000001081,$0.000000961,$0.000001018,"$30,770",$0
SAFESUN,"Oct 06, 2021",$0.000001244,$0.000001339,$0.0000009206,$0.000001004,"$33,283",$0
SAFESUN,"Oct 05, 2021",$0.000001181,$0.000001308,$0.00000113,$0.000001245,"$13,300",$0
SAFESUN,"Oct 04, 2021",$0.000001126,$0.000001366,$0.000001038,$0.000001181,"$10,871",$0
SAFESUN,"Oct 03, 2021",$0.000001131,$0.000001551,$0.000001041,$0.000001126,"$12,836",$0
SAFESUN,"Oct 02, 2021",$0.0000009711,$0.000001803,$0.0000008919,$0.000001131,"$10,365",$0
SAFESUN,"Oct 01, 2021",$0.000001014,$0.000001347,$0.0000008742,$0.000000971,"$2,061",$0
SAFESUN,"Sep 30, 2021",$0.0000008024,$0.000001128,$0.0000008014,$0.000001014,"$3,288",$0
SAFESUN,"Sep 29, 2021",$0.0000009052,$0.0000009151,$0.0000007679,$0.0000008025,"$1,520",$0
SAFESUN,"Sep 28, 2021",$0.0000007915,$0.0000009471,$0.0000007691,$0.0000009053,"$1,121",$0
SAFESUN,"Sep 27, 2021",$0.0000007397,$0.000000824,$0.0000007201,$0.0000007915,"$3,029",$0
