,symbol,date,open,high,low,close,volume,marketCap
0,SAKE,"Oct 19, 2021",$0.05499,$0.05702,$0.05213,$0.05664,"$41,673","$5,767,807"
1,SAKE,"Oct 18, 2021",$0.04953,$0.05787,$0.04952,$0.05498,"$178,705","$5,599,460"
2,SAKE,"Oct 17, 2021",$0.04993,$0.05009,$0.04414,$0.0495,"$59,304","$5,039,345"
3,SAKE,"Oct 16, 2021",$0.05373,$0.05437,$0.04993,$0.04993,"$80,463","$5,083,304"
4,SAKE,"Oct 15, 2021",$0.05673,$0.05708,$0.05181,$0.0537,"$34,653","$5,467,238"
5,SAKE,"Oct 14, 2021",$0.05456,$0.06154,$0.05409,$0.05678,"$93,004","$5,780,430"
6,SAKE,"Oct 13, 2021",$0.04708,$0.06097,$0.04444,$0.05454,"$251,562","$5,552,628"
7,SAKE,"Oct 12, 2021",$0.04774,$0.04774,$0.04351,$0.04705,"$37,073","$4,790,071"
8,SAKE,"Oct 11, 2021",$0.047,$0.05015,$0.04613,$0.04777,"$34,755","$4,863,002"
9,SAKE,"Oct 10, 2021",$0.04726,$0.0491,$0.04618,$0.04704,"$14,125","$4,786,157"
10,SAKE,"Oct 09, 2021",$0.04806,$0.04852,$0.0462,$0.04728,"$40,086","$4,809,952"
11,SAKE,"Oct 08, 2021",$0.05639,$0.05694,$0.04775,$0.04807,"$94,413","$4,886,306"
12,SAKE,"Oct 07, 2021",$0.05852,$0.05933,$0.05434,$0.05643,"$58,236","$5,736,151"
13,SAKE,"Oct 06, 2021",$0.06832,$0.06934,$0.05767,$0.05849,"$98,608","$5,946,095"
14,SAKE,"Oct 05, 2021",$0.07743,$0.07752,$0.06027,$0.06839,"$121,219","$6,952,107"
15,SAKE,"Oct 04, 2021",$0.08319,$0.08319,$0.07697,$0.07741,"$49,461","$7,869,250"
16,SAKE,"Oct 03, 2021",$0.08525,$0.08702,$0.07959,$0.08316,"$68,984","$8,446,957"
17,SAKE,"Oct 02, 2021",$0.08194,$0.08732,$0.07857,$0.08536,"$131,953","$8,670,257"
18,SAKE,"Oct 01, 2021",$0.07756,$0.08242,$0.07241,$0.08194,"$172,353","$8,298,527"
19,SAKE,"Sep 30, 2021",$0.07365,$0.08261,$0.07293,$0.07756,"$236,889","$7,855,319"
20,SAKE,"Sep 29, 2021",$0.04487,$0.08769,$0.04237,$0.07373,"$552,905","$7,467,020"
