,symbol,date,open,high,low,close,volume,marketCap
0,SANDG,"Oct 19, 2021",$0.0009764,$0.001013,$0.0009736,$0.001011,$0,"$3,098"
1,SANDG,"Oct 18, 2021",$0.000981,$0.0009942,$0.0009504,$0.0009764,$0,"$2,992"
2,SANDG,"Oct 17, 2021",$0.0009728,$0.0009845,$0.0009394,$0.0009813,$0,"$3,007"
3,SANDG,"Oct 16, 2021",$0.0009829,$0.0009933,$0.0009675,$0.0009729,$0,"$2,982"
4,SANDG,"Oct 15, 2021",$0.001146,$0.001255,$0.0009745,$0.0009834,$0,"$3,014"
5,SANDG,"Oct 14, 2021",$0.0009166,$0.001155,$0.0009129,$0.001147,$0,"$3,514"
6,SANDG,"Oct 13, 2021",$0.001121,$0.00113,$0.0008708,$0.0009166,$0,"$2,809"
7,SANDG,"Oct 12, 2021",$0.0009117,$0.001148,$0.0008923,$0.001121,$0,"$3,436"
8,SANDG,"Oct 11, 2021",$0.0008732,$0.0009193,$0.0008668,$0.0009112,$0,"$2,793"
9,SANDG,"Oct 10, 2021",$0.0008894,$0.0009026,$0.0008692,$0.0008739,$0,"$2,678"
10,SANDG,"Oct 09, 2021",$0.0008782,$0.0008982,$0.0008741,$0.0008893,$0,"$2,726"
11,SANDG,"Oct 08, 2021",$0.0008789,$0.0009071,$0.0008745,$0.0008779,$0,"$2,691"
12,SANDG,"Oct 07, 2021",$0.0008938,$0.0008938,$0.0008719,$0.0008789,$0,"$2,694"
13,SANDG,"Oct 06, 2021",$0.0008494,$0.0008976,$0.0008238,$0.0008945,$0,"$2,741"
14,SANDG,"Oct 05, 2021",$0.0008122,$0.0008537,$0.0008106,$0.0008492,$0,"$2,603"
15,SANDG,"Oct 04, 2021",$0.0008067,$0.0008209,$0.0007824,$0.0008123,$0,"$2,489"
16,SANDG,"Oct 03, 2021",$0.0007993,$0.0008223,$0.0007896,$0.0008065,$0,"$2,472"
17,SANDG,"Oct 02, 2021",$0.0007954,$0.0008116,$0.0007846,$0.0007997,$0,"$2,451"
18,SANDG,"Oct 01, 2021",$0.0007231,$0.0008001,$0.0007168,$0.0007958,$0,"$2,439"
19,SANDG,"Sep 30, 2021",$0.0006867,$0.0007299,$0.0006843,$0.000723,$0,"$2,216"
20,SANDG,"Sep 29, 2021",$0.000677,$0.0007054,$0.000674,$0.0006861,$0,"$2,103"
21,SANDG,"Sep 28, 2021",$0.0007011,$0.00071,$0.0006747,$0.000676,$0,"$2,072"
22,SANDG,"Sep 27, 2021",$0.000723,$0.0007437,$0.0007009,$0.000701,$0,"$2,148"
23,SANDG,"Sep 26, 2021",$0.0007051,$0.000735,$0.0006693,$0.0007235,$0,"$2,217"
24,SANDG,"Sep 25, 2021",$0.0007069,$0.0007119,$0.0006854,$0.0007053,$0,"$2,162"
25,SANDG,"Sep 24, 2021",$0.0007487,$0.0007501,$0.0006704,$0.0007069,$0,"$2,167"
26,SANDG,"Sep 23, 2021",$0.0007281,$0.0007508,$0.0007197,$0.0007489,$0,"$2,295"
27,SANDG,"Sep 22, 2021",$0.0006696,$0.0007326,$0.0006667,$0.000728,$0,"$2,231"
28,SANDG,"Sep 21, 2021",$0.0007095,$0.0007307,$0.0006521,$0.0006671,$0,"$2,044"
29,SANDG,"Sep 20, 2021",$0.0007889,$0.0007909,$0.0007061,$0.0007103,$0,"$2,177"
30,SANDG,"Sep 19, 2021",$0.0008088,$0.0008098,$0.0007814,$0.0007891,$0,"$2,418"
31,SANDG,"Sep 18, 2021",$0.0007955,$0.0008234,$0.0007912,$0.0008083,$0,"$2,477"
32,SANDG,"Sep 17, 2021",$0.0008171,$0.0008222,$0.0007874,$0.0007948,$0,"$2,436"
33,SANDG,"Sep 16, 2021",$0.0008252,$0.0008337,$0.0008023,$0.0008169,$0,"$2,504"
34,SANDG,"Sep 15, 2021",$0.0007967,$0.0008265,$0.0007875,$0.0008237,$0,"$2,524"
35,SANDG,"Sep 14, 2021",$0.0007618,$0.0007976,$0.0007595,$0.0007961,$0,"$2,440"
36,SANDG,"Sep 13, 2021",$0.0007846,$0.0007879,$0.0007328,$0.0007619,$0,"$2,335"
37,SANDG,"Sep 12, 2021",$0.0007627,$0.0007901,$0.0007552,$0.0007851,$0,"$2,406"
38,SANDG,"Sep 11, 2021",$0.0007539,$0.0007768,$0.000753,$0.0007623,$0,"$2,336"
39,SANDG,"Sep 10, 2021",$0.0007895,$0.0008037,$0.0007434,$0.0007536,$0,"$2,310"
40,SANDG,"Sep 09, 2021",$0.0007859,$0.0008099,$0.0007803,$0.0007896,$0,"$2,420"
41,SANDG,"Sep 08, 2021",$0.0007936,$0.0008096,$0.000752,$0.0007929,$0,"$2,430"
42,SANDG,"Sep 07, 2021",$0.0008995,$0.0009023,$0.0007238,$0.0007938,$0,"$2,433"
43,SANDG,"Sep 06, 2021",$0.000893,$0.0009015,$0.0008781,$0.0008999,$0,"$2,758"
44,SANDG,"Sep 05, 2021",$0.0008688,$0.0008956,$0.00086,$0.0008931,$0,"$2,737"
45,SANDG,"Sep 04, 2021",$0.0008746,$0.0008796,$0.0008614,$0.0008686,$0,"$2,662"
46,SANDG,"Sep 03, 2021",$0.0009866,$0.001003,$0.0008644,$0.0008745,$0,"$2,680"
47,SANDG,"Sep 02, 2021",$0.0008531,$0.001007,$0.0008444,$0.0009868,$0,"$3,024"
48,SANDG,"Sep 01, 2021",$0.0007979,$0.0008511,$0.0007878,$0.0008511,$0,"$2,609"
49,SANDG,"Aug 31, 2021",$0.0007766,$0.0008113,$0.0007712,$0.0007979,$0,"$2,445"
50,SANDG,"Aug 30, 2021",$0.0007949,$0.0008047,$0.000775,$0.0007762,$0,"$2,379"
51,SANDG,"Aug 29, 2021",$0.0007972,$0.0008082,$0.0007794,$0.0007947,$0,"$2,436"
52,SANDG,"Aug 28, 2021",$0.0008013,$0.0008039,$0.0007906,$0.0007973,$0,"$2,444"
53,SANDG,"Aug 27, 2021",$0.000764,$0.0008025,$0.0007551,$0.0008004,$0,"$2,453"
54,SANDG,"Aug 26, 2021",$0.000796,$0.0008021,$0.000755,$0.0007639,$0,"$2,341"
55,SANDG,"Aug 25, 2021",$0.0007784,$0.0007999,$0.0007656,$0.000796,$0,"$2,440"
56,SANDG,"Aug 24, 2021",$0.0008108,$0.0008176,$0.000778,$0.0007793,$0,"$2,388"
57,SANDG,"Aug 23, 2021",$0.0008012,$0.0008238,$0.0007989,$0.0008106,$0,"$2,484"
58,SANDG,"Aug 22, 2021",$0.0006321,$0.0009856,$0.0006307,$0.0008015,$0,"$2,456"
59,SANDG,"Aug 21, 2021",$0.001627,$0.001629,$0.0006292,$0.0006322,$0,"$1,938"
60,SANDG,"Aug 20, 2021",$0.001565,$0.001629,$0.001563,$0.001628,$0,"$4,988"
61,SANDG,"Aug 19, 2021",$0.00149,$0.001568,$0.001463,$0.001564,$0,"$4,795"
62,SANDG,"Aug 18, 2021",$0.001487,$0.001538,$0.001465,$0.001491,$0,"$4,571"
63,SANDG,"Aug 17, 2021",$0.001549,$0.001605,$0.001479,$0.001487,$0,"$4,558"
64,SANDG,"Aug 16, 2021",$0.001613,$0.001627,$0.001541,$0.001552,$0,"$4,756"
65,SANDG,"Aug 15, 2021",$0.001598,$0.001618,$0.001533,$0.001612,$0,"$4,942"
66,SANDG,"Aug 14, 2021",$0.001624,$0.00163,$0.001571,$0.001597,$0,"$4,895"
