,symbol,date,open,high,low,close,volume,marketCap
0,SBGO,"Oct 20, 2021",$0.6118,$0.9506,$0.6118,$0.8923,$300,$0
1,SBGO,"Oct 19, 2021",$0.5344,$0.6121,$0.534,$0.6118,$13,$0
2,SBGO,"Oct 18, 2021",$0.5895,$0.5897,$0.5342,$0.5343,$56,$0
3,SBGO,"Oct 17, 2021",$0.4942,$0.5896,$0.4941,$0.5894,$50,$0
4,SBGO,"Oct 16, 2021",$0.6913,$0.96,$0.4941,$0.4941,$2,$0
5,SBGO,"Oct 15, 2021",$0.5027,$0.692,$0.5024,$0.6913,$77,$0
6,SBGO,"Oct 14, 2021",$0.7064,$0.7407,$0.3933,$0.5027,$59,$0
7,SBGO,"Oct 13, 2021",$0.4201,$0.8651,$0.4198,$0.7065,$18,$0
8,SBGO,"Oct 12, 2021",$0.4115,$0.4202,$0.4113,$0.4201,$2,$0
9,SBGO,"Oct 11, 2021",$0.4117,$0.4117,$0.4112,$0.4115,$26,$0
10,SBGO,"Oct 10, 2021",$0.8695,$0.8698,$0.3862,$0.4117,$49,$0
11,SBGO,"Oct 09, 2021",$0.6935,$0.8841,$0.6846,$0.8696,$145,$0
12,SBGO,"Oct 08, 2021",$0.3985,$0.6937,$0.3982,$0.6935,$16,$0
13,SBGO,"Oct 07, 2021",$0.4234,$0.5566,$0.3982,$0.3985,$24,$0
14,SBGO,"Oct 06, 2021",$0.4235,$0.4249,$0.3932,$0.4234,$146,$0
15,SBGO,"Oct 05, 2021",$0.6291,$0.6295,$0.3178,$0.4234,$138,$0
16,SBGO,"Oct 04, 2021",$0.7399,$0.7403,$0.6288,$0.629,$124,$0
17,SBGO,"Oct 03, 2021",$0.7002,$0.7761,$0.6739,$0.7399,$97,$0
18,SBGO,"Oct 02, 2021",$0.4545,$0.7004,$0.4544,$0.7003,$19,$0
19,SBGO,"Oct 01, 2021",$0.4547,$0.4548,$0.4544,$0.4545,$0,$0
20,SBGO,"Sep 30, 2021",$0.4549,$0.4549,$0.4544,$0.4547,$7,$0
21,SBGO,"Sep 29, 2021",$0.4608,$0.4608,$0.4545,$0.4549,$7,$0
22,SBGO,"Sep 28, 2021",$0.4607,$0.4609,$0.4606,$0.4607,$36,$0
23,SBGO,"Sep 27, 2021",$0.5931,$0.5936,$0.4603,$0.4607,$37,$0
24,SBGO,"Sep 26, 2021",$0.6565,$0.6566,$0.5929,$0.5931,$1,$0
25,SBGO,"Sep 25, 2021",$0.6564,$0.657,$0.656,$0.6565,$27,$0
26,SBGO,"Sep 24, 2021",$0.7404,$0.7502,$0.6559,$0.6563,$324,$0
27,SBGO,"Sep 23, 2021",$0.4195,$0.9247,$0.4193,$0.7403,$318,$0
28,SBGO,"Sep 22, 2021",$0.4197,$0.4199,$0.4195,$0.4195,$0,$0
29,SBGO,"Sep 21, 2021",$0.4433,$0.4483,$0.4196,$0.4197,$48,$0
30,SBGO,"Sep 20, 2021",$0.4465,$0.5296,$0.4312,$0.4433,$65,$0
31,SBGO,"Sep 19, 2021",$0.4094,$0.4472,$0.4088,$0.4466,$95,$0
32,SBGO,"Sep 18, 2021",$0.367,$0.4229,$0.3492,$0.4093,$349,$0
33,SBGO,"Sep 17, 2021",$0.7221,$0.7223,$0.1846,$0.367,$302,$0
34,SBGO,"Sep 16, 2021",$0.7362,$0.7449,$0.722,$0.7222,$77,$0
