,symbol,date,open,high,low,close,volume,marketCap
0,SEAD,"Oct 20, 2021",$0.01633,$0.01728,$0.01626,$0.0168,$0,$0
1,SEAD,"Oct 19, 2021",$0.01558,$0.01636,$0.01538,$0.01633,"$1,513",$0
2,SEAD,"Oct 18, 2021",$0.01696,$0.01785,$0.0154,$0.01559,"$5,304",$0
3,SEAD,"Oct 17, 2021",$0.01689,$0.01764,$0.01659,$0.01696,"$1,027",$0
4,SEAD,"Oct 16, 2021",$0.01678,$0.0176,$0.01677,$0.0169,"$1,854",$0
5,SEAD,"Oct 15, 2021",$0.0142,$0.01707,$0.01396,$0.01678,"$28,998",$0
6,SEAD,"Oct 14, 2021",$0.01419,$0.01449,$0.01344,$0.01421,"$6,433",$0
7,SEAD,"Oct 13, 2021",$0.01776,$0.01804,$0.01378,$0.01419,"$6,261",$0
8,SEAD,"Oct 12, 2021",$0.01803,$0.01805,$0.01707,$0.01775,"$5,730",$0
9,SEAD,"Oct 11, 2021",$0.01869,$0.0193,$0.01658,$0.01804,"$4,895",$0
10,SEAD,"Oct 10, 2021",$0.01992,$0.01995,$0.01862,$0.01871,"$5,843",$0
11,SEAD,"Oct 09, 2021",$0.01857,$0.02032,$0.01849,$0.01988,"$5,380",$0
12,SEAD,"Oct 08, 2021",$0.01918,$0.01999,$0.01828,$0.01854,"$1,797",$0
13,SEAD,"Oct 07, 2021",$0.01954,$0.02036,$0.01874,$0.01919,"$2,666",$0
14,SEAD,"Oct 06, 2021",$0.02094,$0.02159,$0.01926,$0.01956,"$37,229",$0
15,SEAD,"Oct 05, 2021",$0.02196,$0.02215,$0.0206,$0.02091,"$3,213",$0
16,SEAD,"Oct 04, 2021",$0.0221,$0.02225,$0.02087,$0.02197,"$10,556",$0
17,SEAD,"Oct 03, 2021",$0.02258,$0.02405,$0.022,$0.0221,"$23,226",$0
18,SEAD,"Oct 02, 2021",$0.02299,$0.02324,$0.02244,$0.02259,"$4,198",$0
19,SEAD,"Oct 01, 2021",$0.02236,$0.02371,$0.0222,$0.02298,"$25,252",$0
20,SEAD,"Sep 30, 2021",$0.02125,$0.02237,$0.02116,$0.02237,"$8,313",$0
21,SEAD,"Sep 29, 2021",$0.02096,$0.02165,$0.02084,$0.02124,"$2,829",$0
22,SEAD,"Sep 28, 2021",$0.02178,$0.02208,$0.02081,$0.02094,"$3,688",$0
23,SEAD,"Sep 27, 2021",$0.02207,$0.02282,$0.02177,$0.02177,"$5,425",$0
24,SEAD,"Sep 26, 2021",$0.02562,$0.02567,$0.02096,$0.02208,"$9,571",$0
25,SEAD,"Sep 25, 2021",$0.02238,$0.02586,$0.02212,$0.02562,"$17,130",$0
26,SEAD,"Sep 24, 2021",$0.02252,$0.02281,$0.02028,$0.02236,"$16,171",$0
27,SEAD,"Sep 23, 2021",$0.02173,$0.02253,$0.02097,$0.02252,"$5,400",$0
28,SEAD,"Sep 22, 2021",$0.03132,$0.03282,$0.02056,$0.02171,"$62,472",$0
29,SEAD,"Sep 21, 2021",$0.0319,$0.03409,$0.03064,$0.0312,"$16,629",$0
30,SEAD,"Sep 20, 2021",$0.04032,$0.04033,$0.02939,$0.0319,"$36,460",$0
31,SEAD,"Sep 19, 2021",$0.04006,$0.04127,$0.03839,$0.04033,"$38,945",$0
32,SEAD,"Sep 18, 2021",$0.04185,$0.04329,$0.03972,$0.04003,"$18,333",$0
33,SEAD,"Sep 17, 2021",$0.04946,$0.0507,$0.0399,$0.04183,"$30,367",$0
34,SEAD,"Sep 16, 2021",$0.05116,$0.05474,$0.04806,$0.04946,"$35,510",$0
35,SEAD,"Sep 15, 2021",$0.05399,$0.0541,$0.04821,$0.0511,"$9,598",$0
36,SEAD,"Sep 14, 2021",$0.04918,$0.05648,$0.04844,$0.05375,"$39,522",$0
37,SEAD,"Sep 13, 2021",$0.05196,$0.05382,$0.04638,$0.04912,"$6,624",$0
38,SEAD,"Sep 12, 2021",$0.05216,$0.05273,$0.04988,$0.05202,"$49,276",$0
