symbol,date,open,high,low,close,volume,marketCap
SEFA,"Oct 29, 2021",$0.06303,$0.06303,$0.05597,$0.056,$65,"$24,117"
SEFA,"Oct 28, 2021",$0.04804,$0.07704,$0.04303,$0.06303,$533,"$27,144"
SEFA,"Oct 27, 2021",$0.04201,$0.05604,$0.04102,$0.04804,$779,"$20,689"
SEFA,"Oct 26, 2021",$0.05297,$0.078,$0.04101,$0.04201,"$2,094","$18,092"
SEFA,"Oct 25, 2021",$0.07302,$0.07307,$0.05297,$0.05297,$211,"$22,812"
SEFA,"Oct 24, 2021",$0.05805,$0.07305,$0.05197,$0.07302,$320,"$31,447"
SEFA,"Oct 23, 2021",$0.06999,$0.07004,$0.055,$0.05805,$85,"$24,999"
SEFA,"Oct 22, 2021",$0.068,$0.07302,$0.04998,$0.06999,$101,"$30,142"
SEFA,"Oct 21, 2021",$0.073,$0.07302,$0.06796,$0.068,$29,"$29,285"
SEFA,"Oct 20, 2021",$0.07101,$0.073,$0.06899,$0.07299,$63,"$31,434"
SEFA,"Oct 19, 2021",$0.048,$0.07805,$0.04797,$0.07101,$374,"$30,580"
SEFA,"Oct 18, 2021",$0.04801,$0.04803,$0.04797,$0.048,$422,"$20,672"
SEFA,"Oct 17, 2021",$0.057,$0.05701,$0.04797,$0.04801,$422,"$20,677"
SEFA,"Oct 16, 2021",$0.06195,$0.06199,$0.05699,$0.057,$7,"$24,549"
SEFA,"Oct 15, 2021",$0.062,$0.06601,$0.06194,$0.06195,$32,"$26,678"
SEFA,"Oct 14, 2021",$0.06201,$0.06202,$0.06198,$0.062,$146,"$26,702"
SEFA,"Oct 13, 2021",$0.06201,$0.06299,$0.06098,$0.06201,$146,"$26,704"
SEFA,"Oct 12, 2021",$0.06605,$0.06607,$0.062,$0.062,$81,"$26,700"
SEFA,"Oct 11, 2021",$0.06206,$0.06605,$0.05999,$0.06604,$93,"$28,441"
SEFA,"Oct 10, 2021",$0.07,$0.07002,$0.06197,$0.06206,$564,"$26,725"
SEFA,"Oct 09, 2021",$0.09001,$0.09004,$0.06001,$0.07001,$490,"$30,151"
SEFA,"Oct 08, 2021",$0.09003,$0.09004,$0.08998,$0.09001,$169,"$38,761"
SEFA,"Oct 07, 2021",$0.09003,$0.0901,$0.08996,$0.09003,$169,"$38,773"
SEFA,"Oct 06, 2021",$0.08204,$0.09511,$0.08198,$0.09004,$169,"$38,775"
SEFA,"Oct 05, 2021",$0.08599,$0.08903,$0.06998,$0.08204,$108,"$35,330"
SEFA,"Oct 04, 2021",$0.09302,$0.09305,$0.062,$0.08599,$406,"$37,032"
SEFA,"Oct 03, 2021",$0.09203,$0.1001,$0.06401,$0.09302,$137,"$40,061"
SEFA,"Oct 02, 2021",$0.09902,$0.09902,$0.09101,$0.09204,$112,"$39,637"
