,symbol,date,open,high,low,close,volume,marketCap
0,SENSE,"Oct 19, 2021",$0.004249,$0.004339,$0.004217,$0.004291,$0,$0
1,SENSE,"Oct 18, 2021",$0.004259,$0.004402,$0.004215,$0.00425,$65,$0
2,SENSE,"Oct 17, 2021",$0.004412,$0.004438,$0.004108,$0.004261,$0,$0
3,SENSE,"Oct 16, 2021",$0.004475,$0.004548,$0.004384,$0.004413,$0,$0
4,SENSE,"Oct 15, 2021",$0.003096,$0.004567,$0.002994,$0.004476,$5,$0
5,SENSE,"Oct 14, 2021",$0.003086,$0.00317,$0.003061,$0.003097,$0,$0
6,SENSE,"Oct 13, 2021",$0.003014,$0.003092,$0.002943,$0.003083,$0,$0
7,SENSE,"Oct 12, 2021",$0.004444,$0.004444,$0.003001,$0.003015,$0,$0
8,SENSE,"Oct 11, 2021",$0.004486,$0.004638,$0.004328,$0.004443,$0,$0
9,SENSE,"Oct 10, 2021",$0.003277,$0.004842,$0.003239,$0.004488,$1,$0
10,SENSE,"Oct 09, 2021",$0.003058,$0.003322,$0.003043,$0.003273,$0,$0
11,SENSE,"Oct 08, 2021",$0.003162,$0.004736,$0.003028,$0.003054,$6,$0
12,SENSE,"Oct 07, 2021",$0.003187,$0.003239,$0.003057,$0.003163,$0,$0
13,SENSE,"Oct 06, 2021",$0.003171,$0.003281,$0.002939,$0.003191,$0,$0
14,SENSE,"Oct 05, 2021",$0.003008,$0.003186,$0.002989,$0.003169,$119,$0
15,SENSE,"Oct 04, 2021",$0.003294,$0.003344,$0.002953,$0.003009,$115,$0
16,SENSE,"Oct 03, 2021",$0.003032,$0.003397,$0.002966,$0.003291,$86,$0
17,SENSE,"Oct 02, 2021",$0.002607,$0.003094,$0.002561,$0.003034,$56,$0
18,SENSE,"Oct 01, 2021",$0.002791,$0.003028,$0.002574,$0.00261,$47,$0
19,SENSE,"Sep 30, 2021",$0.002662,$0.0028,$0.002646,$0.002791,$0,$0
20,SENSE,"Sep 29, 2021",$0.002687,$0.002821,$0.002607,$0.00266,$13,$0
21,SENSE,"Sep 28, 2021",$0.002451,$0.00276,$0.002363,$0.002683,$17,$0
22,SENSE,"Sep 27, 2021",$0.002824,$0.00363,$0.002448,$0.002448,$832,$0
23,SENSE,"Sep 26, 2021",$0.00339,$0.003478,$0.002793,$0.002829,$14,$0
24,SENSE,"Sep 25, 2021",$0.003329,$0.003417,$0.002373,$0.003391,$144,$0
25,SENSE,"Sep 24, 2021",$0.003726,$0.003735,$0.00324,$0.003331,$125,$0
26,SENSE,"Sep 23, 2021",$0.00271,$0.003737,$0.002517,$0.003727,$226,$0
27,SENSE,"Sep 22, 2021",$0.002371,$0.002726,$0.002327,$0.002706,$69,$0
28,SENSE,"Sep 21, 2021",$0.002522,$0.002627,$0.002323,$0.002362,$94,$0
29,SENSE,"Sep 20, 2021",$0.004318,$0.004324,$0.002502,$0.002524,$243,$0
30,SENSE,"Sep 19, 2021",$0.004187,$0.004477,$0.003601,$0.004321,$121,$0
31,SENSE,"Sep 18, 2021",$0.004012,$0.004203,$0.003912,$0.004183,$31,$0
32,SENSE,"Sep 17, 2021",$0.0035,$0.004011,$0.003453,$0.004009,$29,$0
33,SENSE,"Sep 16, 2021",$0.003845,$0.003885,$0.003413,$0.003498,$0,$0
34,SENSE,"Sep 15, 2021",$0.00366,$0.003877,$0.003601,$0.003841,$0,$0
35,SENSE,"Sep 14, 2021",$0.003145,$0.003674,$0.003126,$0.003659,$2,$0
36,SENSE,"Sep 13, 2021",$0.00324,$0.003276,$0.002987,$0.003146,$0,$0
37,SENSE,"Sep 12, 2021",$0.003921,$0.003938,$0.003128,$0.003243,$131,$0
38,SENSE,"Sep 11, 2021",$0.003958,$0.004071,$0.003881,$0.003916,$2,$0
39,SENSE,"Sep 10, 2021",$0.004522,$0.004742,$0.002599,$0.003955,$198,$0
40,SENSE,"Sep 09, 2021",$0.003292,$0.004581,$0.003203,$0.004521,$123,$0
41,SENSE,"Sep 08, 2021",$0.00294,$0.003403,$0.002681,$0.003319,$56,$0
42,SENSE,"Sep 07, 2021",$0.003712,$0.003748,$0.002645,$0.002935,$75,$0
43,SENSE,"Sep 06, 2021",$0.004196,$0.004199,$0.003544,$0.003713,$200,$0
44,SENSE,"Sep 05, 2021",$0.003191,$0.004213,$0.003163,$0.004203,$126,$0
45,SENSE,"Sep 04, 2021",$0.004325,$0.006299,$0.003018,$0.003191,"$3,282",$0
46,SENSE,"Sep 03, 2021",$0.004162,$0.00453,$0.004066,$0.004329,$360,$0
47,SENSE,"Sep 02, 2021",$0.004529,$0.004546,$0.004113,$0.004162,$0,$0
48,SENSE,"Sep 01, 2021",$0.003935,$0.00454,$0.003831,$0.004528,$231,$0
49,SENSE,"Aug 31, 2021",$0.004512,$0.004736,$0.003842,$0.003935,"$3,032",$0
50,SENSE,"Aug 30, 2021",$0.004688,$0.004715,$0.00448,$0.004503,$195,$0
51,SENSE,"Aug 29, 2021",$0.005169,$0.005509,$0.004604,$0.004689,$186,$0
52,SENSE,"Aug 28, 2021",$0.005242,$0.005261,$0.004469,$0.00517,$220,$0
53,SENSE,"Aug 27, 2021",$0.004711,$0.005244,$0.00428,$0.005227,$32,$0
54,SENSE,"Aug 26, 2021",$0.004591,$0.004839,$0.004153,$0.004704,$24,$0
55,SENSE,"Aug 25, 2021",$0.004808,$0.004938,$0.004458,$0.004593,$146,$0
56,SENSE,"Aug 24, 2021",$0.005477,$0.005526,$0.00442,$0.004817,$31,$0
57,SENSE,"Aug 23, 2021",$0.004774,$0.00552,$0.004729,$0.005476,$112,$0
58,SENSE,"Aug 22, 2021",$0.004576,$0.004872,$0.004562,$0.004779,$176,$0
59,SENSE,"Aug 21, 2021",$0.005201,$0.005294,$0.004548,$0.004582,$380,$0
60,SENSE,"Aug 20, 2021",$0.00513,$0.005207,$0.00446,$0.005207,$136,$0
61,SENSE,"Aug 19, 2021",$0.004301,$0.00513,$0.004149,$0.00513,$26,$0
62,SENSE,"Aug 18, 2021",$0.004225,$0.00439,$0.003991,$0.004305,$25,$0
63,SENSE,"Aug 17, 2021",$0.004482,$0.004583,$0.004101,$0.004227,$25,$0
64,SENSE,"Aug 16, 2021",$0.005106,$0.00668,$0.004422,$0.004493,$667,$0
65,SENSE,"Aug 15, 2021",$0.004934,$0.005123,$0.004634,$0.005094,$29,$0
66,SENSE,"Aug 14, 2021",$0.004683,$0.004991,$0.004528,$0.004936,$44,$0
67,SENSE,"Aug 13, 2021",$0.004176,$0.004674,$0.004147,$0.004674,$30,$0
68,SENSE,"Aug 12, 2021",$0.004533,$0.004832,$0.004088,$0.004178,$23,$0
69,SENSE,"Aug 11, 2021",$0.004131,$0.004725,$0.004125,$0.00453,$24,$0
70,SENSE,"Aug 10, 2021",$0.004063,$0.004207,$0.003951,$0.004129,$23,$0
71,SENSE,"Aug 09, 2021",$0.003842,$0.004084,$0.003726,$0.004061,$23,$0
72,SENSE,"Aug 08, 2021",$0.004108,$0.004171,$0.003793,$0.003839,$21,$0
73,SENSE,"Aug 07, 2021",$0.003859,$0.004154,$0.003835,$0.004117,$0,$0
74,SENSE,"Aug 06, 2021",$0.003691,$0.005642,$0.003622,$0.003865,$3,$0
75,SENSE,"Aug 05, 2021",$0.003624,$0.003713,$0.003484,$0.003691,$0,$0
76,SENSE,"Aug 04, 2021",$0.004016,$0.004067,$0.003573,$0.003626,$43,$0
77,SENSE,"Aug 03, 2021",$0.004031,$0.00409,$0.003883,$0.004014,$0,$0
78,SENSE,"Aug 02, 2021",$0.003437,$0.005734,$0.003399,$0.004027,$21,$0
79,SENSE,"Aug 01, 2021",$0.003484,$0.00574,$0.003374,$0.00344,$66,$0
80,SENSE,"Jul 31, 2021",$0.00346,$0.004061,$0.003423,$0.003489,$88,$0
81,SENSE,"Jul 30, 2021",$0.003959,$0.003999,$0.003261,$0.003452,$21,$0
82,SENSE,"Jul 29, 2021",$0.0039,$0.003982,$0.003211,$0.00396,$21,$0
83,SENSE,"Jul 28, 2021",$0.003616,$0.003978,$0.003039,$0.003906,$81,$0
84,SENSE,"Jul 27, 2021",$0.003498,$0.003618,$0.002966,$0.003614,$37,$0
85,SENSE,"Jul 26, 2021",$0.003468,$0.003783,$0.003047,$0.003503,$18,$0
86,SENSE,"Jul 25, 2021",$0.003335,$0.003468,$0.002996,$0.003467,$59,$0
87,SENSE,"Jul 24, 2021",$0.003463,$0.003501,$0.00302,$0.003333,$72,$0
88,SENSE,"Jul 23, 2021",$0.003405,$0.003469,$0.003114,$0.003463,$87,$0
89,SENSE,"Jul 22, 2021",$0.002867,$0.003417,$0.002705,$0.003405,$34,$0
90,SENSE,"Jul 21, 2021",$0.002665,$0.002924,$0.002571,$0.002866,$337,$0
91,SENSE,"Jul 20, 2021",$0.00278,$0.002865,$0.002581,$0.002665,$1,$0
92,SENSE,"Jul 19, 2021",$0.002911,$0.003823,$0.002778,$0.00278,$22,$0
93,SENSE,"Jul 18, 2021",$0.002906,$0.003793,$0.002843,$0.00291,"$1,522",$0
94,SENSE,"Jul 17, 2021",$0.003857,$0.003931,$0.002905,$0.002905,$526,$0
95,SENSE,"Jul 16, 2021",$0.003399,$0.003918,$0.00308,$0.003859,$34,$0
96,SENSE,"Jul 15, 2021",$0.004169,$0.004292,$0.003051,$0.00339,$0,$0
97,SENSE,"Jul 14, 2021",$0.00327,$0.004219,$0.003043,$0.004168,$35,$0
98,SENSE,"Jul 13, 2021",$0.003579,$0.003595,$0.003206,$0.003267,$51,$0
99,SENSE,"Jul 12, 2021",$0.003702,$0.00397,$0.003514,$0.003585,$39,$0
100,SENSE,"Jul 11, 2021",$0.003611,$0.003781,$0.00349,$0.0037,$0,$0
101,SENSE,"Jul 10, 2021",$0.003829,$0.004012,$0.003529,$0.003611,$0,$0
102,SENSE,"Jul 09, 2021",$0.00303,$0.003889,$0.002906,$0.003833,$21,$0
103,SENSE,"Jul 08, 2021",$0.003595,$0.003608,$0.002984,$0.00303,$5,$0
104,SENSE,"Jul 07, 2021",$0.00325,$0.00374,$0.003214,$0.003592,$2,$0
105,SENSE,"Jul 06, 2021",$0.00317,$0.005641,$0.003163,$0.003249,$250,$0
106,SENSE,"Jul 05, 2021",$0.00486,$0.004862,$0.003173,$0.003178,$0,$0
107,SENSE,"Jul 04, 2021",$0.004844,$0.005006,$0.004731,$0.004861,$0,$0
108,SENSE,"Jul 03, 2021",$0.004131,$0.004857,$0.003307,$0.004838,"$1,467",$0
109,SENSE,"Jul 02, 2021",$0.003659,$0.004132,$0.003486,$0.004132,$24,$0
110,SENSE,"Jul 01, 2021",$0.003826,$0.003886,$0.00358,$0.003654,$3,$0
111,SENSE,"Jun 30, 2021",$0.00616,$0.006437,$0.00361,$0.003824,$70,$0
112,SENSE,"Jun 29, 2021",$0.003392,$0.006293,$0.003392,$0.006174,$839,$0
113,SENSE,"Jun 28, 2021",$0.003326,$0.003468,$0.003259,$0.003394,$0,$0
114,SENSE,"Jun 27, 2021",$0.003125,$0.004686,$0.003084,$0.003325,$28,$0
115,SENSE,"Jun 26, 2021",$0.003114,$0.003204,$0.002943,$0.003123,$0,$0
116,SENSE,"Jun 25, 2021",$0.003899,$0.004003,$0.00308,$0.003121,$4,$0
117,SENSE,"Jun 24, 2021",$0.003187,$0.00391,$0.003075,$0.003903,$2,$0
118,SENSE,"Jun 23, 2021",$0.002804,$0.003533,$0.002702,$0.003211,$32,$0
