symbol,date,open,high,low,close,volume,marketCap
SERO,"Oct 29, 2021",$0.162,$0.1644,$0.16,$0.1615,"$1,103,936","$53,705,731"
SERO,"Oct 28, 2021",$0.1568,$0.1653,$0.1525,$0.162,"$1,786,139","$53,859,399"
SERO,"Oct 27, 2021",$0.1699,$0.1752,$0.1548,$0.1568,"$1,950,443","$52,122,614"
SERO,"Oct 26, 2021",$0.1711,$0.172,$0.1687,$0.1699,"$1,078,329","$56,464,204"
SERO,"Oct 25, 2021",$0.1695,$0.1768,$0.1688,$0.1712,"$1,444,507","$56,744,015"
SERO,"Oct 24, 2021",$0.1689,$0.173,$0.1673,$0.1695,"$1,258,441","$56,173,762"
SERO,"Oct 23, 2021",$0.1688,$0.1715,$0.1674,$0.1689,"$1,289,501","$55,934,246"
SERO,"Oct 22, 2021",$0.1672,$0.1708,$0.1649,$0.1688,"$1,175,912","$55,913,014"
SERO,"Oct 21, 2021",$0.1697,$0.1722,$0.1652,$0.1672,"$1,272,408","$55,344,412"
SERO,"Oct 20, 2021",$0.1679,$0.1703,$0.1631,$0.1699,"$1,688,048","$56,229,520"
SERO,"Oct 19, 2021",$0.1507,$0.1714,$0.15,$0.1677,"$2,359,551","$55,498,583"
SERO,"Oct 18, 2021",$0.1552,$0.1568,$0.1501,$0.1508,"$842,897","$49,875,873"
SERO,"Oct 17, 2021",$0.1582,$0.1597,$0.1547,$0.1552,"$784,703","$51,351,854"
SERO,"Oct 16, 2021",$0.1566,$0.1598,$0.1556,$0.1582,"$940,477","$52,319,146"
SERO,"Oct 15, 2021",$0.1579,$0.1647,$0.1554,$0.1567,"$1,277,230","$51,812,626"
SERO,"Oct 14, 2021",$0.1594,$0.1668,$0.15,$0.1576,"$3,110,531","$52,091,115"
SERO,"Oct 13, 2021",$0.1717,$0.172,$0.1555,$0.1594,"$2,320,911","$52,694,472"
SERO,"Oct 12, 2021",$0.1709,$0.1728,$0.1668,$0.1717,"$1,091,052","$56,740,222"
SERO,"Oct 11, 2021",$0.1722,$0.1739,$0.1703,$0.1709,"$1,093,313","$56,452,047"
SERO,"Oct 10, 2021",$0.172,$0.1746,$0.1682,$0.1722,"$987,177","$56,861,486"
SERO,"Oct 09, 2021",$0.1696,$0.174,$0.1661,$0.1717,"$1,261,779","$56,703,256"
SERO,"Oct 08, 2021",$0.1689,$0.1727,$0.1673,$0.1695,"$1,131,129","$55,974,739"
SERO,"Oct 07, 2021",$0.1684,$0.1717,$0.1653,$0.1689,"$1,190,063","$55,741,311"
SERO,"Oct 06, 2021",$0.1697,$0.1701,$0.1606,$0.1684,"$1,201,052","$55,576,225"
SERO,"Oct 05, 2021",$0.1689,$0.1727,$0.1665,$0.1697,"$1,110,168","$56,001,598"
SERO,"Oct 04, 2021",$0.1727,$0.1727,$0.1663,$0.1689,"$1,041,941","$55,723,754"
SERO,"Oct 03, 2021",$0.174,$0.1748,$0.1714,$0.1727,"$820,399","$56,955,565"
SERO,"Oct 02, 2021",$0.171,$0.1764,$0.1694,$0.174,"$1,260,101","$57,384,188"
SERO,"Oct 01, 2021",$0.169,$0.1808,$0.1687,$0.171,"$1,463,148","$56,385,164"
SERO,"Sep 30, 2021",$0.1675,$0.1733,$0.167,$0.169,"$895,869","$55,694,294"
SERO,"Sep 29, 2021",$0.1699,$0.1711,$0.1664,$0.1675,"$937,665","$55,190,978"
SERO,"Sep 28, 2021",$0.1697,$0.1748,$0.1685,$0.17,"$1,428,439","$56,002,402"
SERO,"Sep 27, 2021",$0.1761,$0.1847,$0.1696,$0.1697,"$1,991,854","$55,894,272"
SERO,"Sep 26, 2021",$0.1903,$0.192,$0.1671,$0.1762,"$4,197,066","$58,030,273"
SERO,"Sep 25, 2021",$0.2039,$0.2054,$0.182,$0.19,"$1,568,285","$62,574,834"
SERO,"Sep 24, 2021",$0.2148,$0.216,$0.1926,$0.2042,"$2,007,815","$67,070,247"
SERO,"Sep 23, 2021",$0.2107,$0.2232,$0.2107,$0.2148,"$1,375,121","$70,539,004"
SERO,"Sep 22, 2021",$0.2053,$0.212,$0.2009,$0.2108,"$2,010,569","$69,202,340"
SERO,"Sep 21, 2021",$0.2152,$0.2211,$0.2051,$0.2054,"$1,663,751","$67,414,790"
SERO,"Sep 20, 2021",$0.2325,$0.2328,$0.2146,$0.2154,"$2,081,029","$70,681,180"
SERO,"Sep 19, 2021",$0.2311,$0.2339,$0.231,$0.2324,"$1,441,330","$76,271,042"
SERO,"Sep 18, 2021",$0.2322,$0.2342,$0.2308,$0.2311,"$978,721","$75,823,150"
SERO,"Sep 17, 2021",$0.2321,$0.2376,$0.2302,$0.2322,"$2,176,364","$76,164,092"
SERO,"Sep 16, 2021",$0.2332,$0.234,$0.2295,$0.2329,"$1,110,676","$76,378,509"
SERO,"Sep 15, 2021",$0.233,$0.2351,$0.23,$0.2332,"$1,131,972","$76,452,320"
SERO,"Sep 14, 2021",$0.235,$0.2388,$0.232,$0.233,"$1,502,124","$76,370,273"
SERO,"Sep 13, 2021",$0.232,$0.2388,$0.2297,$0.235,"$2,287,407","$77,021,923"
SERO,"Sep 12, 2021",$0.2282,$0.2322,$0.2274,$0.232,"$1,427,804","$76,027,053"
SERO,"Sep 11, 2021",$0.2162,$0.2324,$0.2146,$0.2282,"$2,590,725","$74,752,528"
SERO,"Sep 10, 2021",$0.2225,$0.2258,$0.2111,$0.2166,"$2,038,062","$70,932,042"
SERO,"Sep 09, 2021",$0.2271,$0.2374,$0.2182,$0.2227,"$3,729,355","$72,930,625"
SERO,"Sep 08, 2021",$0.2001,$0.2421,$0.1928,$0.2353,"$5,950,070","$77,029,978"
SERO,"Sep 07, 2021",$0.2052,$0.2147,$0.1853,$0.1999,"$2,967,582","$65,447,800"
SERO,"Sep 06, 2021",$0.1896,$0.2099,$0.1895,$0.2051,"$3,267,013","$67,132,302"
SERO,"Sep 05, 2021",$0.1877,$0.1901,$0.187,$0.1896,"$781,467","$62,056,426"
SERO,"Sep 04, 2021",$0.1869,$0.1893,$0.185,$0.1877,"$1,049,741","$61,416,632"
