,symbol,date,open,high,low,close,volume,marketCap
0,SKRT,"Oct 20, 2021",$0.01029,$0.01038,$0.009233,$0.01021,"$46,957",$0
1,SKRT,"Oct 19, 2021",$0.009689,$0.01034,$0.008929,$0.01032,"$69,887",$0
2,SKRT,"Oct 18, 2021",$0.01016,$0.01024,$0.009523,$0.009689,"$58,324",$0
3,SKRT,"Oct 17, 2021",$0.009932,$0.01021,$0.009538,$0.01016,"$43,316",$0
4,SKRT,"Oct 16, 2021",$0.01063,$0.01136,$0.009807,$0.009934,"$61,532",$0
5,SKRT,"Oct 15, 2021",$0.01115,$0.01125,$0.00989,$0.01063,"$78,567",$0
6,SKRT,"Oct 14, 2021",$0.01101,$0.01443,$0.01101,$0.01116,"$166,915",$0
7,SKRT,"Oct 13, 2021",$0.01128,$0.01133,$0.01074,$0.01106,"$56,289",$0
8,SKRT,"Oct 12, 2021",$0.01239,$0.01248,$0.01126,$0.01127,"$43,458",$0
9,SKRT,"Oct 11, 2021",$0.01128,$0.01285,$0.01122,$0.01239,"$56,921",$0
10,SKRT,"Oct 10, 2021",$0.0115,$0.01185,$0.01114,$0.01129,"$36,917",$0
11,SKRT,"Oct 09, 2021",$0.013,$0.01327,$0.01137,$0.01151,"$47,465",$0
12,SKRT,"Oct 08, 2021",$0.01468,$0.0149,$0.01281,$0.013,"$78,832",$0
13,SKRT,"Oct 07, 2021",$0.008823,$0.02251,$0.008662,$0.01469,"$694,570",$0
14,SKRT,"Oct 06, 2021",$0.009286,$0.009557,$0.008812,$0.008818,"$34,098",$0
15,SKRT,"Oct 05, 2021",$0.008915,$0.009425,$0.008384,$0.009295,"$42,406",$0
16,SKRT,"Oct 04, 2021",$0.009888,$0.01049,$0.008677,$0.008914,"$50,111",$0
17,SKRT,"Oct 03, 2021",$0.009879,$0.01044,$0.009476,$0.009886,"$33,218",$0
18,SKRT,"Oct 02, 2021",$0.0102,$0.01042,$0.009153,$0.009892,"$58,642",$0
19,SKRT,"Oct 01, 2021",$0.009491,$0.01106,$0.00919,$0.0102,"$55,183",$0
20,SKRT,"Sep 30, 2021",$0.009546,$0.01025,$0.009463,$0.009488,"$41,564",$0
21,SKRT,"Sep 29, 2021",$0.009365,$0.009762,$0.009102,$0.009552,"$30,258",$0
22,SKRT,"Sep 28, 2021",$0.01023,$0.0107,$0.009339,$0.009372,"$44,132",$0
23,SKRT,"Sep 27, 2021",$0.01089,$0.01093,$0.009876,$0.01023,"$48,966",$0
24,SKRT,"Sep 26, 2021",$0.01088,$0.01124,$0.01022,$0.0109,"$40,618",$0
25,SKRT,"Sep 25, 2021",$0.01046,$0.01213,$0.01031,$0.01088,"$72,827",$0
26,SKRT,"Sep 24, 2021",$0.01111,$0.01128,$0.01004,$0.01046,"$47,045",$0
27,SKRT,"Sep 23, 2021",$0.01116,$0.01139,$0.01089,$0.01111,"$45,395",$0
28,SKRT,"Sep 22, 2021",$0.009493,$0.01163,$0.009493,$0.01113,"$61,153",$0
29,SKRT,"Sep 21, 2021",$0.01139,$0.01218,$0.009472,$0.009493,"$49,816",$0
30,SKRT,"Sep 20, 2021",$0.01132,$0.01408,$0.009381,$0.0114,"$185,855",$0
31,SKRT,"Sep 19, 2021",$0.01243,$0.01427,$0.01128,$0.01132,"$74,142",$0
32,SKRT,"Sep 18, 2021",$0.01107,$0.01253,$0.00964,$0.01243,"$99,486",$0
33,SKRT,"Sep 17, 2021",$0.01115,$0.01118,$0.01078,$0.01107,"$48,244",$0
34,SKRT,"Sep 16, 2021",$0.01177,$0.01197,$0.011,$0.01116,"$82,041",$0
35,SKRT,"Sep 15, 2021",$0.01224,$0.01228,$0.01126,$0.01176,"$88,343",$0
36,SKRT,"Sep 14, 2021",$0.01247,$0.01335,$0.01194,$0.01223,"$180,930",$0
37,SKRT,"Sep 13, 2021",$0.01145,$0.01316,$0.01136,$0.01247,"$112,614",$0
38,SKRT,"Sep 12, 2021",$0.01144,$0.01243,$0.01108,$0.01145,"$69,266",$0
39,SKRT,"Sep 11, 2021",$0.01142,$0.01151,$0.01016,$0.01145,"$75,274",$0
40,SKRT,"Sep 10, 2021",$0.01346,$0.01351,$0.01136,$0.01142,"$68,118",$0
41,SKRT,"Sep 09, 2021",$0.01762,$0.01902,$0.01338,$0.01349,"$72,008",$0
42,SKRT,"Sep 08, 2021",$0.01679,$0.01886,$0.01424,$0.01723,"$55,264",$0
43,SKRT,"Sep 07, 2021",$0.01982,$0.02072,$0.01454,$0.0168,"$54,727",$0
44,SKRT,"Sep 06, 2021",$0.01975,$0.0219,$0.01747,$0.01981,"$60,094",$0
45,SKRT,"Sep 05, 2021",$0.02638,$0.02782,$0.01954,$0.01975,"$48,657",$0
46,SKRT,"Sep 04, 2021",$0.02033,$0.02708,$0.02027,$0.02638,"$45,368",$0
47,SKRT,"Sep 03, 2021",$0.01931,$0.02186,$0.0192,$0.02033,"$43,642",$0
48,SKRT,"Sep 02, 2021",$0.02123,$0.02126,$0.01824,$0.01925,"$64,186",$0
49,SKRT,"Sep 01, 2021",$0.02071,$0.0208,$0.01771,$0.02075,"$81,363",$0
50,SKRT,"Aug 31, 2021",$0.01887,$0.02083,$0.01671,$0.02072,"$78,439",$0
51,SKRT,"Aug 30, 2021",$0.02054,$0.02219,$0.01824,$0.01901,"$94,420",$0
52,SKRT,"Aug 29, 2021",$0.02182,$0.02203,$0.01926,$0.02054,"$62,858",$0
53,SKRT,"Aug 28, 2021",$0.02136,$0.02188,$0.01923,$0.02155,"$67,755",$0
54,SKRT,"Aug 27, 2021",$0.02061,$0.0215,$0.01881,$0.02135,"$78,287",$0
55,SKRT,"Aug 26, 2021",$0.02101,$0.02289,$0.01781,$0.02061,"$80,155",$0
56,SKRT,"Aug 25, 2021",$0.01916,$0.02202,$0.01889,$0.02101,"$73,229",$0
57,SKRT,"Aug 24, 2021",$0.01952,$0.02179,$0.019,$0.01919,"$68,744",$0
58,SKRT,"Aug 23, 2021",$0.02276,$0.02378,$0.01824,$0.01947,"$121,924",$0
59,SKRT,"Aug 22, 2021",$0.02103,$0.02363,$0.01974,$0.02278,"$68,109",$0
60,SKRT,"Aug 21, 2021",$0.0185,$0.02145,$0.01848,$0.02104,"$41,947",$0
61,SKRT,"Aug 20, 2021",$0.02026,$0.02193,$0.01829,$0.0185,"$93,551",$0
62,SKRT,"Aug 19, 2021",$0.01862,$0.02025,$0.0171,$0.02025,"$77,057",$0
63,SKRT,"Aug 18, 2021",$0.01599,$0.01933,$0.01588,$0.01865,"$61,700",$0
64,SKRT,"Aug 17, 2021",$0.01812,$0.01964,$0.01598,$0.01605,"$94,592",$0
65,SKRT,"Aug 16, 2021",$0.0204,$0.02055,$0.01756,$0.01813,"$74,370",$0
66,SKRT,"Aug 15, 2021",$0.02172,$0.02253,$0.01941,$0.0204,"$106,283",$0
67,SKRT,"Aug 14, 2021",$0.02252,$0.02317,$0.01963,$0.02175,"$78,237",$0
68,SKRT,"Aug 13, 2021",$0.02061,$0.02419,$0.02061,$0.02252,"$79,551",$0
69,SKRT,"Aug 12, 2021",$0.0245,$0.02452,$0.01951,$0.02061,"$110,627",$0
70,SKRT,"Aug 11, 2021",$0.02269,$0.02481,$0.02082,$0.02451,"$95,939",$0
71,SKRT,"Aug 10, 2021",$0.0218,$0.02973,$0.01896,$0.02269,"$90,872",$0
72,SKRT,"Aug 09, 2021",$0.01921,$0.02325,$0.01858,$0.02182,"$65,042",$0
73,SKRT,"Aug 08, 2021",$0.02192,$0.02279,$0.0178,$0.01919,"$152,100",$0
74,SKRT,"Aug 07, 2021",$0.02504,$0.02511,$0.02078,$0.02193,"$109,614",$0
75,SKRT,"Aug 06, 2021",$0.02181,$0.02547,$0.02048,$0.02505,"$94,025",$0
76,SKRT,"Aug 05, 2021",$0.01953,$0.02192,$0.01773,$0.02179,"$80,630",$0
77,SKRT,"Aug 04, 2021",$0.01891,$0.02017,$0.01685,$0.01957,"$71,682",$0
78,SKRT,"Aug 03, 2021",$0.02003,$0.02004,$0.01769,$0.01892,"$96,051",$0
79,SKRT,"Aug 02, 2021",$0.02012,$0.02083,$0.01777,$0.02004,"$80,156",$0
80,SKRT,"Aug 01, 2021",$0.01768,$0.0226,$0.01508,$0.02011,"$118,436",$0
81,SKRT,"Jul 31, 2021",$0.01814,$0.01848,$0.01632,$0.01769,"$72,231",$0
82,SKRT,"Jul 30, 2021",$0.01572,$0.01834,$0.01491,$0.01813,"$73,763",$0
