symbol,date,open,high,low,close,volume,marketCap
SMILE,"Oct 29, 2021",$0.01013,$0.01073,$0.007621,$0.00812,"$179,268",$0
SMILE,"Oct 28, 2021",$0.009818,$0.01167,$0.009546,$0.01013,"$190,490",$0
SMILE,"Oct 27, 2021",$0.01101,$0.01225,$0.009405,$0.009818,"$162,625",$0
SMILE,"Oct 26, 2021",$0.01399,$0.01402,$0.01095,$0.01101,"$143,678",$0
SMILE,"Oct 25, 2021",$0.01488,$0.01633,$0.01348,$0.01399,"$202,530",$0
SMILE,"Oct 24, 2021",$0.01635,$0.0167,$0.01362,$0.01488,"$223,975",$0
SMILE,"Oct 23, 2021",$0.0167,$0.01906,$0.016,$0.01635,"$230,899",$0
SMILE,"Oct 22, 2021",$0.01848,$0.019,$0.0158,$0.0167,"$170,907",$0
SMILE,"Oct 21, 2021",$0.01589,$0.01999,$0.01496,$0.01848,"$229,490",$0
SMILE,"Oct 20, 2021",$0.01904,$0.02101,$0.01571,$0.01589,"$294,535",$0
SMILE,"Oct 19, 2021",$0.02263,$0.03386,$0.01901,$0.01904,"$393,274",$0
SMILE,"Oct 18, 2021",$0.01211,$0.06794,$0.01203,$0.02263,"$1,017,467",$0
SMILE,"Oct 17, 2021",$0.01127,$0.01238,$0.01096,$0.01211,"$36,299",$0
SMILE,"Oct 16, 2021",$0.01094,$0.01161,$0.01055,$0.01127,"$32,024",$0
SMILE,"Oct 15, 2021",$0.01122,$0.01177,$0.01041,$0.01094,"$35,112",$0
SMILE,"Oct 14, 2021",$0.01195,$0.01205,$0.0106,$0.01122,"$34,510",$0
SMILE,"Oct 13, 2021",$0.01054,$0.01243,$0.01018,$0.01195,"$62,298",$0
SMILE,"Oct 12, 2021",$0.01039,$0.01098,$0.01014,$0.01054,"$40,714",$0
SMILE,"Oct 11, 2021",$0.01008,$0.01095,$0.009319,$0.01039,"$45,509",$0
SMILE,"Oct 10, 2021",$0.01018,$0.01164,$0.009906,$0.01008,"$49,886",$0
SMILE,"Oct 09, 2021",$0.0127,$0.01547,$0.01018,$0.01018,"$86,921",$0
SMILE,"Oct 08, 2021",$0.01116,$0.01341,$0.01066,$0.0127,"$176,459",$0
SMILE,"Oct 07, 2021",$0.01287,$0.01309,$0.00907,$0.01116,"$84,546",$0
SMILE,"Oct 06, 2021",$0.01208,$0.01492,$0.01079,$0.01288,"$74,281",$0
SMILE,"Oct 05, 2021",$0.9704,$1.02,$0.9696,$1.02,"$338,970",$0
SMILE,"Oct 04, 2021",$0.9523,$0.9777,$0.9295,$0.9703,"$401,537",$0
SMILE,"Oct 03, 2021",$0.9432,$0.9712,$0.9317,$0.9522,"$380,566",$0
SMILE,"Oct 02, 2021",$0.9512,$0.9542,$0.9384,$0.9435,"$362,716",$0
SMILE,"Oct 01, 2021",$0.8657,$0.9571,$0.8564,$0.9517,"$359,848",$0
SMILE,"Sep 30, 2021",$0.8217,$0.8691,$0.5049,$0.8655,"$342,622",$0
SMILE,"Sep 29, 2021",$0.8112,$0.8411,$0.8072,$0.8211,"$282,649",$0
SMILE,"Sep 28, 2021",$0.8345,$0.8454,$0.8092,$0.8101,"$311,961",$0
SMILE,"Sep 27, 2021",$0.8542,$0.8756,$0.8337,$0.8345,"$356,551",$0
SMILE,"Sep 26, 2021",$0.844,$0.8682,$0.8075,$0.8547,"$319,057",$0
SMILE,"Sep 25, 2021",$0.8465,$0.8496,$0.8252,$0.844,"$321,960",$0
SMILE,"Sep 24, 2021",$0.8876,$0.8908,$0.8089,$0.8466,"$362,299",$0
SMILE,"Sep 23, 2021",$0.8613,$0.8883,$0.8519,$0.8877,"$368,429","$9,407,308"
SMILE,"Sep 22, 2021",$0.804,$0.8693,$0.8027,$0.8615,"$329,920","$9,129,687"
SMILE,"Sep 21, 2021",$0.85,$0.8626,$0.7857,$0.8013,"$311,928","$8,492,127"
SMILE,"Sep 20, 2021",$0.9338,$0.9352,$0.8418,$0.8467,"$333,543","$8,972,753"
SMILE,"Sep 19, 2021",$0.9544,$0.9549,$0.9276,$0.9341,"$398,025","$9,898,829"
SMILE,"Sep 18, 2021",$0.9344,$0.9641,$0.9304,$0.9538,"$363,284","$10,108,233"
SMILE,"Sep 17, 2021",$0.9446,$0.9517,$0.9254,$0.9337,"$343,199","$9,894,474"
SMILE,"Sep 16, 2021",$0.9519,$0.9585,$0.9307,$0.9445,"$360,065","$10,009,602"
SMILE,"Sep 15, 2021",$0.9309,$0.9578,$0.9242,$0.9519,"$328,976","$10,087,345"
SMILE,"Sep 14, 2021",$0.8888,$0.9334,$0.8847,$0.9306,"$331,219","$9,861,756"
SMILE,"Sep 13, 2021",$0.9102,$0.9207,$0.8613,$0.8888,"$378,587","$9,419,529"
SMILE,"Sep 12, 2021",$0.3165,$0.9166,$0.3136,$0.9109,"$282,471","$9,653,602"
SMILE,"Sep 11, 2021",$0.3272,$0.3289,$0.3139,$0.3163,$76,"$3,352,349"
SMILE,"Sep 10, 2021",$0.5457,$0.5457,$0.3234,$0.3271,$83,"$3,466,811"
SMILE,"Sep 09, 2021",$0.6132,$0.6307,$0.5197,$0.5458,$195,"$5,783,896"
SMILE,"Sep 08, 2021",$0.7612,$2.46,$0.4146,$0.5984,$178,"$6,341,821"
SMILE,"Sep 07, 2021",$0.3146,$1.01,$0.02426,$0.761,$47,"$8,064,258"
SMILE,"Sep 06, 2021",$0.31,$0.3151,$0.009182,$0.3147,"$350,940","$3,335,460"
SMILE,"Sep 05, 2021",$0.2986,$0.3102,$0.2967,$0.31,"$561,155","$3,284,757"
SMILE,"Sep 04, 2021",$0.2991,$0.3023,$0.2963,$0.2986,"$568,151","$3,164,851"
SMILE,"Sep 03, 2021",$0.295,$0.3048,$0.2898,$0.2992,"$558,321","$3,170,886"
SMILE,"Sep 02, 2021",$0.2926,$0.3015,$0.2913,$0.295,"$572,679","$3,126,565"
SMILE,"Sep 01, 2021",$0.2825,$0.2941,$0.2784,$0.2926,"$536,022","$3,100,381"
SMILE,"Aug 31, 2021",$0.2819,$0.2884,$0.2798,$0.2824,"$567,902","$2,992,566"
SMILE,"Aug 30, 2021",$0.2925,$0.2931,$0.2808,$0.2815,"$506,788","$2,982,868"
