symbol,date,open,high,low,close,volume,marketCap
SMOKE,"Oct 29, 2021",$0.002461,$0.002635,$0.002429,$0.002597,$109,$0
SMOKE,"Oct 28, 2021",$0.002339,$0.002469,$0.002336,$0.002462,$79,$0
SMOKE,"Oct 27, 2021",$0.002417,$0.002445,$0.002336,$0.002339,$23,$0
SMOKE,"Oct 26, 2021",$0.002464,$0.002464,$0.002413,$0.002417,$14,$0
SMOKE,"Oct 25, 2021",$0.00243,$0.002493,$0.002427,$0.002464,$352,$0
SMOKE,"Oct 24, 2021",$0.00238,$0.002541,$0.00238,$0.002429,$338,$0
SMOKE,"Oct 23, 2021",$0.00235,$0.002383,$0.00233,$0.002381,$33,$0
SMOKE,"Oct 22, 2021",$0.002355,$0.002437,$0.00233,$0.002351,$26,$0
SMOKE,"Oct 21, 2021",$0.002469,$0.002476,$0.002344,$0.002357,$27,$0
SMOKE,"Oct 20, 2021",$0.002431,$0.002524,$0.002396,$0.002467,$45,$0
SMOKE,"Oct 19, 2021",$0.002423,$0.002472,$0.002405,$0.00243,$17,$0
SMOKE,"Oct 18, 2021",$0.002362,$0.002426,$0.002359,$0.002422,$46,$0
SMOKE,"Oct 17, 2021",$0.002369,$0.002399,$0.002311,$0.002363,$69,$0
SMOKE,"Oct 16, 2021",$0.002415,$0.00246,$0.002363,$0.002372,$35,$0
SMOKE,"Oct 15, 2021",$0.002436,$0.002447,$0.002324,$0.002416,$196,$0
SMOKE,"Oct 14, 2021",$0.002394,$0.002486,$0.002317,$0.002435,$213,$0
SMOKE,"Oct 13, 2021",$0.002309,$0.002397,$0.002259,$0.002393,$59,$0
SMOKE,"Oct 12, 2021",$0.002153,$0.00231,$0.002069,$0.002306,$16,$0
SMOKE,"Oct 11, 2021",$0.002119,$0.00221,$0.002115,$0.002156,$162,$0
SMOKE,"Oct 10, 2021",$0.002171,$0.002213,$0.002116,$0.002122,$350,$0
SMOKE,"Oct 09, 2021",$0.00228,$0.002294,$0.002147,$0.002171,$197,$0
SMOKE,"Oct 08, 2021",$0.002281,$0.002281,$0.002279,$0.00228,$2,$0
SMOKE,"Oct 07, 2021",$0.002317,$0.002319,$0.002267,$0.00228,$2,$0
SMOKE,"Oct 06, 2021",$0.002356,$0.002358,$0.002214,$0.002315,$26,$0
SMOKE,"Oct 05, 2021",$0.002272,$0.002359,$0.002259,$0.002357,$26,$0
SMOKE,"Oct 04, 2021",$0.002301,$0.002301,$0.002271,$0.002272,$6,$0
SMOKE,"Oct 03, 2021",$0.002276,$0.002327,$0.00225,$0.002301,$21,$0
SMOKE,"Oct 02, 2021",$0.002244,$0.002316,$0.002213,$0.002275,$58,$0
SMOKE,"Oct 01, 2021",$0.002098,$0.002251,$0.002085,$0.002243,$74,$0
SMOKE,"Sep 30, 2021",$0.001994,$0.002102,$0.001994,$0.002098,$69,$0
SMOKE,"Sep 29, 2021",$0.001881,$0.002013,$0.001879,$0.001994,$43,$0
SMOKE,"Sep 28, 2021",$0.001894,$0.001926,$0.001874,$0.001882,$17,$0
SMOKE,"Sep 27, 2021",$0.001924,$0.001968,$0.001892,$0.001893,$70,$0
SMOKE,"Sep 26, 2021",$0.001993,$0.001993,$0.00183,$0.001924,$59,$0
SMOKE,"Sep 25, 2021",$0.002007,$0.002019,$0.001978,$0.001994,$27,$0
SMOKE,"Sep 24, 2021",$0.002115,$0.002134,$0.001966,$0.002006,$31,$0
SMOKE,"Sep 23, 2021",$0.002088,$0.002117,$0.002065,$0.002115,$28,$0
SMOKE,"Sep 22, 2021",$0.001978,$0.002102,$0.001978,$0.002088,$56,$0
SMOKE,"Sep 21, 2021",$0.002043,$0.002091,$0.001974,$0.001978,$69,$0
SMOKE,"Sep 20, 2021",$0.00223,$0.002234,$0.002031,$0.002045,$45,$0
SMOKE,"Sep 19, 2021",$0.002234,$0.00228,$0.002216,$0.002236,$6,$0
SMOKE,"Sep 18, 2021",$0.002229,$0.002278,$0.002216,$0.002234,$27,$0
SMOKE,"Sep 17, 2021",$0.002293,$0.002305,$0.002176,$0.002229,$26,$0
SMOKE,"Sep 16, 2021",$0.002328,$0.002341,$0.002255,$0.002292,$359,$0
SMOKE,"Sep 15, 2021",$0.002024,$0.002344,$0.002015,$0.002328,$364,$0
SMOKE,"Sep 14, 2021",$0.001961,$0.002025,$0.001942,$0.002025,$8,$0
SMOKE,"Sep 13, 2021",$0.002103,$0.00211,$0.001914,$0.001962,$220,$0
SMOKE,"Sep 12, 2021",$0.00216,$0.002234,$0.002055,$0.002103,$220,$0
SMOKE,"Sep 11, 2021",$0.002167,$0.002207,$0.002144,$0.002159,$40,$0
SMOKE,"Sep 10, 2021",$0.002229,$0.002277,$0.002148,$0.002166,$73,$0
SMOKE,"Sep 09, 2021",$0.002183,$0.00227,$0.002147,$0.002229,$89,$0
SMOKE,"Sep 08, 2021",$0.00227,$0.002288,$0.002118,$0.002212,$128,$0
SMOKE,"Sep 07, 2021",$0.002494,$0.002506,$0.002232,$0.002269,$73,$0
SMOKE,"Sep 06, 2021",$0.002597,$0.002613,$0.00249,$0.002493,$0,$0
SMOKE,"Sep 05, 2021",$0.002578,$0.0026,$0.00253,$0.002597,$11,$0
SMOKE,"Sep 04, 2021",$0.002578,$0.002621,$0.002521,$0.002578,$317,$0
SMOKE,"Sep 03, 2021",$0.002532,$0.002683,$0.002482,$0.00257,$501,$0
SMOKE,"Sep 02, 2021",$0.002401,$0.002585,$0.002363,$0.002532,$206,$0
SMOKE,"Sep 01, 2021",$0.002392,$0.002402,$0.002363,$0.002402,$13,$0
SMOKE,"Aug 31, 2021",$0.002413,$0.002413,$0.00239,$0.002391,$5,$0
SMOKE,"Aug 30, 2021",$0.002399,$0.002413,$0.002376,$0.002412,$2,$0
SMOKE,"Aug 29, 2021",$0.002429,$0.002466,$0.002393,$0.0024,$19,$0
SMOKE,"Aug 28, 2021",$0.002444,$0.002461,$0.002414,$0.002429,$27,$0
SMOKE,"Aug 27, 2021",$0.002434,$0.002484,$0.002361,$0.002443,$8,$0
SMOKE,"Aug 26, 2021",$0.002527,$0.002586,$0.002404,$0.002436,$0,$0
SMOKE,"Aug 25, 2021",$0.002394,$0.002542,$0.002394,$0.002528,$176,$0
SMOKE,"Aug 24, 2021",$0.002719,$0.00273,$0.002353,$0.002407,$459,$0
SMOKE,"Aug 23, 2021",$0.002597,$0.002798,$0.002574,$0.002719,$317,$0
SMOKE,"Aug 22, 2021",$0.002568,$0.00266,$0.002543,$0.002596,$43,$0
SMOKE,"Aug 21, 2021",$0.002562,$0.002584,$0.002529,$0.002569,$71,$0
SMOKE,"Aug 20, 2021",$0.002444,$0.002576,$0.002421,$0.002561,$75,$0
SMOKE,"Aug 19, 2021",$0.002344,$0.002443,$0.00232,$0.002442,$115,$0
SMOKE,"Aug 18, 2021",$0.00233,$0.002396,$0.002274,$0.002346,$76,$0
SMOKE,"Aug 17, 2021",$0.002409,$0.002484,$0.002325,$0.002328,$173,$0
SMOKE,"Aug 16, 2021",$0.002304,$0.002506,$0.002291,$0.00241,$204,$0
SMOKE,"Aug 15, 2021",$0.002339,$0.002345,$0.002229,$0.002299,$126,$0
SMOKE,"Aug 14, 2021",$0.00239,$0.002433,$0.002305,$0.002341,$200,$0
SMOKE,"Aug 13, 2021",$0.002265,$0.002406,$0.002257,$0.002385,$297,$0
SMOKE,"Aug 12, 2021",$0.002371,$0.002437,$0.002218,$0.002264,$249,$0
SMOKE,"Aug 11, 2021",$0.002241,$0.002427,$0.002241,$0.00237,$88,$0
SMOKE,"Aug 10, 2021",$0.00218,$0.002252,$0.002151,$0.002241,$28,$0
SMOKE,"Aug 09, 2021",$0.002132,$0.002196,$0.002086,$0.002181,$13,$0
SMOKE,"Aug 08, 2021",$0.002174,$0.002179,$0.002124,$0.002132,$30,$0
SMOKE,"Aug 07, 2021",$0.002103,$0.002189,$0.002095,$0.002175,$43,$0
SMOKE,"Aug 06, 2021",$0.002089,$0.002143,$0.002068,$0.002102,$31,$0
SMOKE,"Aug 05, 2021",$0.002058,$0.002101,$0.002017,$0.00209,$9,$0
SMOKE,"Aug 04, 2021",$0.002032,$0.002076,$0.002024,$0.002058,$21,$0
SMOKE,"Aug 03, 2021",$0.002055,$0.002069,$0.002003,$0.002032,$104,$0
SMOKE,"Aug 02, 2021",$0.002046,$0.00208,$0.002032,$0.002055,$115,$0
SMOKE,"Aug 01, 2021",$0.002051,$0.002142,$0.002027,$0.002046,$51,$0
SMOKE,"Jul 31, 2021",$0.00198,$0.002059,$0.001977,$0.002051,$40,$0
SMOKE,"Jul 30, 2021",$0.001985,$0.002034,$0.001948,$0.001979,$17,$0
SMOKE,"Jul 29, 2021",$0.001979,$0.001999,$0.001935,$0.001985,$0,$0
SMOKE,"Jul 28, 2021",$0.001963,$0.00202,$0.001921,$0.001975,$9,$0
SMOKE,"Jul 27, 2021",$0.001899,$0.001992,$0.001868,$0.001957,$34,$0
SMOKE,"Jul 26, 2021",$0.001889,$0.002016,$0.001887,$0.0019,$25,$0
SMOKE,"Jul 25, 2021",$0.001885,$0.001894,$0.001863,$0.001887,$30,$0
SMOKE,"Jul 24, 2021",$0.001808,$0.001898,$0.001758,$0.001885,$52,$0
SMOKE,"Jul 23, 2021",$0.00185,$0.001883,$0.001775,$0.001806,$54,$0
SMOKE,"Jul 22, 2021",$0.001843,$0.001874,$0.001819,$0.001851,$84,$0
SMOKE,"Jul 21, 2021",$0.001738,$0.001872,$0.00172,$0.001844,$192,$0
SMOKE,"Jul 20, 2021",$0.001895,$0.0019,$0.001713,$0.001738,$155,$0
SMOKE,"Jul 19, 2021",$0.001999,$0.002015,$0.001871,$0.001895,$47,$0
SMOKE,"Jul 18, 2021",$0.001979,$0.00203,$0.001973,$0.001998,$59,$0
SMOKE,"Jul 17, 2021",$0.001996,$0.001997,$0.001944,$0.001982,$42,$0
SMOKE,"Jul 16, 2021",$0.002042,$0.002079,$0.00197,$0.001997,$122,$0
SMOKE,"Jul 15, 2021",$0.002046,$0.002128,$0.002014,$0.002037,$664,$0
SMOKE,"Jul 14, 2021",$0.002293,$0.002325,$0.002013,$0.002043,$610,$0
SMOKE,"Jul 13, 2021",$0.002378,$0.002409,$0.002275,$0.002293,$243,$0
SMOKE,"Jul 12, 2021",$0.002572,$0.002644,$0.002376,$0.002378,$177,$0
SMOKE,"Jul 11, 2021",$0.002519,$0.002622,$0.002499,$0.002575,$160,$0
SMOKE,"Jul 10, 2021",$0.002526,$0.002568,$0.002462,$0.002519,$156,$0
SMOKE,"Jul 09, 2021",$0.002464,$0.002545,$0.002447,$0.002526,$38,$0
SMOKE,"Jul 08, 2021",$0.002581,$0.002592,$0.002441,$0.002453,$222,$0
SMOKE,"Jul 07, 2021",$0.00256,$0.002723,$0.002522,$0.002588,$234,$0
SMOKE,"Jul 06, 2021",$0.002523,$0.002575,$0.002448,$0.002562,$96,$0
SMOKE,"Jul 05, 2021",$0.002646,$0.002817,$0.002352,$0.002519,$187,$0
SMOKE,"Jul 04, 2021",$0.002494,$0.002798,$0.002463,$0.002645,$189,$0
SMOKE,"Jul 03, 2021",$0.002429,$0.00253,$0.0024,$0.002494,$112,$0
SMOKE,"Jul 02, 2021",$0.002447,$0.002493,$0.002316,$0.002435,$63,$0
SMOKE,"Jul 01, 2021",$0.002533,$0.002533,$0.002395,$0.002449,$39,$0
SMOKE,"Jun 30, 2021",$0.002527,$0.002542,$0.002406,$0.002533,$250,$0
SMOKE,"Jun 29, 2021",$0.002318,$0.002625,$0.002299,$0.002525,$218,$0
SMOKE,"Jun 28, 2021",$0.002304,$0.002353,$0.002284,$0.002317,$34,$0
SMOKE,"Jun 27, 2021",$0.002265,$0.002304,$0.002238,$0.002304,$55,$0
SMOKE,"Jun 26, 2021",$0.002334,$0.00236,$0.002215,$0.002263,$63,$0
SMOKE,"Jun 25, 2021",$0.002455,$0.00248,$0.002286,$0.002334,$140,$0
SMOKE,"Jun 24, 2021",$0.002363,$0.00249,$0.002295,$0.002452,$138,$0
SMOKE,"Jun 23, 2021",$0.002146,$0.002414,$0.002114,$0.002348,$307,$0
SMOKE,"Jun 22, 2021",$0.002239,$0.002341,$0.001978,$0.002147,$813,$0
SMOKE,"Jun 21, 2021",$0.003176,$0.003176,$0.00224,$0.00224,$685,$0
SMOKE,"Jun 20, 2021",$0.00317,$0.003186,$0.003022,$0.003176,$97,$0
SMOKE,"Jun 19, 2021",$0.003219,$0.003261,$0.003161,$0.003169,$192,$0
SMOKE,"Jun 18, 2021",$0.003397,$0.003472,$0.003127,$0.003219,$212,$0
SMOKE,"Jun 17, 2021",$0.003325,$0.003436,$0.003313,$0.003397,$217,$0
SMOKE,"Jun 16, 2021",$0.003581,$0.003593,$0.003314,$0.003323,$173,$0
SMOKE,"Jun 15, 2021",$0.003609,$0.003664,$0.003492,$0.003623,$28,$0
SMOKE,"Jun 14, 2021",$0.02223,$0.0227,$0.003479,$0.0227,$1,$0
SMOKE,"Jun 13, 2021",$0.02227,$0.02227,$0.02223,$0.02223,$0,$0
SMOKE,"Jun 12, 2021",$0.02225,$0.02227,$0.02224,$0.02227,$0,$0
SMOKE,"Jun 11, 2021",$0.02225,$0.02226,$0.02223,$0.02225,$0,$0
SMOKE,"Jun 10, 2021",$0.02224,$0.02226,$0.02224,$0.02225,$0,$0
SMOKE,"Jun 09, 2021",$0.02226,$0.02226,$0.02223,$0.02225,$0,$0
SMOKE,"Jun 08, 2021",$0.003505,$0.02226,$0.003279,$0.02226,$0,$0
SMOKE,"Jun 07, 2021",$0.004326,$0.004479,$0.003503,$0.003503,$359,$0
SMOKE,"Jun 06, 2021",$0.004288,$0.004417,$0.004213,$0.004326,$15,$0
