,symbol,date,open,high,low,close,volume,marketCap
0,SNK,"Oct 20, 2021",$1.02,$1.10,$0.9192,$0.9325,"$200,155",$0
1,SNK,"Oct 19, 2021",$0.939,$1.06,$0.9389,$1.02,"$229,099",$0
2,SNK,"Oct 18, 2021",$0.7643,$0.9998,$0.7573,$0.939,"$241,701",$0
3,SNK,"Oct 17, 2021",$0.8425,$0.8732,$0.7517,$0.7643,"$291,959",$0
4,SNK,"Oct 16, 2021",$1.10,$1.15,$0.8001,$0.8425,"$794,078",$0
5,SNK,"Oct 15, 2021",$0.5069,$1.11,$0.4914,$1.07,"$869,184",$0
6,SNK,"Oct 14, 2021",$0.5193,$0.5258,$0.4745,$0.5069,"$56,844",$0
7,SNK,"Oct 13, 2021",$0.5201,$0.5238,$0.5014,$0.5194,"$40,613",$0
8,SNK,"Oct 12, 2021",$0.5701,$0.5701,$0.5142,$0.5201,"$71,009",$0
9,SNK,"Oct 11, 2021",$0.5714,$0.6086,$0.5672,$0.5701,"$68,561",$0
10,SNK,"Oct 10, 2021",$0.5735,$0.598,$0.5,$0.5713,"$65,642",$0
11,SNK,"Oct 09, 2021",$0.5974,$0.5996,$0.56,$0.5735,"$164,276",$0
12,SNK,"Oct 08, 2021",$0.5834,$0.6498,$0.5214,$0.5974,"$418,127",$0
13,SNK,"Oct 07, 2021",$0.7489,$0.7806,$0.5516,$0.5828,"$432,891",$0
14,SNK,"Oct 06, 2021",$0.7822,$0.8023,$0.7453,$0.749,"$59,108",$0
15,SNK,"Oct 05, 2021",$0.8162,$0.8327,$0.7822,$0.7822,"$90,708",$0
16,SNK,"Oct 04, 2021",$0.7801,$0.8481,$0.7799,$0.8162,"$88,340",$0
17,SNK,"Oct 03, 2021",$0.801,$0.8012,$0.7657,$0.7801,"$50,667",$0
18,SNK,"Oct 02, 2021",$0.8361,$0.8602,$0.7856,$0.8011,"$119,786",$0
19,SNK,"Oct 01, 2021",$0.8906,$1.01,$0.8108,$0.8361,"$144,165",$0
20,SNK,"Sep 30, 2021",$0.9135,$0.9228,$0.8815,$0.8906,"$66,380",$0
21,SNK,"Sep 29, 2021",$1.06,$1.06,$0.8982,$0.9135,"$98,460",$0
22,SNK,"Sep 28, 2021",$1.11,$1.12,$1.06,$1.06,"$64,648",$0
23,SNK,"Sep 27, 2021",$1.18,$1.18,$1.11,$1.11,"$72,674",$0
24,SNK,"Sep 26, 2021",$1.20,$1.20,$1.15,$1.18,"$58,053",$0
25,SNK,"Sep 25, 2021",$1.26,$1.28,$1.19,$1.20,"$201,860",$0
26,SNK,"Sep 24, 2021",$1.52,$1.53,$1.23,$1.27,"$331,714",$0
27,SNK,"Sep 23, 2021",$1.35,$1.52,$1.35,$1.52,"$245,487",$0
28,SNK,"Sep 22, 2021",$1.30,$1.36,$1.28,$1.35,"$215,381",$0
29,SNK,"Sep 21, 2021",$1.36,$1.49,$1.31,$1.31,"$216,284",$0
30,SNK,"Sep 20, 2021",$1.66,$1.66,$1.36,$1.36,"$194,952",$0
31,SNK,"Sep 19, 2021",$1.58,$1.66,$1.54,$1.66,"$184,119",$0
32,SNK,"Sep 18, 2021",$1.55,$1.69,$1.55,$1.58,"$287,586",$0
33,SNK,"Sep 17, 2021",$1.82,$1.85,$1.50,$1.55,"$590,296",$0
34,SNK,"Sep 16, 2021",$2.04,$2.19,$1.81,$1.82,"$939,300",$0
35,SNK,"Sep 15, 2021",$1.71,$2.05,$1.71,$2.05,"$1,354,563",$0
36,SNK,"Sep 14, 2021",$1.45,$1.82,$1.26,$1.71,"$1,044,995",$0
37,SNK,"Sep 13, 2021",$1.69,$1.73,$1.43,$1.46,"$646,785",$0
38,SNK,"Sep 12, 2021",$1.76,$1.83,$1.57,$1.70,"$843,703",$0
39,SNK,"Sep 11, 2021",$2.07,$2.07,$1.64,$1.79,"$1,227,148",$0
40,SNK,"Sep 10, 2021",$2.51,$2.70,$1.82,$2.07,"$2,634,398",$0
41,SNK,"Sep 09, 2021",$2.11,$2.90,$1.87,$2.47,"$5,109,460",$0
42,SNK,"Sep 08, 2021",$1.79,$3.43,$1.43,$2.65,"$15,868,108",$0
43,SNK,"Sep 07, 2021",$1.52,$1.94,$1.35,$1.79,"$7,798,600",$0
