symbol,date,open,high,low,close,volume,marketCap
SNOWGE,"Oct 22, 2021",$0.0002821,$0.0002959,$0.0002816,$0.0002863,$211,$0
SNOWGE,"Oct 21, 2021",$0.0002999,$0.0003023,$0.0002801,$0.0002824,$272,$0
SNOWGE,"Oct 20, 2021",$0.0002917,$0.0003051,$0.0002895,$0.0002996,$188,$0
SNOWGE,"Oct 19, 2021",$0.0002904,$0.0002983,$0.0002886,$0.0002916,"$1,761",$0
SNOWGE,"Oct 18, 2021",$0.0002752,$0.0002938,$0.0002748,$0.0002902,"$1,669",$0
SNOWGE,"Oct 17, 2021",$0.0002874,$0.0002909,$0.0002734,$0.0002752,$719,$0
SNOWGE,"Oct 16, 2021",$0.000294,$0.0002993,$0.0002854,$0.0002877,$993,$0
SNOWGE,"Oct 15, 2021",$0.0002945,$0.0002965,$0.0002823,$0.0002941,$439,$0
SNOWGE,"Oct 14, 2021",$0.0002938,$0.0003014,$0.000289,$0.0002945,"$1,391",$0
SNOWGE,"Oct 13, 2021",$0.0002719,$0.0002942,$0.0002677,$0.0002936,"$1,274",$0
SNOWGE,"Oct 12, 2021",$0.0002553,$0.0002721,$0.0002429,$0.0002716,$679,$0
SNOWGE,"Oct 11, 2021",$0.000253,$0.0002639,$0.0002513,$0.0002555,$752,$0
SNOWGE,"Oct 10, 2021",$0.0002635,$0.0002656,$0.0002525,$0.0002533,$175,$0
SNOWGE,"Oct 09, 2021",$0.0002623,$0.0002669,$0.0002612,$0.0002634,$169,$0
SNOWGE,"Oct 08, 2021",$0.0002548,$0.0002755,$0.0002492,$0.0002623,$132,$0
SNOWGE,"Oct 07, 2021",$0.0002732,$0.0002787,$0.0001386,$0.0002548,$8,$0
SNOWGE,"Oct 06, 2021",$0.0002779,$0.000278,$0.0002611,$0.000273,$0,$0
SNOWGE,"Oct 05, 2021",$0.000267,$0.0002782,$0.0002665,$0.0002779,$4,$0
SNOWGE,"Oct 04, 2021",$0.0002704,$0.0002705,$0.0002595,$0.000267,$584,$0
SNOWGE,"Oct 03, 2021",$0.0002688,$0.0002756,$0.0002656,$0.0002705,$670,$0
SNOWGE,"Oct 02, 2021",$0.0002616,$0.0002745,$0.0002584,$0.0002686,$458,$0
SNOWGE,"Oct 01, 2021",$0.000244,$0.0002631,$0.0002413,$0.0002615,$431,$0
SNOWGE,"Sep 30, 2021",$0.000232,$0.000245,$0.0002312,$0.0002439,$119,$0
SNOWGE,"Sep 29, 2021",$0.0002103,$0.0002332,$0.000204,$0.0002321,$65,$0
SNOWGE,"Sep 28, 2021",$0.000213,$0.0002175,$0.0002092,$0.0002105,$20,$0
SNOWGE,"Sep 27, 2021",$0.0002173,$0.0002253,$0.0002068,$0.000213,$15,$0
SNOWGE,"Sep 26, 2021",$0.0002217,$0.0002232,$0.0002035,$0.0002173,$30,$0
SNOWGE,"Sep 25, 2021",$0.0002279,$0.0002313,$0.0002176,$0.0002218,"$3,225",$0
SNOWGE,"Sep 24, 2021",$0.0002221,$0.0002461,$0.0002174,$0.0002277,"$3,281",$0
SNOWGE,"Sep 23, 2021",$0.0002402,$0.0002434,$0.0002204,$0.0002222,$229,$0
SNOWGE,"Sep 22, 2021",$0.0002187,$0.0002411,$0.0002182,$0.0002401,$360,$0
SNOWGE,"Sep 21, 2021",$0.0002319,$0.0002386,$0.0002181,$0.0002188,"$2,018",$0
SNOWGE,"Sep 20, 2021",$0.0002641,$0.0002669,$0.000223,$0.0002322,"$2,019",$0
SNOWGE,"Sep 19, 2021",$0.0002663,$0.0002718,$0.0002606,$0.0002638,$152,$0
SNOWGE,"Sep 18, 2021",$0.0002618,$0.0002709,$0.0002558,$0.0002663,$103,$0
SNOWGE,"Sep 17, 2021",$0.0002744,$0.0002761,$0.0002601,$0.000262,$219,$0
SNOWGE,"Sep 16, 2021",$0.0002796,$0.0002812,$0.00025,$0.0002743,$382,$0
SNOWGE,"Sep 15, 2021",$0.0002697,$0.0002836,$0.0002676,$0.0002796,$195,$0
SNOWGE,"Sep 14, 2021",$0.0002608,$0.0002699,$0.0002589,$0.0002699,$17,$0
SNOWGE,"Sep 13, 2021",$0.0002722,$0.0002731,$0.0002541,$0.0002608,$146,$0
SNOWGE,"Sep 12, 2021",$0.0002636,$0.0002739,$0.0002605,$0.0002722,$425,$0
SNOWGE,"Sep 11, 2021",$0.0002637,$0.0002713,$0.0002622,$0.0002635,"$1,651",$0
SNOWGE,"Sep 10, 2021",$0.0002825,$0.0002931,$0.0002602,$0.0002636,"$4,578",$0
SNOWGE,"Sep 09, 2021",$0.0002864,$0.0002982,$0.0002804,$0.0002826,"$3,394",$0
SNOWGE,"Sep 08, 2021",$0.0002954,$0.0002997,$0.000271,$0.0002915,"$1,359",$0
SNOWGE,"Sep 07, 2021",$0.0003459,$0.0003631,$0.0002875,$0.0002953,"$1,515",$0
SNOWGE,"Sep 06, 2021",$0.0003644,$0.0003668,$0.0003447,$0.0003458,$584,$0
SNOWGE,"Sep 05, 2021",$0.000363,$0.0003648,$0.0003549,$0.0003643,"$6,680",$0
SNOWGE,"Sep 04, 2021",$0.0003829,$0.0003876,$0.0003419,$0.0003633,"$6,796",$0
SNOWGE,"Sep 03, 2021",$0.0003806,$0.0003895,$0.0003724,$0.0003818,$725,$0
SNOWGE,"Sep 02, 2021",$0.0003862,$0.0003966,$0.0003771,$0.0003807,"$3,692",$0
SNOWGE,"Sep 01, 2021",$0.0003821,$0.0004018,$0.000374,$0.0003858,"$3,742",$0
SNOWGE,"Aug 31, 2021",$0.0003787,$0.0003911,$0.0003741,$0.0003822,$864,$0
SNOWGE,"Aug 30, 2021",$0.0003953,$0.000398,$0.0002912,$0.0003787,"$1,035",$0
SNOWGE,"Aug 29, 2021",$0.0004054,$0.0004114,$0.000378,$0.0003954,$458,$0
SNOWGE,"Aug 28, 2021",$0.0004065,$0.000413,$0.0004034,$0.0004054,$251,$0
SNOWGE,"Aug 27, 2021",$0.0004045,$0.0004214,$0.0003942,$0.0004065,$573,$0
SNOWGE,"Aug 26, 2021",$0.0004239,$0.0004354,$0.0003981,$0.000405,$538,$0
SNOWGE,"Aug 25, 2021",$0.0004061,$0.0004269,$0.0003984,$0.0004241,"$2,772",$0
SNOWGE,"Aug 24, 2021",$0.0004274,$0.0004292,$0.0003984,$0.0004086,"$2,818",$0
SNOWGE,"Aug 23, 2021",$0.0003934,$0.0004423,$0.0003914,$0.0004275,$303,$0
SNOWGE,"Aug 22, 2021",$0.0003941,$0.0004049,$0.0003846,$0.0003933,$287,$0
SNOWGE,"Aug 21, 2021",$0.0003953,$0.000404,$0.0003627,$0.0003942,$783,$0
SNOWGE,"Aug 20, 2021",$0.0003824,$0.0003965,$0.000365,$0.0003949,$629,$0
SNOWGE,"Aug 19, 2021",$0.0003541,$0.0003821,$0.0003465,$0.0003817,$118,$0
SNOWGE,"Aug 18, 2021",$0.0003567,$0.0003633,$0.0003459,$0.0003548,$175,$0
SNOWGE,"Aug 17, 2021",$0.0003711,$0.0003857,$0.0003558,$0.0003564,$258,$0
SNOWGE,"Aug 16, 2021",$0.0003678,$0.0003877,$0.000366,$0.0003712,$195,$0
SNOWGE,"Aug 15, 2021",$0.0003641,$0.0003695,$0.0003545,$0.000367,$382,$0
SNOWGE,"Aug 14, 2021",$0.0003639,$0.0003657,$0.0003359,$0.0003645,"$1,749",$0
SNOWGE,"Aug 13, 2021",$0.0003551,$0.0003708,$0.0003356,$0.000363,"$2,475",$0
SNOWGE,"Aug 12, 2021",$0.0003676,$0.0003747,$0.0003441,$0.000355,"$2,324",$0
SNOWGE,"Aug 11, 2021",$0.000351,$0.0003844,$0.0003431,$0.0003675,"$2,129",$0
SNOWGE,"Aug 10, 2021",$0.0003166,$0.0003543,$0.0003131,$0.0003511,$891,$0
SNOWGE,"Aug 09, 2021",$0.0003218,$0.0003328,$0.0001744,$0.0003168,"$3,531",$0
SNOWGE,"Aug 08, 2021",$0.0003506,$0.0003524,$0.0003185,$0.000322,"$4,563",$0
SNOWGE,"Aug 07, 2021",$0.0003293,$0.0003561,$0.0003286,$0.0003512,"$1,893",$0
SNOWGE,"Aug 06, 2021",$0.000336,$0.000346,$0.0003264,$0.000329,$820,$0
SNOWGE,"Aug 05, 2021",$0.000336,$0.0003397,$0.0003224,$0.0003362,$422,$0
SNOWGE,"Aug 04, 2021",$0.0003253,$0.0003389,$0.0003216,$0.000336,$304,$0
SNOWGE,"Aug 03, 2021",$0.0003335,$0.0003366,$0.0003198,$0.0003253,"$2,483",$0
SNOWGE,"Aug 02, 2021",$0.00035,$0.0003511,$0.0003319,$0.0003337,"$2,574",$0
SNOWGE,"Aug 01, 2021",$0.0003524,$0.0003634,$0.0003465,$0.00035,"$1,861",$0
SNOWGE,"Jul 31, 2021",$0.0003448,$0.0003608,$0.0003432,$0.0003523,"$1,918",$0
SNOWGE,"Jul 30, 2021",$0.0003431,$0.0003537,$0.0003342,$0.0003444,$363,$0
SNOWGE,"Jul 29, 2021",$0.0003385,$0.0003458,$0.0003313,$0.0003432,$176,$0
SNOWGE,"Jul 28, 2021",$0.0003361,$0.0003456,$0.0003286,$0.0003379,$46,$0
SNOWGE,"Jul 27, 2021",$0.0003276,$0.0003417,$0.0003218,$0.0003351,$563,$0
SNOWGE,"Jul 26, 2021",$0.0003293,$0.0003523,$0.0003265,$0.0003278,"$1,654",$0
SNOWGE,"Jul 25, 2021",$0.000331,$0.000333,$0.0003179,$0.0003286,"$4,806",$0
SNOWGE,"Jul 24, 2021",$0.0003104,$0.0003383,$0.0003075,$0.0003311,"$3,702",$0
SNOWGE,"Jul 23, 2021",$0.0003062,$0.0003123,$0.000281,$0.0003099,$845,$0
SNOWGE,"Jul 22, 2021",$0.0003049,$0.0003106,$0.0003004,$0.0003063,"$1,503",$0
SNOWGE,"Jul 21, 2021",$0.0002749,$0.0003115,$0.0002715,$0.000305,"$2,246",$0
SNOWGE,"Jul 20, 2021",$0.0003028,$0.0003043,$0.0002688,$0.000275,"$2,892",$0
SNOWGE,"Jul 19, 2021",$0.0003344,$0.000335,$0.0002186,$0.0003029,"$2,218",$0
SNOWGE,"Jul 18, 2021",$0.0003356,$0.0003442,$0.0003321,$0.0003342,$757,$0
SNOWGE,"Jul 17, 2021",$0.0003523,$0.0003523,$0.0003313,$0.0003363,"$4,467",$0
SNOWGE,"Jul 16, 2021",$0.0003799,$0.0003889,$0.0003523,$0.0003524,"$4,564",$0
SNOWGE,"Jul 15, 2021",$0.0003778,$0.000395,$0.0003683,$0.0003801,$962,$0
SNOWGE,"Jul 14, 2021",$0.0003755,$0.0003809,$0.0003462,$0.0003777,"$2,419",$0
SNOWGE,"Jul 13, 2021",$0.0003681,$0.0003904,$0.0003655,$0.0003754,"$2,043",$0
SNOWGE,"Jul 12, 2021",$0.000401,$0.0004133,$0.0003651,$0.0003681,$639,$0
SNOWGE,"Jul 11, 2021",$0.0003936,$0.0004082,$0.000389,$0.0004014,$331,$0
SNOWGE,"Jul 10, 2021",$0.0003957,$0.0004007,$0.0003861,$0.0003935,$404,$0
SNOWGE,"Jul 09, 2021",$0.0003841,$0.0004003,$0.0003727,$0.0003958,$464,$0
SNOWGE,"Jul 08, 2021",$0.0004101,$0.0004111,$0.0003795,$0.0003819,$289,$0
SNOWGE,"Jul 07, 2021",$0.0004081,$0.0004301,$0.0004023,$0.0004116,$275,$0
SNOWGE,"Jul 06, 2021",$0.0003681,$0.0004114,$0.0003571,$0.0004084,"$1,410",$0
SNOWGE,"Jul 05, 2021",$0.0004063,$0.0004301,$0.0003654,$0.0003674,"$2,185",$0
SNOWGE,"Jul 04, 2021",$0.0003778,$0.0004311,$0.0003682,$0.0004063,"$2,894",$0
SNOWGE,"Jul 03, 2021",$0.0003707,$0.0003869,$0.0003633,$0.0003777,"$2,167",$0
SNOWGE,"Jul 02, 2021",$0.00036,$0.0003805,$0.0003466,$0.0003726,"$4,458",$0
SNOWGE,"Jul 01, 2021",$0.000402,$0.000402,$0.0003531,$0.0003605,"$4,151",$0
SNOWGE,"Jun 30, 2021",$0.0003984,$0.0004022,$0.0003731,$0.000402,$681,$0
