,symbol,date,open,high,low,close,volume,marketCap
0,SOMEE,"Oct 20, 2021",$0.03617,$0.03647,$0.02919,$0.03417,"$16,909",$0
1,SOMEE,"Oct 19, 2021",$0.02716,$0.03804,$0.02708,$0.03633,"$17,481",$0
2,SOMEE,"Oct 18, 2021",$0.0238,$0.0332,$0.02289,$0.02716,"$25,168",$0
3,SOMEE,"Oct 17, 2021",$0.02327,$0.02476,$0.0225,$0.02379,"$8,474",$0
4,SOMEE,"Oct 16, 2021",$0.02656,$0.03819,$0.02248,$0.02327,"$57,227",$0
5,SOMEE,"Oct 15, 2021",$0.02848,$0.029,$0.02301,$0.02653,"$33,558",$0
6,SOMEE,"Oct 14, 2021",$0.03305,$0.03323,$0.02707,$0.02851,"$9,616",$0
7,SOMEE,"Oct 13, 2021",$0.02665,$0.03342,$0.02624,$0.03303,"$30,019",$0
8,SOMEE,"Oct 12, 2021",$0.02447,$0.02705,$0.0242,$0.02664,"$4,348",$0
9,SOMEE,"Oct 11, 2021",$0.02769,$0.02877,$0.02233,$0.02448,"$17,050",$0
10,SOMEE,"Oct 10, 2021",$0.02778,$0.03188,$0.02719,$0.02771,"$7,129",$0
11,SOMEE,"Oct 09, 2021",$0.03018,$0.03048,$0.02616,$0.02781,"$7,857",$0
12,SOMEE,"Oct 08, 2021",$0.03269,$0.03452,$0.02872,$0.03019,"$10,660",$0
13,SOMEE,"Oct 07, 2021",$0.02465,$0.03302,$0.0236,$0.03273,"$40,415",$0
14,SOMEE,"Oct 06, 2021",$0.02703,$0.02832,$0.02267,$0.02464,"$32,615",$0
15,SOMEE,"Oct 05, 2021",$0.02711,$0.02854,$0.02281,$0.02706,"$15,479",$0
16,SOMEE,"Oct 04, 2021",$0.02979,$0.02991,$0.0244,$0.02711,"$13,631",$0
17,SOMEE,"Oct 03, 2021",$0.02853,$0.03408,$0.02781,$0.02978,"$12,437",$0
18,SOMEE,"Oct 02, 2021",$0.02969,$0.03013,$0.02835,$0.02857,"$1,988",$0
19,SOMEE,"Oct 01, 2021",$0.02662,$0.03199,$0.02644,$0.02968,"$9,054",$0
20,SOMEE,"Sep 30, 2021",$0.02438,$0.03033,$0.02278,$0.02662,"$24,478",$0
21,SOMEE,"Sep 29, 2021",$0.02524,$0.02584,$0.02103,$0.02441,"$6,547",$0
22,SOMEE,"Sep 28, 2021",$0.02718,$0.02765,$0.02376,$0.02527,"$12,294",$0
23,SOMEE,"Sep 27, 2021",$0.03019,$0.03019,$0.02213,$0.02718,"$26,185",$0
24,SOMEE,"Sep 26, 2021",$0.02814,$0.03043,$0.02699,$0.0302,"$4,909",$0
25,SOMEE,"Sep 25, 2021",$0.02809,$0.03045,$0.02689,$0.02815,"$9,871",$0
26,SOMEE,"Sep 24, 2021",$0.02921,$0.02944,$0.02263,$0.02808,"$28,759",$0
27,SOMEE,"Sep 23, 2021",$0.03138,$0.03176,$0.02754,$0.02921,"$7,627",$0
28,SOMEE,"Sep 22, 2021",$0.02604,$0.03297,$0.02604,$0.03136,"$8,663",$0
29,SOMEE,"Sep 21, 2021",$0.02977,$0.03696,$0.01926,$0.02605,"$54,146",$0
30,SOMEE,"Sep 20, 2021",$0.02961,$0.03101,$0.02659,$0.0298,"$9,451",$0
31,SOMEE,"Sep 19, 2021",$0.0305,$0.03341,$0.02957,$0.02961,"$6,272",$0
32,SOMEE,"Sep 18, 2021",$0.03158,$0.03634,$0.02972,$0.03049,"$32,997",$0
33,SOMEE,"Sep 17, 2021",$0.03457,$0.03474,$0.0306,$0.03156,"$3,782",$0
34,SOMEE,"Sep 16, 2021",$0.03209,$0.03813,$0.03199,$0.03459,"$27,981",$0
35,SOMEE,"Sep 15, 2021",$0.03361,$0.03612,$0.03094,$0.03208,"$9,420",$0
36,SOMEE,"Sep 14, 2021",$0.03242,$0.03397,$0.02906,$0.0336,"$8,229",$0
37,SOMEE,"Sep 13, 2021",$0.03393,$0.03436,$0.02419,$0.03242,"$19,034",$0
38,SOMEE,"Sep 12, 2021",$0.03161,$0.04097,$0.03097,$0.03394,"$34,096",$0
39,SOMEE,"Sep 11, 2021",$0.03428,$0.03912,$0.02683,$0.03162,"$34,878",$0
40,SOMEE,"Sep 10, 2021",$0.03756,$0.03796,$0.0273,$0.03428,"$26,873",$0
41,SOMEE,"Sep 09, 2021",$0.03768,$0.04023,$0.03068,$0.03756,"$21,398",$0
42,SOMEE,"Sep 08, 2021",$0.03546,$0.04741,$0.03003,$0.0379,"$44,954",$0
43,SOMEE,"Sep 07, 2021",$0.03691,$0.03807,$0.02928,$0.03544,"$31,761",$0
44,SOMEE,"Sep 06, 2021",$0.04742,$0.05288,$0.02624,$0.03692,"$130,332",$0
45,SOMEE,"Sep 05, 2021",$0.04593,$0.05072,$0.04374,$0.04744,"$23,717",$0
46,SOMEE,"Sep 04, 2021",$0.05242,$0.05295,$0.04529,$0.04591,"$13,171",$0
47,SOMEE,"Sep 03, 2021",$0.04345,$0.05656,$0.03877,$0.05244,"$75,290",$0
48,SOMEE,"Sep 02, 2021",$0.05649,$0.05655,$0.04311,$0.04346,"$16,117",$0
49,SOMEE,"Sep 01, 2021",$0.05403,$0.05679,$0.04487,$0.05638,"$51,580",$0
50,SOMEE,"Aug 31, 2021",$0.05968,$0.08117,$0.04976,$0.05405,"$194,506",$0
51,SOMEE,"Aug 30, 2021",$0.06491,$0.0698,$0.05663,$0.0597,"$59,694",$0
52,SOMEE,"Aug 29, 2021",$0.06976,$0.08757,$0.06155,$0.06498,"$185,730",$0
53,SOMEE,"Aug 28, 2021",$0.06432,$0.08774,$0.05252,$0.0697,"$189,550",$0
54,SOMEE,"Aug 27, 2021",$0.03862,$0.09776,$0.03634,$0.06432,"$360,018",$0
55,SOMEE,"Aug 26, 2021",$0.03748,$0.04222,$0.03356,$0.03856,"$44,471",$0
56,SOMEE,"Aug 25, 2021",$0.03571,$0.06025,$0.03029,$0.03744,"$196,307",$0
57,SOMEE,"Aug 24, 2021",$0.04486,$0.04486,$0.03007,$0.03572,"$102,978",$0
