symbol,date,open,high,low,close,volume,marketCap
SPICE,"Oct 22, 2021",$0.2554,$0.2555,$0.2515,$0.2516,"$2,716",$0
SPICE,"Oct 21, 2021",$0.2566,$0.2567,$0.2552,$0.2554,$970,$0
SPICE,"Oct 20, 2021",$0.2567,$0.2568,$0.2566,$0.2566,$0,$0
SPICE,"Oct 19, 2021",$0.2515,$0.2572,$0.2514,$0.2567,"$4,232",$0
SPICE,"Oct 18, 2021",$0.2593,$0.2594,$0.2514,$0.2515,"$5,442",$0
SPICE,"Oct 17, 2021",$0.2571,$0.2598,$0.2571,$0.2593,"$2,127",$0
SPICE,"Oct 16, 2021",$0.2625,$0.2627,$0.2571,$0.2571,"$3,933",$0
SPICE,"Oct 15, 2021",$0.2627,$0.2629,$0.2625,$0.2625,$0,$0
SPICE,"Oct 14, 2021",$0.2639,$0.2639,$0.2627,$0.2627,$787,$0
SPICE,"Oct 13, 2021",$0.2637,$0.2641,$0.2636,$0.2639,$104,$0
SPICE,"Oct 12, 2021",$0.2677,$0.2677,$0.2637,$0.2637,"$2,649",$0
SPICE,"Oct 11, 2021",$0.2668,$0.2677,$0.2665,$0.2677,$635,$0
SPICE,"Oct 10, 2021",$0.2673,$0.2674,$0.2664,$0.2668,$477,$0
SPICE,"Oct 09, 2021",$0.2719,$0.272,$0.2673,$0.2673,"$3,201",$0
SPICE,"Oct 08, 2021",$0.278,$0.278,$0.2719,$0.2719,"$4,054",$0
SPICE,"Oct 07, 2021",$0.2743,$0.2781,$0.2741,$0.278,"$2,500",$0
SPICE,"Oct 06, 2021",$0.2779,$0.2781,$0.2742,$0.2743,"$2,504",$0
SPICE,"Oct 05, 2021",$0.2767,$0.2779,$0.2767,$0.2779,$737,$0
SPICE,"Oct 04, 2021",$0.2786,$0.2787,$0.2767,$0.2767,"$1,219",$0
SPICE,"Oct 03, 2021",$0.2808,$0.2808,$0.2785,$0.2786,"$1,446",$0
SPICE,"Oct 02, 2021",$0.2815,$0.2817,$0.2807,$0.2808,$546,$0
SPICE,"Oct 01, 2021",$0.2839,$0.284,$0.2815,$0.2815,"$1,501",$0
SPICE,"Sep 30, 2021",$0.2844,$0.2845,$0.2838,$0.2839,$283,$0
SPICE,"Sep 29, 2021",$0.2844,$0.2845,$0.2843,$0.2844,$0,$0
SPICE,"Sep 28, 2021",$0.2868,$0.2868,$0.2844,$0.2844,"$1,579",$0
SPICE,"Sep 27, 2021",$0.2734,$0.2883,$0.2733,$0.2868,"$10,902",$0
SPICE,"Sep 26, 2021",$0.2742,$0.2743,$0.2734,$0.2735,$484,$0
SPICE,"Sep 25, 2021",$0.28,$0.28,$0.2741,$0.2742,"$3,989",$0
SPICE,"Sep 24, 2021",$0.28,$0.2802,$0.2799,$0.28,$0,$0
SPICE,"Sep 23, 2021",$0.2775,$0.28,$0.2749,$0.28,"$5,251",$0
SPICE,"Sep 22, 2021",$0.28,$0.2811,$0.2775,$0.2775,"$2,227",$0
SPICE,"Sep 21, 2021",$0.2703,$0.28,$0.27,$0.2799,"$7,967",$0
SPICE,"Sep 20, 2021",$0.2794,$0.2795,$0.2702,$0.2703,"$7,390",$0
SPICE,"Sep 19, 2021",$0.2795,$0.2809,$0.2792,$0.2794,"$1,542",$0
SPICE,"Sep 18, 2021",$0.2805,$0.2807,$0.2794,$0.2795,$588,$0
SPICE,"Sep 17, 2021",$0.2875,$0.2876,$0.2805,$0.2805,"$5,202",$0
SPICE,"Sep 16, 2021",$0.2875,$0.2876,$0.2875,$0.2875,$0,$0
SPICE,"Sep 15, 2021",$0.2859,$0.2876,$0.2853,$0.2875,"$1,949",$0
SPICE,"Sep 14, 2021",$0.2893,$0.2894,$0.2859,$0.2859,"$4,277",$0
SPICE,"Sep 13, 2021",$0.2846,$0.2895,$0.2846,$0.2893,"$3,026",$0
SPICE,"Sep 12, 2021",$0.2843,$0.2865,$0.2841,$0.2846,"$2,401",$0
SPICE,"Sep 11, 2021",$0.2845,$0.2847,$0.2841,$0.2843,$278,$0
SPICE,"Sep 10, 2021",$0.2895,$0.2896,$0.2845,$0.2845,"$3,322",$0
SPICE,"Sep 09, 2021",$0.2855,$0.2901,$0.2778,$0.2895,"$4,287",$0
SPICE,"Sep 08, 2021",$0.2854,$0.2855,$0.2853,$0.2854,$0,$0
SPICE,"Sep 07, 2021",$0.2902,$0.2905,$0.2853,$0.2854,"$3,315",$0
SPICE,"Sep 06, 2021",$0.2971,$0.2972,$0.2902,$0.2902,"$4,550",$0
SPICE,"Sep 05, 2021",$0.3029,$0.3029,$0.297,$0.2971,"$3,666",$0
SPICE,"Sep 04, 2021",$0.3047,$0.3048,$0.3029,$0.3029,"$1,191",$0
SPICE,"Sep 03, 2021",$0.2988,$0.3048,$0.2969,$0.3047,"$7,708",$0
SPICE,"Sep 02, 2021",$0.3142,$0.3143,$0.2987,$0.2988,"$9,911",$0
SPICE,"Sep 01, 2021",$0.3238,$0.3238,$0.3141,$0.3142,"$5,960",$0
SPICE,"Aug 31, 2021",$0.3184,$0.3239,$0.3182,$0.3237,"$3,415",$0
SPICE,"Aug 30, 2021",$0.3272,$0.3272,$0.3173,$0.3184,"$6,665",$0
SPICE,"Aug 29, 2021",$0.3281,$0.3282,$0.3262,$0.3272,"$1,662",$0
SPICE,"Aug 28, 2021",$0.3201,$0.3288,$0.32,$0.3281,"$11,953",$0
SPICE,"Aug 27, 2021",$0.3233,$0.3233,$0.3201,$0.3201,"$1,949",$0
SPICE,"Aug 26, 2021",$0.3102,$0.3233,$0.3102,$0.3233,"$8,263",$0
SPICE,"Aug 25, 2021",$0.3207,$0.3207,$0.3074,$0.3102,"$10,172",$0
SPICE,"Aug 24, 2021",$0.3219,$0.3219,$0.3142,$0.3207,"$9,829",$0
SPICE,"Aug 23, 2021",$0.3125,$0.3219,$0.3056,$0.3219,"$19,894",$0
SPICE,"Aug 22, 2021",$0.3279,$0.3397,$0.3114,$0.3125,"$25,254",$0
SPICE,"Aug 21, 2021",$0.3326,$0.3349,$0.3265,$0.3279,"$12,587",$0
SPICE,"Aug 20, 2021",$0.3063,$0.3335,$0.3063,$0.3327,"$32,011",$0
SPICE,"Aug 19, 2021",$0.2742,$0.3064,$0.2694,$0.3063,"$30,970",$0
SPICE,"Aug 18, 2021",$0.2787,$0.2868,$0.2717,$0.2742,"$27,754",$0
SPICE,"Aug 17, 2021",$0.2019,$0.2863,$0.2018,$0.2787,"$150,387",$0
SPICE,"Aug 16, 2021",$0.2024,$0.2025,$0.2006,$0.2019,"$3,635",$0
SPICE,"Aug 15, 2021",$0.2019,$0.2026,$0.2014,$0.2024,"$1,130",$0
SPICE,"Aug 14, 2021",$0.2019,$0.2023,$0.2018,$0.2019,$513,$0
SPICE,"Aug 13, 2021",$0.2038,$0.2038,$0.2019,$0.2019,"$1,401",$0
SPICE,"Aug 12, 2021",$0.2047,$0.2048,$0.2037,$0.2037,$787,$0
SPICE,"Aug 11, 2021",$0.2035,$0.2048,$0.2032,$0.2047,"$1,314",$0
SPICE,"Aug 10, 2021",$0.2022,$0.2036,$0.2022,$0.2035,$967,$0
SPICE,"Aug 09, 2021",$0.2038,$0.2039,$0.2022,$0.2022,"$1,272",$0
SPICE,"Aug 08, 2021",$0.2037,$0.2043,$0.2036,$0.2038,$885,$0
