symbol,date,open,high,low,close,volume,marketCap
SPK,"Oct 22, 2021",$0.003422,$0.003508,$0.003181,$0.003326,$2,"$34,766"
SPK,"Oct 21, 2021",$0.003498,$0.00354,$0.003285,$0.003422,$1,"$35,762"
SPK,"Oct 20, 2021",$0.00385,$0.003854,$0.003315,$0.003498,$1,"$36,546"
SPK,"Oct 19, 2021",$0.003668,$0.00386,$0.00365,$0.003849,$7,"$40,204"
SPK,"Oct 18, 2021",$0.003595,$0.0051,$0.003066,$0.003668,$11,"$38,305"
SPK,"Oct 17, 2021",$0.003603,$0.004543,$0.003459,$0.003596,$2,"$37,540"
SPK,"Oct 16, 2021",$0.005581,$0.005586,$0.003153,$0.003603,$9,"$37,601"
SPK,"Oct 15, 2021",$0.003403,$0.005586,$0.00294,$0.005585,$34,"$58,261"
SPK,"Oct 14, 2021",$0.00329,$0.004149,$0.00328,$0.003404,$8,"$35,492"
SPK,"Oct 13, 2021",$0.00336,$0.003382,$0.003254,$0.003291,$1,"$34,300"
SPK,"Oct 12, 2021",$0.003277,$0.00498,$0.002965,$0.003362,$125,"$35,022"
SPK,"Oct 11, 2021",$0.003708,$0.003988,$0.003162,$0.003275,$1,"$34,459"
SPK,"Oct 10, 2021",$0.003298,$0.003818,$0.003112,$0.003711,$1,"$39,029"
SPK,"Oct 09, 2021",$0.003346,$0.003413,$0.002666,$0.003298,$6,"$34,667"
SPK,"Oct 08, 2021",$0.003336,$0.003467,$0.003247,$0.003345,$1,"$35,150"
SPK,"Oct 07, 2021",$0.003525,$0.003525,$0.003323,$0.003336,$0,"$35,037"
SPK,"Oct 06, 2021",$0.004636,$0.004656,$0.003433,$0.003527,$5,"$37,031"
SPK,"Oct 05, 2021",$0.003045,$0.004646,$0.003043,$0.004634,$1,"$48,641"
SPK,"Oct 04, 2021",$0.002988,$0.003066,$0.002917,$0.003045,$2,"$31,955"
SPK,"Oct 03, 2021",$0.003298,$0.004331,$0.002957,$0.002988,$1,"$31,345"
SPK,"Oct 02, 2021",$0.003083,$0.003336,$0.002695,$0.003299,$4,"$34,596"
SPK,"Oct 01, 2021",$0.0028,$0.01007,$0.002781,$0.003084,$119,"$32,325"
SPK,"Sep 30, 2021",$0.002035,$0.01262,$0.002029,$0.002799,$77,"$29,333"
SPK,"Sep 29, 2021",$0.001996,$0.00225,$0.001719,$0.002033,$18,"$21,303"
SPK,"Sep 28, 2021",$0.001918,$0.002095,$0.001883,$0.001993,$4,"$20,879"
SPK,"Sep 27, 2021",$0.002088,$0.002405,$0.00191,$0.001918,$7,"$20,079"
SPK,"Sep 26, 2021",$0.002035,$0.002311,$0.001881,$0.00209,$11,"$21,869"
SPK,"Sep 25, 2021",$0.002091,$0.002324,$0.001866,$0.002035,$18,"$21,286"
SPK,"Sep 24, 2021",$0.002211,$0.003295,$0.001747,$0.002091,$3,"$21,870"
SPK,"Sep 23, 2021",$0.002175,$0.003312,$0.002153,$0.002212,$10,"$23,113"
SPK,"Sep 22, 2021",$0.001998,$0.002196,$0.001995,$0.002176,$13,"$22,730"
SPK,"Sep 21, 2021",$0.002225,$0.002311,$0.001954,$0.001991,$1,"$20,795"
SPK,"Sep 20, 2021",$0.002405,$0.002408,$0.002133,$0.002227,$4,"$23,250"
SPK,"Sep 19, 2021",$0.002462,$0.002558,$0.002392,$0.002406,$2,"$25,105"
SPK,"Sep 18, 2021",$0.002734,$0.003853,$0.00242,$0.002461,$7,"$25,671"
SPK,"Sep 17, 2021",$0.003314,$0.003871,$0.002729,$0.002732,$5,"$28,486"
SPK,"Sep 16, 2021",$0.00278,$0.003619,$0.002625,$0.003314,$2,"$34,543"
SPK,"Sep 15, 2021",$0.003081,$0.003338,$0.002583,$0.002779,$21,"$28,973"
SPK,"Sep 14, 2021",$0.003704,$0.003709,$0.003071,$0.003079,$4,"$32,092"
SPK,"Sep 13, 2021",$0.00375,$0.003909,$0.003298,$0.003704,$2,"$38,585"
SPK,"Sep 12, 2021",$0.003122,$0.003903,$0.003097,$0.003753,$2,"$39,080"
SPK,"Sep 11, 2021",$0.003439,$0.003485,$0.002779,$0.00312,$3,"$32,484"
SPK,"Sep 10, 2021",$0.002974,$0.004119,$0.002838,$0.003439,$4,"$35,780"
SPK,"Sep 09, 2021",$0.003626,$0.00408,$0.002407,$0.002973,$14,"$30,923"
SPK,"Sep 08, 2021",$0.003893,$0.00417,$0.003158,$0.003476,$7,"$36,134"
SPK,"Sep 07, 2021",$0.003547,$0.003964,$0.002401,$0.003894,$8,"$40,474"
SPK,"Sep 06, 2021",$0.004572,$0.004861,$0.003098,$0.003548,$13,"$36,864"
SPK,"Sep 05, 2021",$0.00334,$0.004582,$0.003323,$0.004572,$4,"$47,497"
SPK,"Sep 04, 2021",$0.004364,$0.006239,$0.002719,$0.00334,$9,"$34,686"
SPK,"Sep 03, 2021",$0.003787,$0.007276,$0.003494,$0.004365,$23,"$45,308"
SPK,"Sep 02, 2021",$0.00236,$0.006044,$0.002312,$0.003788,$76,"$39,293"
SPK,"Sep 01, 2021",$0.003282,$0.01825,$0.001968,$0.00236,$94,"$24,475"
SPK,"Aug 31, 2021",$0.00234,$0.003401,$0.002301,$0.003281,$11,"$34,004"
SPK,"Aug 30, 2021",$0.003434,$0.003635,$0.002335,$0.002337,$10,"$24,208"
SPK,"Aug 29, 2021",$0.002416,$0.003495,$0.002354,$0.003434,$7,"$35,559"
SPK,"Aug 28, 2021",$0.002421,$0.003368,$0.002359,$0.002416,$13,"$25,018"
SPK,"Aug 27, 2021",$0.002256,$0.003146,$0.002244,$0.002419,$14,"$25,036"
SPK,"Aug 26, 2021",$0.002365,$0.002812,$0.002255,$0.002256,$11,"$23,336"
SPK,"Aug 25, 2021",$0.002277,$0.002798,$0.002262,$0.002365,$5,"$24,453"
SPK,"Aug 24, 2021",$0.00223,$0.004101,$0.002226,$0.00228,$11,"$23,565"
SPK,"Aug 23, 2021",$0.002425,$0.002988,$0.002074,$0.002229,$8,"$23,032"
SPK,"Aug 22, 2021",$0.002316,$0.003087,$0.002119,$0.002425,$8,"$25,045"
SPK,"Aug 21, 2021",$0.002442,$0.003188,$0.002318,$0.002318,$6,"$23,919"
SPK,"Aug 20, 2021",$0.002246,$0.003131,$0.002237,$0.002442,$16,"$25,189"
SPK,"Aug 19, 2021",$0.002209,$0.00289,$0.002059,$0.002246,$10,"$23,152"
SPK,"Aug 18, 2021",$0.002235,$0.003143,$0.002157,$0.00221,$12,"$22,777"
SPK,"Aug 17, 2021",$0.002227,$0.003098,$0.002188,$0.002235,$19,"$23,018"
SPK,"Aug 16, 2021",$0.003002,$0.003039,$0.00222,$0.00223,$9,"$22,949"
SPK,"Aug 15, 2021",$0.003693,$0.004081,$0.002299,$0.003005,$11,"$30,916"
SPK,"Aug 14, 2021",$0.001994,$0.00435,$0.001992,$0.003691,$141,"$37,956"
SPK,"Aug 13, 2021",$0.002111,$0.002288,$0.001934,$0.001996,$15,"$20,514"
SPK,"Aug 12, 2021",$0.00187,$0.00219,$0.001819,$0.002111,$9,"$21,688"
SPK,"Aug 11, 2021",$0.002518,$0.002518,$0.001869,$0.001873,$10,"$19,239"
SPK,"Aug 10, 2021",$0.001994,$0.002776,$0.001951,$0.002516,$2,"$25,832"
SPK,"Aug 09, 2021",$0.001883,$0.002158,$0.0018,$0.00199,$1,"$20,425"
SPK,"Aug 08, 2021",$0.00197,$0.002141,$0.00183,$0.001881,$2,"$19,299"
SPK,"Aug 07, 2021",$0.002141,$0.002143,$0.001792,$0.001976,$9,"$20,259"
SPK,"Aug 06, 2021",$0.002006,$0.002144,$0.001831,$0.002144,$3,"$21,978"
