,symbol,date,open,high,low,close,volume,marketCap
0,STR,"Oct 20, 2021",$0.2215,$0.2379,$0.2024,$0.2172,"$194,483",$0
1,STR,"Oct 19, 2021",$0.1348,$0.2571,$0.13,$0.2215,"$471,838",$0
2,STR,"Oct 18, 2021",$0.1478,$0.148,$0.127,$0.1348,"$88,791",$0
3,STR,"Oct 17, 2021",$0.1478,$0.1596,$0.1469,$0.1478,"$89,714",$0
4,STR,"Oct 16, 2021",$0.146,$0.1499,$0.1221,$0.1478,"$88,242",$0
5,STR,"Oct 15, 2021",$0.1793,$0.181,$0.1112,$0.146,"$137,823",$0
6,STR,"Oct 14, 2021",$0.183,$0.1855,$0.1722,$0.1793,"$70,888",$0
7,STR,"Oct 13, 2021",$0.1834,$0.1859,$0.165,$0.183,"$63,512",$0
8,STR,"Oct 12, 2021",$0.1893,$0.2074,$0.1751,$0.1834,"$69,695",$0
9,STR,"Oct 11, 2021",$0.2086,$0.2194,$0.1892,$0.1893,"$80,888",$0
10,STR,"Oct 10, 2021",$0.2024,$0.2086,$0.18,$0.2086,"$95,706",$0
11,STR,"Oct 09, 2021",$0.1995,$0.224,$0.19,$0.2024,"$84,682",$0
12,STR,"Oct 08, 2021",$0.2432,$0.26,$0.19,$0.1994,"$248,584",$0
13,STR,"Oct 07, 2021",$0.2732,$0.2737,$0.2157,$0.2432,"$173,797",$0
14,STR,"Oct 06, 2021",$0.2228,$0.2801,$0.2214,$0.2732,"$240,964",$0
