symbol,date,open,high,low,close,volume,marketCap
STRP,"Oct 29, 2021",$6.59,$6.77,$6.09,$6.11,"$1,215,605",$0
STRP,"Oct 28, 2021",$6.35,$6.79,$6.12,$6.59,"$1,536,422",$0
STRP,"Oct 27, 2021",$6.64,$6.77,$6.18,$6.35,"$1,215,275",$0
STRP,"Oct 26, 2021",$6.47,$7.15,$6.33,$6.64,"$1,523,908",$0
STRP,"Oct 25, 2021",$7.01,$7.02,$6.31,$6.47,"$1,926,004",$0
STRP,"Oct 24, 2021",$7.42,$7.43,$6.27,$7.01,"$2,004,261",$0
STRP,"Oct 23, 2021",$8.11,$8.11,$7.08,$7.42,"$1,319,283",$0
STRP,"Oct 22, 2021",$6.39,$8.56,$6.23,$8.11,"$5,183,110",$0
STRP,"Oct 21, 2021",$6.27,$6.68,$6.19,$6.39,"$1,345,016",$0
STRP,"Oct 20, 2021",$6.00,$6.43,$5.83,$6.27,"$1,587,442",$0
STRP,"Oct 19, 2021",$5.93,$6.52,$5.72,$6.00,"$2,037,846",$0
STRP,"Oct 18, 2021",$6.44,$6.79,$5.27,$5.93,"$2,981,380",$0
STRP,"Oct 17, 2021",$6.90,$7.14,$6.32,$6.44,"$1,438,246",$0
STRP,"Oct 16, 2021",$7.05,$7.81,$6.78,$6.90,"$3,603,739",$0
STRP,"Oct 15, 2021",$9.38,$9.44,$6.76,$7.05,"$12,226,007",$0
STRP,"Oct 14, 2021",$0,$9.22,$0,$9.22,"$14,834,482",$0
