,symbol,date,open,high,low,close,volume,marketCap
0,SUKU,"Oct 19, 2021",$0.5155,$0.5272,$0.5155,$0.5255,"$423,209","$62,612,269"
1,SUKU,"Oct 18, 2021",$0.504,$0.5184,$0.504,$0.5155,"$565,628","$61,420,651"
2,SUKU,"Oct 17, 2021",$0.5051,$0.5081,$0.5031,$0.5041,"$237,229","$60,062,567"
3,SUKU,"Oct 16, 2021",$0.5019,$0.5073,$0.5014,$0.5051,"$299,794","$60,179,953"
4,SUKU,"Oct 15, 2021",$0.4998,$0.502,$0.4909,$0.502,"$349,851","$59,810,758"
5,SUKU,"Oct 14, 2021",$0.4963,$0.5054,$0.4962,$0.4999,"$403,112","$59,559,981"
6,SUKU,"Oct 13, 2021",$0.5,$0.5041,$0.4954,$0.4963,"$264,092","$59,135,382"
7,SUKU,"Oct 12, 2021",$0.5104,$0.5105,$0.4995,$0.5001,"$169,743","$59,582,961"
8,SUKU,"Oct 11, 2021",$0.5128,$0.5144,$0.5091,$0.5103,"$168,873","$60,799,529"
9,SUKU,"Oct 10, 2021",$0.5156,$0.5159,$0.5101,$0.5129,"$152,214","$61,114,928"
10,SUKU,"Oct 09, 2021",$0.5315,$0.5362,$0.5113,$0.5157,"$446,731","$61,440,093"
11,SUKU,"Oct 08, 2021",$0.5391,$0.5391,$0.5301,$0.5314,"$298,249","$63,315,998"
12,SUKU,"Oct 07, 2021",$0.5226,$0.5497,$0.5212,$0.539,"$1,060,930","$64,218,500"
13,SUKU,"Oct 06, 2021",$0.5373,$0.5375,$0.5166,$0.5227,"$456,841","$62,279,250"
14,SUKU,"Oct 05, 2021",$0.5554,$0.557,$0.5355,$0.5373,"$529,261","$64,022,915"
15,SUKU,"Oct 04, 2021",$0.548,$0.5594,$0.5283,$0.5554,"$653,923","$66,178,808"
16,SUKU,"Oct 03, 2021",$0.5542,$0.5551,$0.5465,$0.548,"$191,587","$65,289,267"
17,SUKU,"Oct 02, 2021",$0.5504,$0.5564,$0.5441,$0.5537,"$300,414","$65,970,868"
18,SUKU,"Oct 01, 2021",$0.5731,$0.5842,$0.5498,$0.5504,"$678,951","$65,585,741"
19,SUKU,"Sep 30, 2021",$0.572,$0.5849,$0.5715,$0.5731,"$718,753","$68,283,601"
20,SUKU,"Sep 29, 2021",$0.6198,$0.6247,$0.5707,$0.572,"$2,555,393","$68,150,385"
21,SUKU,"Sep 28, 2021",$0.6393,$0.6394,$0.6179,$0.6198,"$992,364","$73,853,983"
22,SUKU,"Sep 27, 2021",$0.6434,$0.6507,$0.637,$0.6393,"$884,382","$76,174,165"
23,SUKU,"Sep 26, 2021",$0.6422,$0.6498,$0.6393,$0.642,"$603,614","$76,490,236"
24,SUKU,"Sep 25, 2021",$0.6724,$0.6725,$0.641,$0.6422,"$298,113","$76,516,804"
25,SUKU,"Sep 24, 2021",$0.6987,$0.7257,$0.671,$0.6718,"$599,621","$80,042,234"
26,SUKU,"Sep 23, 2021",$0.7055,$0.7072,$0.696,$0.6987,"$245,108","$83,251,112"
27,SUKU,"Sep 22, 2021",$0.7217,$0.7249,$0.7017,$0.7056,"$234,741","$84,068,864"
28,SUKU,"Sep 21, 2021",$0.6465,$0.73,$0.6447,$0.72,"$927,292","$85,784,205"
29,SUKU,"Sep 20, 2021",$0.772,$0.773,$0.6459,$0.6461,"$926,174","$76,982,621"
30,SUKU,"Sep 19, 2021",$0.8095,$0.8112,$0.7721,$0.7721,"$344,961","$91,998,684"
31,SUKU,"Sep 18, 2021",$0.8382,$0.8423,$0.8087,$0.8095,"$339,579","$96,447,259"
32,SUKU,"Sep 17, 2021",$0.8562,$0.8575,$0.8277,$0.8379,"$822,250","$99,838,200"
33,SUKU,"Sep 16, 2021",$0.7769,$0.956,$0.7746,$0.8562,"$2,319,490","$102,021,966"
34,SUKU,"Sep 15, 2021",$0.7761,$0.7879,$0.7736,$0.7767,"$325,827","$92,549,370"
35,SUKU,"Sep 14, 2021",$0.7905,$0.7918,$0.7704,$0.7761,"$241,504","$92,471,289"
36,SUKU,"Sep 13, 2021",$0.848,$0.8486,$0.7793,$0.7905,"$748,681","$94,185,146"
37,SUKU,"Sep 12, 2021",$0.9016,$0.9065,$0.8478,$0.848,"$527,051","$101,035,906"
38,SUKU,"Sep 11, 2021",$0.8822,$0.9036,$0.8797,$0.9017,"$356,301","$107,432,275"
39,SUKU,"Sep 10, 2021",$0.8394,$0.9478,$0.8392,$0.8821,"$1,277,764","$105,106,997"
40,SUKU,"Sep 09, 2021",$0.6869,$0.8419,$0.6811,$0.8394,"$1,571,501","$100,015,780"
41,SUKU,"Sep 08, 2021",$0.7587,$0.7874,$0.6753,$0.6854,"$1,206,063","$81,660,906"
