symbol,date,open,high,low,close,volume,marketCap
SUMO,"Oct 29, 2021",$0.08503,$0.1437,$0.08503,$0.1075,"$3,327,488","$4,163,607"
SUMO,"Oct 28, 2021",$0.08244,$0.09244,$0.07779,$0.08497,"$260,286","$3,289,107"
SUMO,"Oct 27, 2021",$0.09119,$0.09968,$0.07989,$0.08256,"$256,061","$3,193,489"
SUMO,"Oct 26, 2021",$0.09485,$0.09949,$0.08998,$0.09118,"$258,216","$3,524,206"
SUMO,"Oct 25, 2021",$0.09427,$0.1039,$0.09224,$0.09616,"$369,693","$3,713,572"
SUMO,"Oct 24, 2021",$0.1141,$0.1184,$0.08824,$0.0942,"$789,724","$3,634,919"
SUMO,"Oct 23, 2021",$0.131,$0.1345,$0.1125,$0.1135,"$1,161,426","$4,375,867"
SUMO,"Oct 22, 2021",$0.1536,$0.1609,$0.1195,$0.1302,"$3,150,922","$5,016,774"
SUMO,"Oct 21, 2021",$0.07892,$0.2095,$0.07824,$0.1562,"$10,856,524","$6,012,771"
SUMO,"Oct 20, 2021",$0.06461,$0.1031,$0.06371,$0.07951,"$893,919","$3,058,331"
SUMO,"Oct 19, 2021",$0.06277,$0.0712,$0.06205,$0.06454,"$83,154","$2,480,598"
SUMO,"Oct 18, 2021",$0.06316,$0.06369,$0.06236,$0.06273,"$18,810","$2,408,937"
SUMO,"Oct 17, 2021",$0.06406,$0.06478,$0.06252,$0.06316,"$27,099","$2,423,591"
SUMO,"Oct 16, 2021",$0.06404,$0.06658,$0.06356,$0.06406,"$53,227","$2,456,073"
SUMO,"Oct 15, 2021",$0.06319,$0.06643,$0.06259,$0.06404,"$64,855","$2,453,469"
SUMO,"Oct 14, 2021",$0.06369,$0.0655,$0.06318,$0.06319,"$36,351","$2,419,024"
SUMO,"Oct 13, 2021",$0.06188,$0.06528,$0.06187,$0.06369,"$31,451","$2,436,249"
SUMO,"Oct 12, 2021",$0.06222,$0.06277,$0.06046,$0.06188,"$12,672","$2,365,197"
SUMO,"Oct 11, 2021",$0.06347,$0.06531,$0.06154,$0.06222,"$30,776","$2,376,153"
SUMO,"Oct 10, 2021",$0.06655,$0.06806,$0.0632,$0.06347,"$54,053","$2,422,089"
