symbol,date,open,high,low,close,volume,marketCap
SVX,"Oct 29, 2021",$3.33,$4.91,$3.24,$4.90,"$9,150","$281,248"
SVX,"Oct 28, 2021",$3.53,$3.54,$3.27,$3.33,"$6,594","$191,186"
SVX,"Oct 27, 2021",$3.58,$3.58,$2.05,$3.53,"$4,557","$202,798"
SVX,"Oct 26, 2021",$3.91,$4.13,$3.58,$3.58,"$5,981","$222,419"
SVX,"Oct 25, 2021",$4.08,$4.10,$3.88,$3.91,"$26,214","$242,865"
SVX,"Oct 24, 2021",$4.19,$4.20,$4.07,$4.08,"$6,236","$253,445"
SVX,"Oct 23, 2021",$4.09,$4.20,$4.08,$4.19,"$5,848","$260,442"
SVX,"Oct 22, 2021",$4.46,$4.46,$4.08,$4.09,"$5,564","$253,013"
SVX,"Oct 21, 2021",$4.57,$4.57,$4.46,$4.46,"$7,499","$275,761"
SVX,"Oct 20, 2021",$4.96,$4.96,$4.57,$4.57,"$6,154","$282,761"
SVX,"Oct 19, 2021",$5.05,$5.05,$4.96,$4.96,"$6,313","$306,846"
SVX,"Oct 18, 2021",$4.92,$5.06,$4.92,$5.05,"$7,705","$320,978"
SVX,"Oct 17, 2021",$5.17,$5.40,$4.85,$4.92,"$5,471","$312,287"
SVX,"Oct 16, 2021",$5.13,$5.17,$5.13,$5.17,"$2,696","$328,380"
SVX,"Oct 15, 2021",$5.00,$5.15,$4.99,$5.13,"$8,299","$325,837"
SVX,"Oct 14, 2021",$4.99,$5.00,$4.99,$5.00,"$6,046","$317,533"
SVX,"Oct 13, 2021",$4.89,$5.00,$4.88,$4.99,"$7,373","$317,027"
SVX,"Oct 12, 2021",$6.32,$6.32,$4.80,$4.89,"$4,570","$310,409"
SVX,"Oct 11, 2021",$4.64,$6.34,$4.63,$6.32,$138,"$401,582"
SVX,"Oct 10, 2021",$4.98,$5.69,$4.64,$4.65,$525,"$295,184"
SVX,"Oct 09, 2021",$4.97,$4.98,$4.97,$4.98,$879,"$316,508"
SVX,"Oct 08, 2021",$4.55,$4.99,$4.48,$4.97,"$5,505","$315,611"
SVX,"Oct 07, 2021",$4.97,$4.97,$4.53,$4.55,"$7,172","$289,277"
SVX,"Oct 06, 2021",$5.17,$5.17,$4.97,$4.97,"$7,210","$315,921"
SVX,"Oct 05, 2021",$5.16,$5.17,$5.16,$5.17,"$7,896","$328,267"
SVX,"Oct 04, 2021",$5.17,$5.18,$5.16,$5.16,"$8,432","$328,024"
SVX,"Oct 03, 2021",$5.17,$5.17,$5.16,$5.17,"$5,223","$328,238"
SVX,"Oct 02, 2021",$4.52,$5.17,$4.31,$5.17,"$3,701","$328,216"
SVX,"Oct 01, 2021",$5.45,$5.49,$4.45,$4.52,"$16,606","$287,442"
SVX,"Sep 30, 2021",$5.69,$5.72,$5.20,$5.45,"$8,497","$346,513"
SVX,"Sep 29, 2021",$5.80,$5.81,$5.66,$5.69,"$11,717","$361,691"
SVX,"Sep 28, 2021",$4.65,$5.82,$4.65,$5.80,"$11,792","$368,507"
SVX,"Sep 27, 2021",$4.60,$4.67,$4.56,$4.65,"$9,386","$295,381"
SVX,"Sep 26, 2021",$4.67,$4.69,$4.48,$4.60,"$9,221","$303,806"
SVX,"Sep 25, 2021",$4.71,$4.72,$4.66,$4.67,"$6,805","$308,318"
SVX,"Sep 24, 2021",$4.70,$4.72,$4.69,$4.71,"$9,482","$311,509"
SVX,"Sep 23, 2021",$4.67,$4.71,$4.67,$4.70,"$8,493","$310,293"
SVX,"Sep 22, 2021",$5.32,$5.44,$4.47,$4.67,"$8,281","$308,386"
SVX,"Sep 21, 2021",$5.52,$5.54,$5.29,$5.32,"$10,293","$351,267"
SVX,"Sep 20, 2021",$5.64,$5.65,$5.21,$5.52,"$10,744","$364,668"
SVX,"Sep 19, 2021",$6.03,$6.05,$5.59,$5.64,"$32,133","$372,875"
SVX,"Sep 18, 2021",$5.93,$6.12,$5.89,$6.03,"$27,662","$398,382"
SVX,"Sep 17, 2021",$5.37,$6.05,$5.36,$5.93,"$28,583","$391,741"
SVX,"Sep 16, 2021",$4.03,$5.38,$4.03,$5.37,"$58,868","$355,100"
SVX,"Sep 15, 2021",$3.96,$4.03,$3.49,$4.03,"$6,983","$266,587"
SVX,"Sep 14, 2021",$4.56,$4.78,$3.82,$3.96,"$63,740","$261,818"
SVX,"Sep 13, 2021",$3.77,$5.81,$3.52,$4.56,"$27,197","$301,662"
SVX,"Sep 12, 2021",$4.28,$4.32,$3.65,$3.77,"$8,263","$249,160"
SVX,"Sep 11, 2021",$4.06,$4.32,$4.06,$4.28,"$9,697","$282,521"
SVX,"Sep 10, 2021",$4.51,$4.58,$4.03,$4.06,"$9,803","$268,412"
SVX,"Sep 09, 2021",$4.09,$4.55,$3.98,$4.51,"$11,943","$298,289"
SVX,"Sep 08, 2021",$3.40,$5.23,$3.40,$4.25,"$4,714","$280,784"
SVX,"Sep 07, 2021",$4.22,$5.70,$3.38,$3.40,"$4,578","$224,427"
SVX,"Sep 06, 2021",$4.96,$4.96,$4.21,$4.22,"$9,236","$278,704"
SVX,"Sep 05, 2021",$5.21,$5.25,$4.96,$4.96,"$10,281","$327,596"
