,symbol,date,open,high,low,close,volume,marketCap
0,SYMM,"Oct 19, 2021",$6.61,$6.66,$6.56,$6.64,$0,$0
1,SYMM,"Oct 18, 2021",$6.55,$6.70,$6.51,$6.61,$0,$0
2,SYMM,"Oct 17, 2021",$6.51,$6.57,$6.37,$6.55,$0,$0
3,SYMM,"Oct 16, 2021",$7.28,$7.37,$6.51,$6.52,$0,$0
4,SYMM,"Oct 15, 2021",$7.80,$7.83,$7.26,$7.28,$0,$0
5,SYMM,"Oct 14, 2021",$7.69,$7.86,$7.69,$7.79,$0,$0
6,SYMM,"Oct 13, 2021",$7.74,$7.77,$7.60,$7.73,$0,$0
7,SYMM,"Oct 12, 2021",$8.41,$8.41,$7.73,$7.73,$0,$0
8,SYMM,"Oct 11, 2021",$8.42,$8.43,$8.27,$8.40,$0,$0
9,SYMM,"Oct 10, 2021",$8.17,$8.52,$8.05,$8.38,$0,$0
10,SYMM,"Oct 09, 2021",$8.53,$8.57,$8.03,$8.16,$0,$0
11,SYMM,"Oct 08, 2021",$9.47,$9.51,$8.49,$8.53,$0,$0
12,SYMM,"Oct 07, 2021",$9.69,$9.72,$9.38,$9.48,$0,$0
13,SYMM,"Oct 06, 2021",$8.50,$10.02,$8.43,$9.69,$0,$0
14,SYMM,"Oct 05, 2021",$11.42,$11.73,$8.48,$8.49,$0,$0
15,SYMM,"Oct 04, 2021",$11.66,$11.83,$11.25,$11.42,$0,$0
16,SYMM,"Oct 03, 2021",$12.03,$12.14,$11.59,$11.67,$0,$0
17,SYMM,"Oct 02, 2021",$12.77,$12.79,$12.00,$12.02,$0,$0
18,SYMM,"Oct 01, 2021",$12.25,$12.87,$12.16,$12.77,$0,$0
19,SYMM,"Sep 30, 2021",$11.96,$12.60,$11.64,$12.25,$0,$0
20,SYMM,"Sep 29, 2021",$15.93,$16.40,$11.77,$11.95,$0,$0
21,SYMM,"Sep 28, 2021",$17.48,$17.70,$15.88,$15.93,$0,$0
22,SYMM,"Sep 27, 2021",$17.12,$17.94,$16.82,$17.48,$0,$0
23,SYMM,"Sep 26, 2021",$19.56,$19.60,$16.76,$17.12,$0,$0
24,SYMM,"Sep 25, 2021",$23.13,$23.82,$19.19,$19.57,$0,$0
25,SYMM,"Sep 24, 2021",$25.18,$26.77,$19.03,$23.13,$0,$0
26,SYMM,"Sep 23, 2021",$15.62,$30.81,$15.61,$25.17,$0,$0
27,SYMM,"Sep 22, 2021",$8.68,$22.50,$8.62,$15.65,$0,$0
