symbol,date,open,high,low,close,volume,marketCap
TBC,"Oct 22, 2021",$0.02696,$0.02901,$0.0255,$0.02571,"$41,390",$0
TBC,"Oct 21, 2021",$0.0313,$0.03138,$0.02582,$0.02699,"$62,290",$0
TBC,"Oct 20, 2021",$0.03045,$0.03323,$0.02762,$0.03127,"$146,780",$0
TBC,"Oct 19, 2021",$0.03063,$0.03619,$0.02964,$0.03043,"$117,757",$0
TBC,"Oct 18, 2021",$0.02982,$0.03185,$0.02973,$0.03062,"$30,291",$0
TBC,"Oct 17, 2021",$0.03034,$0.03061,$0.02935,$0.02982,"$16,798",$0
TBC,"Oct 16, 2021",$0.0306,$0.03148,$0.02991,$0.03037,"$37,680",$0
TBC,"Oct 15, 2021",$0.02938,$0.03168,$0.02808,$0.03062,"$57,604",$0
TBC,"Oct 14, 2021",$0.03369,$0.03396,$0.0292,$0.02938,"$70,599",$0
TBC,"Oct 13, 2021",$0.03769,$0.03896,$0.0328,$0.03367,"$113,865",$0
TBC,"Oct 12, 2021",$0.03339,$0.03767,$0.03057,$0.03763,"$123,805",$0
TBC,"Oct 11, 2021",$0.02868,$0.03418,$0.02823,$0.03342,"$106,955",$0
TBC,"Oct 10, 2021",$0.02931,$0.03165,$0.02729,$0.02872,"$72,361",$0
TBC,"Oct 09, 2021",$0.03062,$0.03124,$0.02901,$0.02931,"$71,706",$0
TBC,"Oct 08, 2021",$0.03498,$0.03744,$0.02984,$0.03061,"$114,756",$0
TBC,"Oct 07, 2021",$0.03366,$0.03704,$0.03268,$0.03497,"$418,988",$0
TBC,"Oct 06, 2021",$0.0262,$0.04191,$0.02569,$0.03364,"$384,059",$0
TBC,"Oct 05, 2021",$0.0006932,$0.02636,$0.0006918,$0.0262,"$35,435",$0
TBC,"Oct 04, 2021",$0.0007002,$0.0007005,$0.0006719,$0.0006931,$0,$0
TBC,"Oct 03, 2021",$0.0006969,$0.0007104,$0.0006885,$0.0007004,$0,$0
TBC,"Oct 02, 2021",$0.0006839,$0.0007116,$0.0006694,$0.0006966,$0,$0
TBC,"Oct 01, 2021",$0.000628,$0.0006868,$0.0006227,$0.0006837,$0,$0
TBC,"Sep 30, 2021",$0.0009758,$0.00124,$0.0003423,$0.0006278,$0,$0
TBC,"Sep 29, 2021",$0.00135,$0.001715,$0.0004887,$0.0009763,"$31,380",$0
TBC,"Sep 28, 2021",$0.004798,$0.01237,$0.000477,$0.001351,"$44,241",$0
TBC,"Sep 27, 2021",$0.02392,$0.0248,$0.0001682,$0.004797,"$32,287",$0
TBC,"Sep 26, 2021",$0.02501,$0.02502,$0.02173,$0.02393,"$19,800",$0
TBC,"Sep 25, 2021",$0.02659,$0.02661,$0.02443,$0.02503,"$28,847",$0
TBC,"Sep 24, 2021",$0.02591,$0.02735,$0.02019,$0.02656,"$37,062",$0
TBC,"Sep 23, 2021",$0.02809,$0.02961,$0.02524,$0.02591,"$33,497",$0
TBC,"Sep 22, 2021",$0.02925,$0.0299,$0.02476,$0.02809,"$48,417",$0
TBC,"Sep 21, 2021",$0.02578,$0.03036,$0.02431,$0.02923,"$33,297",$0
TBC,"Sep 20, 2021",$0.02879,$0.02893,$0.02479,$0.02581,"$16,092",$0
TBC,"Sep 19, 2021",$0.02656,$0.03078,$0.02656,$0.02884,"$19,844",$0
TBC,"Sep 18, 2021",$0.02729,$0.02804,$0.02561,$0.02656,"$9,686",$0
TBC,"Sep 17, 2021",$0.02789,$0.02832,$0.02718,$0.0273,"$21,788",$0
