symbol,date,open,high,low,close,volume,marketCap
TCAP,"Oct 29, 2021",$360.02,$377.70,$357.23,$370.74,"$1,042",$0
TCAP,"Oct 28, 2021",$330.38,$359.83,$326.90,$359.64,"$3,297",$0
TCAP,"Oct 27, 2021",$347.33,$360.87,$325.10,$329.93,"$7,887",$0
TCAP,"Oct 26, 2021",$355.70,$373.67,$341.65,$347.51,"$6,698",$0
TCAP,"Oct 25, 2021",$342.06,$357.21,$339.79,$355.01,"$5,324",$0
TCAP,"Oct 24, 2021",$350.10,$358.68,$333.79,$342.59,$64,$0
TCAP,"Oct 23, 2021",$334.28,$355.24,$332.60,$349.76,"$16,683",$0
TCAP,"Oct 22, 2021",$340.23,$348.20,$330.06,$334.04,$0,$0
TCAP,"Oct 21, 2021",$347.51,$362.72,$339.11,$340.59,$722,$0
TCAP,"Oct 20, 2021",$332.28,$348.12,$319.76,$348.12,"$132,454",$0
TCAP,"Oct 19, 2021",$322.99,$335.20,$321.94,$333.83,"$4,811",$0
TCAP,"Oct 18, 2021",$330.73,$335.71,$320.37,$322.97,"$14,399",$0
TCAP,"Oct 17, 2021",$331.79,$337.17,$318.28,$330.43,"$1,025",$0
TCAP,"Oct 16, 2021",$334.56,$341.12,$328.82,$331.80,"$2,836",$0
TCAP,"Oct 15, 2021",$328.41,$336.71,$321.23,$334.10,"$1,575",$0
TCAP,"Oct 14, 2021",$306.05,$329.28,$305.84,$328.80,"$65,362",$0
TCAP,"Oct 13, 2021",$297.18,$306.39,$292.01,$305.85,"$10,866",$0
TCAP,"Oct 12, 2021",$305.15,$305.41,$290.25,$297.07,"$51,206",$0
TCAP,"Oct 11, 2021",$296.27,$311.57,$294.22,$305.35,"$1,218",$0
TCAP,"Oct 10, 2021",$302.05,$308.56,$295.61,$296.54,"$123,530",$0
TCAP,"Oct 09, 2021",$300.31,$304.64,$298.25,$302.40,"$2,267",$0
TCAP,"Oct 08, 2021",$302.87,$308.15,$298.41,$300.41,"$4,260",$0
TCAP,"Oct 07, 2021",$302.69,$312.98,$294.27,$303.24,"$15,770",$0
