,symbol,date,open,high,low,close,volume,marketCap
0,TCT,"Oct 19, 2021",$0.03452,$0.03797,$0.0344,$0.03567,"$5,625,172","$29,177,668"
1,TCT,"Oct 18, 2021",$0.03616,$0.03786,$0.03398,$0.03452,"$4,229,341","$28,236,081"
2,TCT,"Oct 17, 2021",$0.03517,$0.03878,$0.0344,$0.03616,"$15,097,266","$29,575,855"
3,TCT,"Oct 16, 2021",$0.0318,$0.04511,$0.03128,$0.03524,"$44,808,159","$28,824,878"
4,TCT,"Oct 15, 2021",$0.03219,$0.03266,$0.03015,$0.03179,"$4,430,588","$26,003,945"
5,TCT,"Oct 14, 2021",$0.0323,$0.03359,$0.03158,$0.03219,"$6,237,065","$26,330,529"
6,TCT,"Oct 13, 2021",$0.02867,$0.03614,$0.02866,$0.03232,"$16,855,910","$26,437,625"
7,TCT,"Oct 12, 2021",$0.02892,$0.02903,$0.0271,$0.02867,"$1,599,343","$23,448,934"
8,TCT,"Oct 11, 2021",$0.03019,$0.03071,$0.0282,$0.02882,"$2,954,141","$23,570,213"
9,TCT,"Oct 10, 2021",$0.03348,$0.03476,$0.03005,$0.03025,"$3,778,392","$24,739,295"
10,TCT,"Oct 09, 2021",$0.0308,$0.03473,$0.03062,$0.03364,"$7,043,544","$27,511,793"
11,TCT,"Oct 08, 2021",$0.02952,$0.03286,$0.02937,$0.03079,"$3,331,871","$25,184,502"
12,TCT,"Oct 07, 2021",$0.03029,$0.03211,$0.02914,$0.02951,"$2,834,258","$24,136,601"
13,TCT,"Oct 06, 2021",$0.03053,$0.03079,$0.02733,$0.0302,"$5,300,350","$24,702,380"
14,TCT,"Oct 05, 2021",$0.02904,$0.03083,$0.02872,$0.03042,"$3,158,610","$24,884,288"
15,TCT,"Oct 04, 2021",$0.02957,$0.02965,$0.02823,$0.0289,"$2,871,959","$23,634,584"
16,TCT,"Oct 03, 2021",$0.03081,$0.03285,$0.02896,$0.02963,"$6,287,600","$24,233,045"
17,TCT,"Oct 02, 2021",$0.0271,$0.03174,$0.02654,$0.03072,"$4,284,295","$25,129,722"
18,TCT,"Oct 01, 2021",$0.02502,$0.02751,$0.02478,$0.0271,"$2,397,771","$22,167,327"
19,TCT,"Sep 30, 2021",$0.02382,$0.02542,$0.02366,$0.02502,"$1,565,576","$20,467,062"
20,TCT,"Sep 29, 2021",$0.02402,$0.02582,$0.0235,$0.02382,"$1,294,437","$19,481,929"
21,TCT,"Sep 28, 2021",$0.02564,$0.02666,$0.02385,$0.02403,"$1,761,892","$19,652,753"
22,TCT,"Sep 27, 2021",$0.02644,$0.02788,$0.02561,$0.02564,"$1,531,029","$20,973,776"
23,TCT,"Sep 26, 2021",$0.02753,$0.02836,$0.02485,$0.02644,"$2,709,646","$21,625,123"
24,TCT,"Sep 25, 2021",$0.02789,$0.02907,$0.02665,$0.02753,"$5,263,324","$22,514,035"
25,TCT,"Sep 24, 2021",$0.02934,$0.02951,$0.02526,$0.02789,"$3,438,570","$22,807,685"
26,TCT,"Sep 23, 2021",$0.02882,$0.0305,$0.02803,$0.02929,"$5,195,696","$23,953,003"
27,TCT,"Sep 22, 2021",$0.02449,$0.03023,$0.02377,$0.02865,"$6,356,813","$23,434,221"
28,TCT,"Sep 21, 2021",$0.02796,$0.02929,$0.024,$0.02449,"$2,780,757","$20,031,938"
29,TCT,"Sep 20, 2021",$0.03355,$0.03596,$0.02768,$0.02792,"$4,778,736","$22,838,434"
30,TCT,"Sep 19, 2021",$0.0352,$0.03643,$0.03289,$0.03359,"$3,759,998","$27,475,708"
