symbol,date,open,high,low,close,volume,marketCap
TKB,"Oct 29, 2021",$0.003579,$0.00403,$0.003455,$0.003783,$0,$0
TKB,"Oct 28, 2021",$0.003072,$0.003589,$0.003022,$0.003579,$0,$0
TKB,"Oct 27, 2021",$0.003283,$0.003479,$0.002874,$0.003072,$0,$0
TKB,"Oct 26, 2021",$0.003368,$0.003485,$0.003277,$0.003285,"$33,126",$0
TKB,"Oct 25, 2021",$0.004412,$0.004423,$0.003333,$0.003368,"$33,297",$0
TKB,"Oct 24, 2021",$0.004749,$0.004767,$0.00441,$0.004411,"$45,681",$0
TKB,"Oct 23, 2021",$0.006823,$0.006949,$0.00452,$0.004751,"$40,443",$0
TKB,"Oct 22, 2021",$0.006755,$0.00707,$0.006744,$0.006825,"$19,297",$0
TKB,"Oct 21, 2021",$0.00736,$0.007371,$0.006257,$0.006763,"$21,077",$0
TKB,"Oct 20, 2021",$0.007184,$0.00753,$0.007099,$0.007353,"$15,249",$0
TKB,"Oct 19, 2021",$0.006706,$0.007484,$0.006704,$0.007181,"$21,690",$0
TKB,"Oct 18, 2021",$0.006165,$0.006743,$0.006148,$0.006703,"$15,187",$0
TKB,"Oct 17, 2021",$0.005979,$0.006203,$0.005906,$0.006166,"$25,565",$0
TKB,"Oct 16, 2021",$0.007299,$0.007333,$0.005972,$0.005986,"$71,222",$0
TKB,"Oct 15, 2021",$0.01028,$0.01053,$0.007067,$0.007302,"$70,116",$0
TKB,"Oct 14, 2021",$0.01131,$0.01133,$0.01017,$0.01028,"$28,430",$0
TKB,"Oct 13, 2021",$0.01115,$0.01178,$0.01099,$0.0113,"$36,245",$0
TKB,"Oct 12, 2021",$0.0101,$0.01133,$0.009583,$0.01113,"$34,532",$0
TKB,"Oct 11, 2021",$0.01001,$0.01042,$0.009913,$0.01011,"$66,668",$0
TKB,"Oct 10, 2021",$0.01036,$0.0105,$0.009933,$0.01002,"$64,289",$0
TKB,"Oct 09, 2021",$0.01033,$0.01047,$0.01007,$0.01036,"$15,927",$0
TKB,"Oct 08, 2021",$0.01112,$0.01119,$0.01022,$0.01033,"$20,730",$0
TKB,"Oct 07, 2021",$0.01186,$0.01186,$0.01097,$0.01112,"$17,701",$0
TKB,"Oct 06, 2021",$0.01225,$0.01226,$0.01138,$0.01185,"$14,862",$0
TKB,"Oct 05, 2021",$0.01122,$0.0123,$0.01118,$0.01225,"$55,499",$0
TKB,"Oct 04, 2021",$0.01105,$0.01245,$0.01041,$0.01122,"$124,824",$0
TKB,"Oct 03, 2021",$0.01452,$0.01471,$0.009966,$0.01105,"$99,508",$0
TKB,"Oct 02, 2021",$0.01393,$0.01493,$0.01372,$0.01451,"$119,593",$0
TKB,"Oct 01, 2021",$0.01791,$0.01961,$0.01272,$0.01392,"$242,668",$0
TKB,"Sep 30, 2021",$0.01724,$0.02107,$0.01696,$0.0179,"$136,770",$0
TKB,"Sep 29, 2021",$0.01593,$0.01779,$0.01591,$0.01724,"$31,961",$0
TKB,"Sep 28, 2021",$0.01498,$0.01635,$0.01482,$0.01594,"$100,551",$0
TKB,"Sep 27, 2021",$0.01655,$0.01948,$0.01482,$0.01498,"$140,063",$0
TKB,"Sep 26, 2021",$0.01562,$0.01837,$0.01402,$0.01654,"$80,682",$0
TKB,"Sep 25, 2021",$0.01412,$0.01572,$0.01386,$0.01563,"$28,159",$0
TKB,"Sep 24, 2021",$0.0154,$0.01541,$0.01358,$0.01411,"$28,637",$0
TKB,"Sep 23, 2021",$0.01531,$0.0156,$0.01479,$0.0154,"$34,339",$0
TKB,"Sep 22, 2021",$0.01357,$0.01531,$0.01352,$0.01531,"$68,878",$0
TKB,"Sep 21, 2021",$0.01429,$0.01588,$0.01347,$0.01357,"$77,989",$0
TKB,"Sep 20, 2021",$0.01586,$0.01595,$0.01377,$0.01431,"$41,327",$0
TKB,"Sep 19, 2021",$0.01667,$0.0167,$0.01577,$0.0159,"$36,357",$0
TKB,"Sep 18, 2021",$0.01717,$0.01785,$0.01648,$0.01667,"$69,871",$0
TKB,"Sep 17, 2021",$0.01722,$0.01809,$0.01675,$0.01718,"$112,139",$0
TKB,"Sep 16, 2021",$0.01914,$0.01915,$0.01667,$0.01721,"$124,070",$0
TKB,"Sep 15, 2021",$0.01824,$0.01958,$0.01798,$0.01913,"$133,786",$0
TKB,"Sep 14, 2021",$0.01864,$0.02063,$0.01792,$0.01825,"$416,915",$0
TKB,"Sep 13, 2021",$0.0179,$0.02041,$0.01444,$0.01864,"$534,030",$0
TKB,"Sep 12, 2021",$0.0205,$0.02223,$0.01688,$0.0179,"$450,883",$0
TKB,"Sep 11, 2021",$0.01467,$0.02656,$0.01417,$0.0205,"$318,310",$0
TKB,"Sep 10, 2021",$0.01516,$0.0157,$0.01334,$0.01467,"$173,943",$0
TKB,"Sep 09, 2021",$0.01683,$0.0175,$0.0147,$0.01516,"$145,752",$0
TKB,"Sep 08, 2021",$0.01827,$0.0185,$0.01568,$0.01714,"$113,744",$0
TKB,"Sep 07, 2021",$0.02326,$0.02353,$0.01657,$0.01826,"$133,951",$0
TKB,"Sep 06, 2021",$0.02239,$0.02477,$0.02175,$0.02325,"$138,844",$0
TKB,"Sep 05, 2021",$0.02056,$0.02244,$0.01997,$0.02238,"$598,525",$0
TKB,"Sep 04, 2021",$0.01962,$0.02142,$0.01828,$0.02057,"$1,238,591",$0
TKB,"Sep 03, 2021",$0.0205,$0.02061,$0.01817,$0.01956,"$1,097,381",$0
TKB,"Sep 02, 2021",$0.01615,$0.02166,$0.01598,$0.02051,"$845,034",$0
TKB,"Sep 01, 2021",$0.02075,$0.02075,$0.01501,$0.01615,"$687,061",$0
TKB,"Aug 31, 2021",$0.02287,$0.02512,$0.01962,$0.02075,"$886,879",$0
TKB,"Aug 30, 2021",$0.01948,$0.02684,$0.01855,$0.02288,"$1,189,133",$0
TKB,"Aug 29, 2021",$0.01513,$0.02142,$0.01396,$0.01948,"$759,238",$0
TKB,"Aug 28, 2021",$0.01381,$0.01577,$0.01251,$0.01507,"$414,874",$0
TKB,"Aug 27, 2021",$0.01314,$0.01588,$0.01232,$0.01381,"$763,798",$0
TKB,"Aug 26, 2021",$0.01275,$0.01916,$0.01109,$0.01316,"$916,489",$0
