symbol,date,open,high,low,close,volume,marketCap
TKO,"Oct 22, 2021",$1.99,$2.12,$1.98,$2.06,"$39,766,871","$223,257,660"
TKO,"Oct 21, 2021",$2.06,$2.08,$1.96,$1.99,"$33,108,008","$216,454,478"
TKO,"Oct 20, 2021",$2.03,$2.09,$1.98,$2.06,"$27,735,426","$223,584,378"
TKO,"Oct 19, 2021",$2.07,$2.08,$1.99,$2.03,"$35,147,269","$220,540,621"
TKO,"Oct 18, 2021",$2.07,$2.21,$2.02,$2.07,"$40,723,556","$224,172,248"
TKO,"Oct 17, 2021",$2.02,$2.13,$2.00,$2.07,"$36,878,061","$225,005,404"
TKO,"Oct 16, 2021",$1.97,$2.19,$1.97,$2.02,"$43,181,707","$219,186,478"
TKO,"Oct 15, 2021",$2.00,$2.13,$1.90,$1.97,"$47,547,370","$214,005,837"
TKO,"Oct 14, 2021",$2.02,$2.20,$1.97,$2.00,"$54,814,635","$217,008,450"
TKO,"Oct 13, 2021",$1.87,$2.29,$1.78,$2.02,"$80,513,437","$218,761,737"
TKO,"Oct 12, 2021",$1.83,$1.89,$1.73,$1.87,"$27,893,181","$202,426,548"
TKO,"Oct 11, 2021",$1.86,$1.91,$1.81,$1.83,"$22,897,163","$198,576,723"
TKO,"Oct 10, 2021",$1.95,$1.97,$1.86,$1.86,"$25,567,452","$201,784,467"
TKO,"Oct 09, 2021",$1.93,$2.00,$1.90,$1.95,"$31,522,900","$212,036,205"
TKO,"Oct 08, 2021",$1.92,$1.96,$1.87,$1.93,"$32,483,260","$208,871,731"
TKO,"Oct 07, 2021",$1.89,$1.96,$1.83,$1.92,"$31,566,038","$208,391,641"
TKO,"Oct 06, 2021",$1.93,$1.95,$1.78,$1.90,"$34,621,819","$205,708,742"
TKO,"Oct 05, 2021",$1.90,$1.95,$1.86,$1.93,"$30,692,556","$208,884,273"
TKO,"Oct 04, 2021",$1.94,$1.95,$1.84,$1.89,"$42,895,532","$205,048,931"
TKO,"Oct 03, 2021",$1.98,$2.01,$1.91,$1.94,"$32,232,588","$210,012,928"
TKO,"Oct 02, 2021",$1.91,$2.05,$1.83,$1.98,"$45,483,271","$215,129,233"
TKO,"Oct 01, 2021",$1.72,$1.97,$1.71,$1.91,"$36,718,663","$207,579,641"
TKO,"Sep 30, 2021",$1.65,$1.73,$1.64,$1.72,"$32,128,276","$186,391,278"
TKO,"Sep 29, 2021",$1.61,$1.72,$1.60,$1.65,"$24,440,959","$179,246,039"
TKO,"Sep 28, 2021",$1.63,$1.67,$1.60,$1.61,"$28,351,463","$174,312,117"
TKO,"Sep 27, 2021",$1.71,$1.79,$1.62,$1.63,"$32,959,484","$176,969,306"
TKO,"Sep 26, 2021",$1.75,$1.76,$1.59,$1.72,"$32,196,090","$186,202,829"
TKO,"Sep 25, 2021",$1.80,$1.86,$1.72,$1.75,"$35,978,780","$189,850,535"
TKO,"Sep 24, 2021",$1.94,$1.96,$1.70,$1.80,"$45,308,431","$195,670,549"
TKO,"Sep 23, 2021",$1.96,$2.01,$1.88,$1.94,"$45,503,373","$210,155,122"
TKO,"Sep 22, 2021",$1.75,$1.98,$1.75,$1.96,"$65,606,269","$212,778,277"
TKO,"Sep 21, 2021",$1.84,$1.93,$1.71,$1.75,"$43,971,489","$190,082,687"
TKO,"Sep 20, 2021",$2.19,$2.22,$1.80,$1.83,"$55,904,629","$198,912,165"
TKO,"Sep 19, 2021",$2.22,$2.44,$2.15,$2.19,"$84,326,899","$237,362,716"
TKO,"Sep 18, 2021",$2.02,$2.23,$2.01,$2.21,"$38,763,171","$240,122,648"
TKO,"Sep 17, 2021",$2.13,$2.16,$2.00,$2.02,"$29,270,620","$219,506,191"
TKO,"Sep 16, 2021",$2.17,$2.24,$2.09,$2.13,"$38,295,155","$231,620,004"
TKO,"Sep 15, 2021",$2.11,$2.21,$2.09,$2.17,"$34,498,802","$235,602,732"
TKO,"Sep 14, 2021",$2.04,$2.13,$2.00,$2.11,"$37,278,787","$229,383,724"
TKO,"Sep 13, 2021",$2.17,$2.17,$1.97,$2.04,"$51,184,378","$221,529,503"
TKO,"Sep 12, 2021",$2.11,$2.40,$2.08,$2.16,"$67,357,731","$234,824,258"
TKO,"Sep 11, 2021",$2.15,$2.21,$2.05,$2.12,"$47,480,078","$229,489,947"
TKO,"Sep 10, 2021",$2.14,$2.23,$2.01,$2.15,"$54,391,692","$233,093,668"
TKO,"Sep 09, 2021",$2.00,$2.23,$1.99,$2.14,"$54,973,406","$231,898,328"
TKO,"Sep 08, 2021",$2.16,$2.18,$1.86,$2.08,"$59,145,161","$225,288,500"
TKO,"Sep 07, 2021",$2.73,$2.76,$1.94,$2.16,"$90,528,962","$234,828,888"
TKO,"Sep 06, 2021",$2.73,$2.83,$2.65,$2.73,"$74,761,805","$296,361,019"
TKO,"Sep 05, 2021",$2.71,$2.79,$2.68,$2.73,"$55,258,107","$296,622,569"
TKO,"Sep 04, 2021",$2.66,$2.95,$2.63,$2.71,"$72,568,582","$294,091,222"
TKO,"Sep 03, 2021",$2.68,$2.77,$2.62,$2.66,"$52,623,420","$288,653,045"
TKO,"Sep 02, 2021",$2.72,$2.85,$2.67,$2.68,"$62,329,702","$290,895,506"
TKO,"Sep 01, 2021",$2.59,$2.77,$2.52,$2.72,"$64,417,054","$295,518,018"
TKO,"Aug 31, 2021",$2.66,$2.83,$2.54,$2.59,"$73,087,726","$281,381,221"
TKO,"Aug 30, 2021",$2.88,$2.95,$2.63,$2.65,"$74,991,652","$287,768,170"
TKO,"Aug 29, 2021",$3.04,$3.13,$2.85,$2.88,"$76,509,683","$312,227,609"
TKO,"Aug 28, 2021",$3.14,$3.46,$2.96,$3.04,"$142,486,618","$330,266,276"
TKO,"Aug 27, 2021",$2.71,$3.23,$2.65,$3.14,"$195,606,986","$340,598,085"
TKO,"Aug 26, 2021",$2.92,$3.22,$2.53,$2.71,"$223,990,343","$294,251,828"
TKO,"Aug 25, 2021",$2.19,$3.29,$2.07,$2.92,"$248,322,660","$316,921,450"
TKO,"Aug 24, 2021",$2.35,$2.37,$2.15,$2.20,"$47,214,571","$238,281,579"
TKO,"Aug 23, 2021",$2.28,$2.36,$2.23,$2.34,"$47,633,467","$254,256,726"
TKO,"Aug 22, 2021",$2.25,$2.39,$2.18,$2.27,"$44,993,370","$246,749,402"
TKO,"Aug 21, 2021",$2.31,$2.34,$2.23,$2.25,"$39,725,958","$243,767,336"
TKO,"Aug 20, 2021",$2.19,$2.37,$2.18,$2.31,"$44,613,600","$250,860,647"
TKO,"Aug 19, 2021",$2.13,$2.23,$2.04,$2.19,"$52,892,149","$237,921,693"
TKO,"Aug 18, 2021",$2.19,$2.35,$2.08,$2.13,"$56,068,862","$231,337,384"
TKO,"Aug 17, 2021",$2.25,$2.51,$2.13,$2.19,"$97,578,258","$237,626,186"
