symbol,date,open,high,low,close,volume,marketCap
TLOS,"Oct 22, 2021",$0.9789,$1.02,$0.9695,$0.9828,"$2,335,769","$265,489,679"
TLOS,"Oct 21, 2021",$0.9816,$1.01,$0.9601,$0.9793,"$3,703,156","$264,526,304"
TLOS,"Oct 20, 2021",$0.8785,$0.9831,$0.8556,$0.9803,"$3,824,415","$264,810,960"
TLOS,"Oct 19, 2021",$0.9101,$0.9286,$0.8599,$0.8783,"$2,644,418","$237,260,429"
TLOS,"Oct 18, 2021",$0.9039,$0.9449,$0.9039,$0.91,"$2,070,520","$245,819,814"
TLOS,"Oct 17, 2021",$0.8744,$0.9057,$0.8443,$0.9039,"$1,814,758","$244,166,991"
TLOS,"Oct 16, 2021",$0.9073,$0.921,$0.8706,$0.8746,"$1,425,293","$236,259,663"
TLOS,"Oct 15, 2021",$0.9239,$0.9258,$0.9023,$0.9075,"$1,688,344","$245,146,538"
TLOS,"Oct 14, 2021",$0.9525,$0.9669,$0.9083,$0.9239,"$3,207,234","$249,555,329"
TLOS,"Oct 13, 2021",$1.00,$1.02,$0.9416,$0.9522,"$3,470,758","$257,198,323"
TLOS,"Oct 12, 2021",$1.04,$1.08,$0.9485,$1.00,"$6,579,977","$270,442,338"
TLOS,"Oct 11, 2021",$1.05,$1.07,$1.02,$1.05,"$3,943,153","$282,349,718"
TLOS,"Oct 10, 2021",$1.00,$1.13,$0.9799,$1.06,"$5,291,683","$284,995,462"
TLOS,"Oct 09, 2021",$0.9326,$1.02,$0.9326,$1.00,"$3,175,034","$270,991,506"
TLOS,"Oct 08, 2021",$0.931,$0.9453,$0.9034,$0.9324,"$3,287,483","$251,870,536"
TLOS,"Oct 07, 2021",$0.898,$0.9551,$0.8896,$0.9308,"$4,635,153","$251,425,418"
TLOS,"Oct 06, 2021",$0.8393,$0.9375,$0.8311,$0.8972,"$3,119,329","$242,355,257"
TLOS,"Oct 05, 2021",$0.88,$0.8864,$0.8316,$0.8393,"$2,020,875","$226,723,195"
TLOS,"Oct 04, 2021",$0.8984,$0.9239,$0.8547,$0.8799,"$3,623,301","$237,688,187"
