,symbol,date,open,high,low,close,volume,marketCap
0,TNC,"Oct 19, 2021",$0.003312,$0.003377,$0.003169,$0.003269,"$2,577,789","$19,129,133"
1,TNC,"Oct 18, 2021",$0.003332,$0.003389,$0.003189,$0.003312,"$2,454,998","$19,379,418"
2,TNC,"Oct 17, 2021",$0.003343,$0.003367,$0.00322,$0.003333,"$1,925,073","$19,502,680"
3,TNC,"Oct 16, 2021",$0.003506,$0.003508,$0.003258,$0.003343,"$2,252,714","$19,557,931"
4,TNC,"Oct 15, 2021",$0.003285,$0.003638,$0.0031,$0.003507,"$2,300,606","$20,521,321"
5,TNC,"Oct 14, 2021",$0.003592,$0.003703,$0.003086,$0.003286,"$2,331,761","$19,226,821"
6,TNC,"Oct 13, 2021",$0.003589,$0.003697,$0.003418,$0.003592,"$2,688,145","$21,018,118"
7,TNC,"Oct 12, 2021",$0.00377,$0.003825,$0.003543,$0.00359,"$2,127,999","$21,004,190"
8,TNC,"Oct 11, 2021",$0.003716,$0.00385,$0.003586,$0.003769,"$2,384,454","$22,051,686"
9,TNC,"Oct 10, 2021",$0.003777,$0.003808,$0.003653,$0.003717,"$2,571,288","$21,750,352"
10,TNC,"Oct 09, 2021",$0.003564,$0.003834,$0.003507,$0.003777,"$2,340,836","$22,101,562"
11,TNC,"Oct 08, 2021",$0.003576,$0.003655,$0.003353,$0.003563,"$2,493,403","$20,847,408"
12,TNC,"Oct 07, 2021",$0.004124,$0.004124,$0.003491,$0.003576,"$2,928,388","$20,923,204"
13,TNC,"Oct 06, 2021",$0.003711,$0.004139,$0.003622,$0.004125,"$2,844,616","$24,135,999"
14,TNC,"Oct 05, 2021",$0.00304,$0.003763,$0.00292,$0.00371,"$2,161,842","$21,710,542"
15,TNC,"Oct 04, 2021",$0.003199,$0.003225,$0.002797,$0.00304,"$2,357,191","$17,789,231"
16,TNC,"Oct 03, 2021",$0.003317,$0.003319,$0.003031,$0.003199,"$1,744,966","$18,718,693"
17,TNC,"Oct 02, 2021",$0.002974,$0.003334,$0.002834,$0.003318,"$2,164,506","$19,412,185"
18,TNC,"Oct 01, 2021",$0.002799,$0.003066,$0.002702,$0.002974,"$2,060,159","$17,404,161"
19,TNC,"Sep 30, 2021",$0.002772,$0.002912,$0.002589,$0.002799,"$1,858,934","$16,376,705"
20,TNC,"Sep 29, 2021",$0.002918,$0.002969,$0.002724,$0.002771,"$1,857,630","$16,212,552"
21,TNC,"Sep 28, 2021",$0.003207,$0.003238,$0.002585,$0.002916,"$1,644,059","$17,063,497"
22,TNC,"Sep 27, 2021",$0.003404,$0.003448,$0.003197,$0.003207,"$2,417,267","$18,765,862"
23,TNC,"Sep 26, 2021",$0.003432,$0.003459,$0.003273,$0.003405,"$2,701,696","$19,924,288"
24,TNC,"Sep 25, 2021",$0.003805,$0.003831,$0.003282,$0.003432,"$2,458,199","$20,081,844"
25,TNC,"Sep 24, 2021",$0.003954,$0.004111,$0.003742,$0.003805,"$3,105,201","$22,263,231"
26,TNC,"Sep 23, 2021",$0.003926,$0.004102,$0.00389,$0.003955,"$3,550,132","$23,139,707"
27,TNC,"Sep 22, 2021",$0.003864,$0.003983,$0.003832,$0.003926,"$3,028,090","$22,972,535"
28,TNC,"Sep 21, 2021",$0.003955,$0.003993,$0.003799,$0.003862,"$2,818,379","$22,596,040"
29,TNC,"Sep 20, 2021",$0.004222,$0.004263,$0.003441,$0.003956,"$2,380,133","$23,144,396"
30,TNC,"Sep 19, 2021",$0.004464,$0.004719,$0.004201,$0.004222,"$4,466,680","$24,704,305"
31,TNC,"Sep 18, 2021",$0.004387,$0.004472,$0.004258,$0.004463,"$3,404,823","$26,114,451"
32,TNC,"Sep 17, 2021",$0.004564,$0.004564,$0.00381,$0.004386,"$4,245,049","$25,666,101"
33,TNC,"Sep 16, 2021",$0.0048,$0.004804,$0.004511,$0.004563,"$3,784,553","$26,700,247"
34,TNC,"Sep 15, 2021",$0.00469,$0.004809,$0.004634,$0.004798,"$2,103,432","$28,072,718"
35,TNC,"Sep 14, 2021",$0.004571,$0.004763,$0.004535,$0.004689,"$1,919,489","$27,438,190"
36,TNC,"Sep 13, 2021",$0.004968,$0.00498,$0.003843,$0.004571,"$2,637,190","$26,747,714"
37,TNC,"Sep 12, 2021",$0.004916,$0.005298,$0.004812,$0.004969,"$3,256,039","$28,189,550"
38,TNC,"Sep 11, 2021",$0.004943,$0.005024,$0.004733,$0.004916,"$1,942,969","$27,889,116"
