symbol,date,open,high,low,close,volume,marketCap
TTB,"Oct 22, 2021",$0.001878,$0.00197,$0.001875,$0.001906,$0,$0
TTB,"Oct 21, 2021",$0.001991,$0.002008,$0.001865,$0.001881,$0,$0
TTB,"Oct 20, 2021",$0.001934,$0.002025,$0.001919,$0.001989,$0,$0
TTB,"Oct 19, 2021",$0.001927,$0.001992,$0.001913,$0.001933,$0,$0
TTB,"Oct 18, 2021",$0.001983,$0.001983,$0.00187,$0.001926,$0,$0
TTB,"Oct 17, 2021",$0.001983,$0.001996,$0.001935,$0.001984,$0,$0
TTB,"Oct 16, 2021",$0.002097,$0.002131,$0.001967,$0.001985,"$11,652",$0
TTB,"Oct 15, 2021",$0.002441,$0.002462,$0.002054,$0.002098,"$17,042",$0
TTB,"Oct 14, 2021",$0.002753,$0.002783,$0.002408,$0.00244,"$22,085",$0
TTB,"Oct 13, 2021",$0.002626,$0.002835,$0.002588,$0.002751,"$36,070",$0
TTB,"Oct 12, 2021",$0.002983,$0.002985,$0.002373,$0.002623,"$68,263",$0
TTB,"Oct 11, 2021",$0.003754,$0.003922,$0.002969,$0.002986,"$201,524",$0
TTB,"Oct 10, 2021",$0.006503,$0.007424,$0.003749,$0.003759,"$611,355",$0
TTB,"Oct 09, 2021",$0.008111,$0.008927,$0.006302,$0.006502,"$939,526",$0
