symbol,date,open,high,low,close,volume,marketCap
TULIP,"Oct 29, 2021",$25.19,$25.42,$22.25,$22.50,"$3,451,223","$18,342,022"
TULIP,"Oct 28, 2021",$21.58,$25.88,$21.58,$25.19,"$6,264,748","$20,538,583"
TULIP,"Oct 27, 2021",$17.16,$21.96,$17.02,$21.59,"$5,804,336","$17,596,387"
TULIP,"Oct 26, 2021",$16.91,$17.64,$16.52,$17.16,"$2,045,016","$13,984,998"
TULIP,"Oct 25, 2021",$17.53,$17.57,$16.47,$16.91,"$2,122,130","$13,788,138"
TULIP,"Oct 24, 2021",$18.57,$18.64,$17.51,$17.53,"$663,306","$14,289,215"
TULIP,"Oct 23, 2021",$18.50,$18.76,$18.29,$18.59,"$679,565","$15,155,686"
TULIP,"Oct 22, 2021",$18.54,$19.06,$18.08,$18.50,"$1,296,159","$15,083,490"
TULIP,"Oct 21, 2021",$17.98,$19.28,$17.88,$18.54,"$2,030,732","$15,116,553"
TULIP,"Oct 20, 2021",$17.59,$18.21,$17.41,$17.98,"$984,396","$14,659,825"
TULIP,"Oct 19, 2021",$18.77,$19.25,$17.53,$17.59,"$1,446,698","$14,336,121"
TULIP,"Oct 18, 2021",$19.16,$20.58,$18.49,$18.78,"$1,660,962","$15,310,891"
TULIP,"Oct 17, 2021",$17.83,$19.17,$17.80,$19.17,"$684,281","$15,628,161"
TULIP,"Oct 16, 2021",$17.86,$17.97,$17.10,$17.83,"$945,544","$14,537,705"
TULIP,"Oct 15, 2021",$15.77,$17.86,$15.53,$17.86,"$1,291,223","$14,557,409"
TULIP,"Oct 14, 2021",$14.53,$15.86,$14.46,$15.77,"$1,048,537","$12,859,321"
TULIP,"Oct 13, 2021",$14.92,$15.02,$14.53,$14.53,"$590,859","$11,848,798"
TULIP,"Oct 12, 2021",$15.15,$15.19,$13.36,$14.90,"$1,994,376","$12,146,820"
TULIP,"Oct 11, 2021",$15.33,$15.47,$14.61,$15.15,"$1,172,193","$12,350,970"
TULIP,"Oct 10, 2021",$16.31,$16.32,$15.31,$15.33,"$951,279","$12,500,268"
TULIP,"Oct 09, 2021",$17.05,$17.13,$16.25,$16.31,"$618,766","$13,298,677"
TULIP,"Oct 08, 2021",$16.79,$17.20,$16.74,$17.05,"$599,815","$13,899,006"
TULIP,"Oct 07, 2021",$18.38,$18.65,$16.65,$16.79,"$1,734,397","$13,688,920"
