symbol,date,open,high,low,close,volume,marketCap
UBN,"Oct 22, 2021",$0.0001662,$0.0001744,$0.0001602,$0.0001628,$364,"$380,511"
UBN,"Oct 21, 2021",$0.0001704,$0.0001812,$0.0001654,$0.0001664,$346,"$388,994"
UBN,"Oct 20, 2021",$0.000159,$0.0001739,$0.0001572,$0.0001702,$336,"$397,829"
UBN,"Oct 19, 2021",$0.0001537,$0.000161,$0.0001532,$0.000159,$328,"$371,585"
UBN,"Oct 18, 2021",$0.0001577,$0.0001628,$0.0001512,$0.0001537,$351,"$359,285"
UBN,"Oct 17, 2021",$0.000157,$0.0001641,$0.0001514,$0.0001578,$363,"$368,831"
UBN,"Oct 16, 2021",$0.0001622,$0.0001664,$0.000156,$0.0001571,$352,"$367,315"
UBN,"Oct 15, 2021",$0.0001552,$0.0001636,$0.0001531,$0.0001623,$360,"$379,385"
UBN,"Oct 14, 2021",$0.0001479,$0.0001604,$0.0001472,$0.0001553,$334,"$363,018"
UBN,"Oct 13, 2021",$0.0001432,$0.000151,$0.0001407,$0.0001478,$335,"$345,447"
UBN,"Oct 12, 2021",$0.0001489,$0.000149,$0.0001397,$0.0001432,$316,"$334,842"
UBN,"Oct 11, 2021",$0.0001439,$0.0001513,$0.0001402,$0.0001488,$324,"$347,824"
UBN,"Oct 10, 2021",$0.0001502,$0.0001513,$0.000141,$0.000144,$327,"$336,713"
UBN,"Oct 09, 2021",$0.0001461,$0.0001518,$0.0001453,$0.0001502,$315,"$351,090"
UBN,"Oct 08, 2021",$0.0001507,$0.0001541,$0.0001455,$0.000146,$326,"$341,393"
UBN,"Oct 07, 2021",$0.0001504,$0.0001533,$0.0001439,$0.0001507,$327,"$352,250"
UBN,"Oct 06, 2021",$0.0001443,$0.0001521,$0.0001382,$0.0001506,$315,"$351,924"
UBN,"Oct 05, 2021",$0.0001386,$0.0001485,$0.000138,$0.0001443,$285,"$337,211"
UBN,"Oct 04, 2021",$0.0001436,$0.0001438,$0.0001346,$0.0001386,$307,"$324,009"
UBN,"Oct 03, 2021",$0.0001425,$0.0001463,$0.0001373,$0.0001435,$315,"$335,450"
UBN,"Oct 02, 2021",$0.0001389,$0.0001455,$0.000134,$0.0001425,$311,"$333,140"
UBN,"Oct 01, 2021",$0.0001261,$0.0001392,$0.0001226,$0.000139,$273,"$324,928"
UBN,"Sep 30, 2021",$0.0001198,$0.000128,$0.0001193,$0.0001261,$276,"$294,758"
UBN,"Sep 29, 2021",$0.0001151,$0.000123,$0.0001143,$0.0001197,$234,"$279,797"
UBN,"Sep 28, 2021",$0.0001203,$0.0001247,$0.0001145,$0.0001149,$269,"$268,580"
UBN,"Sep 27, 2021",$0.0001256,$0.0001322,$0.0001202,$0.0001202,$275,"$281,072"
UBN,"Sep 26, 2021",$0.0001199,$0.0001308,$0.0001133,$0.0001256,$275,"$293,697"
UBN,"Sep 25, 2021",$0.0001231,$0.0001241,$0.0001172,$0.00012,$260,"$280,589"
UBN,"Sep 24, 2021",$0.0001325,$0.0001327,$0.0001139,$0.0001231,$255,"$287,845"
UBN,"Sep 23, 2021",$0.0001262,$0.0001333,$0.0001246,$0.0001326,$269,"$309,948"
UBN,"Sep 22, 2021",$0.0001133,$0.0001297,$0.0001124,$0.0001261,$298,"$294,757"
UBN,"Sep 21, 2021",$0.0001243,$0.0001298,$0.0001118,$0.0001129,$254,"$263,812"
UBN,"Sep 20, 2021",$0.0001398,$0.0001404,$0.000123,$0.0001245,$244,"$290,925"
UBN,"Sep 19, 2021",$0.0001441,$0.0001447,$0.0001347,$0.0001399,$295,"$326,964"
UBN,"Sep 18, 2021",$0.0001393,$0.0001475,$0.0001383,$0.000144,$296,"$336,686"
UBN,"Sep 17, 2021",$0.0001464,$0.0001508,$0.0001387,$0.0001392,$314,"$325,410"
UBN,"Sep 16, 2021",$0.0001517,$0.0001543,$0.0001431,$0.0001464,$315,"$342,135"
UBN,"Sep 15, 2021",$0.0001406,$0.0001518,$0.000138,$0.0001518,$338,"$354,943"
UBN,"Sep 14, 2021",$0.000138,$0.0001439,$0.0001346,$0.0001404,$297,"$328,281"
UBN,"Sep 13, 2021",$0.0001432,$0.0001439,$0.0001305,$0.000138,$297,"$322,567"
UBN,"Sep 12, 2021",$0.0001374,$0.0001448,$0.0001336,$0.0001433,$328,"$334,949"
UBN,"Sep 11, 2021",$0.0001317,$0.0001406,$0.0001316,$0.0001373,$281,"$320,894"
UBN,"Sep 10, 2021",$0.0001028,$0.0001399,$0.00006461,$0.0001316,$75,"$307,554"
UBN,"Sep 09, 2021",$0.0001036,$0.0001069,$0.00006801,$0.0001029,$19,"$240,509"
UBN,"Sep 08, 2021",$0.0001028,$0.0001068,$0.00006639,$0.00006995,$19,"$163,505"
UBN,"Sep 07, 2021",$0.00007857,$0.0001183,$0.00006653,$0.0001028,$18,"$240,372"
UBN,"Sep 06, 2021",$0.00007904,$0.000119,$0.00007738,$0.00007857,$19,"$183,658"
UBN,"Sep 05, 2021",$0.0001166,$0.0001194,$0.00007695,$0.00007908,$20,"$184,852"
UBN,"Sep 04, 2021",$0.0001182,$0.0001191,$0.00007676,$0.0001166,$20,"$272,483"
UBN,"Sep 03, 2021",$0.00007582,$0.0001207,$0.00007463,$0.0001181,$22,"$276,170"
UBN,"Sep 02, 2021",$0.0000767,$0.0001148,$0.00007454,$0.00007585,$19,"$177,315"
UBN,"Sep 01, 2021",$0.00006867,$0.0001121,$0.0000681,$0.00007674,$20,"$179,380"
UBN,"Aug 31, 2021",$0.00006449,$0.0001038,$0.0000639,$0.00006873,$18,"$160,651"
UBN,"Aug 30, 2021",$0.00009682,$0.0001004,$0.0000631,$0.0000645,$19,"$150,772"
UBN,"Aug 29, 2021",$0.00006494,$0.0000985,$0.00006318,$0.00009681,$16,"$226,302"
UBN,"Aug 28, 2021",$0.00009825,$0.00009855,$0.00006435,$0.00006489,$16,"$151,681"
UBN,"Aug 27, 2021",$0.00009301,$0.00009846,$0.00006221,$0.00009812,$17,"$229,359"
UBN,"Aug 26, 2021",$0.00009675,$0.00009749,$0.00006121,$0.000093,$18,"$217,401"
UBN,"Aug 25, 2021",$0.00006345,$0.00009746,$0.00006172,$0.00009676,$16,"$226,175"
UBN,"Aug 24, 2021",$0.00006639,$0.0001008,$0.00006308,$0.00006353,$18,"$148,497"
UBN,"Aug 23, 2021",$0.00009726,$0.0001012,$0.00006472,$0.00006638,$16,"$155,158"
UBN,"Aug 22, 2021",$0.00006452,$0.00009818,$0.00006292,$0.00009732,$14,"$227,488"
UBN,"Aug 21, 2021",$0.00009861,$0.00009907,$0.00006432,$0.00006453,$19,"$150,846"
UBN,"Aug 20, 2021",$0.00009548,$0.00009862,$0.0000641,$0.00009862,$17,"$230,544"
UBN,"Aug 19, 2021",$0.00009057,$0.00009542,$0.00005926,$0.00009542,$17,"$223,060"
UBN,"Aug 18, 2021",$0.00006024,$0.00009375,$0.00005918,$0.0000906,$17,"$211,791"
UBN,"Aug 17, 2021",$0.00009448,$0.00009866,$0.00005993,$0.0000603,$17,"$140,949"
UBN,"Aug 16, 2021",$0.00009932,$0.0001,$0.00006284,$0.0000947,$17,"$221,358"
UBN,"Aug 15, 2021",$0.00009796,$0.00009927,$0.00006236,$0.00009926,$18,"$232,027"
UBN,"Aug 14, 2021",$0.00006644,$0.00009988,$0.00006429,$0.00009795,$17,"$228,956"
UBN,"Aug 13, 2021",$0.0000913,$0.0000988,$0.00006219,$0.00006648,$18,"$155,411"
UBN,"Aug 12, 2021",$0.00009493,$0.00009709,$0.00006086,$0.00009135,$17,"$213,543"
UBN,"Aug 11, 2021",$0.00009425,$0.00009808,$0.00006288,$0.0000951,$18,"$222,296"
UBN,"Aug 10, 2021",$0.00006336,$0.00009687,$0.00006167,$0.00009421,$16,"$220,232"
UBN,"Aug 09, 2021",$0.00009039,$0.00009557,$0.00005804,$0.00006328,$18,"$147,932"
UBN,"Aug 08, 2021",$0.00009472,$0.00009554,$0.00005903,$0.00009031,$16,"$211,105"
UBN,"Aug 07, 2021",$0.00008675,$0.00009511,$0.00005779,$0.00009497,$18,"$222,003"
UBN,"Aug 06, 2021",$0.00005655,$0.00008835,$0.00005456,$0.00008681,$15,"$202,921"
UBN,"Aug 05, 2021",$0.00005449,$0.00008521,$0.00005081,$0.00005655,$15,"$132,196"
UBN,"Aug 04, 2021",$0.00005019,$0.00008162,$0.00004933,$0.00005453,$14,"$127,469"
UBN,"Aug 03, 2021",$0.0000783,$0.0000783,$0.00004902,$0.00005005,$15,"$116,985"
UBN,"Aug 02, 2021",$0.00005124,$0.0000797,$0.00005033,$0.00007826,$13,"$182,946"
UBN,"Aug 01, 2021",$0.00005072,$0.00008086,$0.00005042,$0.00005134,$14,"$120,007"
UBN,"Jul 31, 2021",$0.00007401,$0.00007434,$0.00004848,$0.00005078,$13,"$118,708"
UBN,"Jul 30, 2021",$0.00004762,$0.00007409,$0.00004672,$0.00007397,$14,"$172,904"
UBN,"Jul 29, 2021",$0.00004593,$0.00007181,$0.00004547,$0.00004758,$12,"$111,225"
UBN,"Jul 28, 2021",$0.00004604,$0.00006998,$0.00004542,$0.00004598,$12,"$107,486"
UBN,"Jul 27, 2021",$0.000067,$0.00006951,$0.00004309,$0.00004597,$13,"$107,451"
UBN,"Jul 26, 2021",$0.00004383,$0.00007286,$0.00004355,$0.00006713,$11,"$156,918"
UBN,"Jul 25, 2021",$0.00004378,$0.00006583,$0.00004244,$0.00004386,$13,"$102,515"
UBN,"Jul 24, 2021",$0.00006374,$0.00006593,$0.00004215,$0.00004375,$12,"$102,268"
UBN,"Jul 23, 2021",$0.00006076,$0.00006388,$0.00004024,$0.00006373,$11,"$148,977"
UBN,"Jul 22, 2021",$0.00005973,$0.00006132,$0.00003935,$0.00006076,$11,"$142,022"
UBN,"Jul 21, 2021",$0.00003575,$0.00006077,$0.00003564,$0.00005967,$10,"$139,475"
UBN,"Jul 20, 2021",$0.00005457,$0.00005457,$0.00003444,$0.00003576,$9,"$83,603"
UBN,"Jul 19, 2021",$0.00005679,$0.00005748,$0.00003616,$0.00005452,$9,"$127,443"
UBN,"Jul 18, 2021",$0.00005701,$0.00005965,$0.00003767,$0.00005687,$10,"$132,930"
UBN,"Jul 17, 2021",$0.00005631,$0.00005744,$0.00003711,$0.00005696,$10,"$133,160"
UBN,"Jul 16, 2021",$0.0000575,$0.00005879,$0.00003707,$0.00005641,$11,"$131,867"
UBN,"Jul 15, 2021",$0.00005983,$0.00006056,$0.00003767,$0.00005734,$11,"$134,026"
UBN,"Jul 14, 2021",$0.00005824,$0.0000603,$0.00003742,$0.0000598,$11,"$139,793"
UBN,"Jul 13, 2021",$0.00006102,$0.0000612,$0.00003845,$0.0000582,$11,"$136,053"
UBN,"Jul 12, 2021",$0.00004279,$0.0000649,$0.00004022,$0.0000611,$11,"$142,830"
UBN,"Jul 11, 2021",$0.00004223,$0.00006518,$0.00004221,$0.00004279,$12,"$100,027"
UBN,"Jul 10, 2021",$0.00004293,$0.0000657,$0.00004164,$0.00004221,$11,"$98,679"
UBN,"Jul 09, 2021",$0.00006347,$0.00006466,$0.00004133,$0.000043,$12,"$100,524"
UBN,"Jul 08, 2021",$0.0000463,$0.00006955,$0.00004179,$0.0000636,$12,"$148,672"
UBN,"Jul 07, 2021",$0.00004649,$0.00007211,$0.0000461,$0.00004624,$12,"$108,088"
UBN,"Jul 06, 2021",$0.00004397,$0.00006993,$0.00004396,$0.00004651,$12,"$108,719"
UBN,"Jul 05, 2021",$0.00004643,$0.00006892,$0.00004326,$0.00004409,$12,"$103,061"
UBN,"Jul 04, 2021",$0.00006678,$0.00007113,$0.00004382,$0.00004642,$13,"$108,513"
UBN,"Jul 03, 2021",$0.000043,$0.00006708,$0.00004252,$0.0000668,$11,"$156,158"
UBN,"Jul 02, 2021",$0.00004227,$0.00006406,$0.0000406,$0.00004301,$13,"$100,532"
UBN,"Jul 01, 2021",$0.00006823,$0.00006823,$0.00004162,$0.00004221,$12,"$98,674"
UBN,"Jun 30, 2021",$0.00004328,$0.0000684,$0.00004191,$0.00006819,$12,"$159,390"
UBN,"Jun 29, 2021",$0.00004167,$0.00006727,$0.00004152,$0.00004331,$11,"$101,248"
UBN,"Jun 28, 2021",$0.00003963,$0.00006419,$0.00003931,$0.00004162,$11,"$97,293"
UBN,"Jun 27, 2021",$0.00003662,$0.00005899,$0.00003631,$0.00003951,$11,"$92,353"
UBN,"Jun 26, 2021",$0.00005433,$0.00005543,$0.00003439,$0.00003649,$9,"$85,296"
UBN,"Jun 25, 2021",$0.00005968,$0.00006038,$0.00003606,$0.00005442,$10,"$127,222"
UBN,"Jun 24, 2021",$0.00003937,$0.00006097,$0.00003802,$0.00005968,$12,"$139,508"
UBN,"Jun 23, 2021",$0.00005625,$0.00006112,$0.00003655,$0.00005977,$11,"$139,729"
UBN,"Jun 22, 2021",$0.00005665,$0.00005979,$0.00003415,$0.0000562,$8,"$131,369"
UBN,"Jun 21, 2021",$0.00006739,$0.00006778,$0.00003791,$0.00005661,$10,"$132,337"
UBN,"Jun 20, 2021",$0.00006535,$0.00006826,$0.00004145,$0.00006739,$12,"$157,535"
UBN,"Jun 19, 2021",$0.00006695,$0.00006756,$0.00004349,$0.0000653,$11,"$152,636"
UBN,"Jun 18, 2021",$0.00004744,$0.00007132,$0.00004304,$0.00006696,$12,"$156,533"
UBN,"Jun 17, 2021",$0.00007103,$0.00007359,$0.00004625,$0.00004743,$14,"$110,862"
UBN,"Jun 16, 2021",$0.0000764,$0.00007664,$0.00004783,$0.00007099,$14,"$165,938"
UBN,"Jun 15, 2021",$0.0000517,$0.0001125,$0.00005059,$0.0001124,$46,"$262,641"
UBN,"Jun 14, 2021",$0.00005018,$0.00007736,$0.00004948,$0.00007609,$13,"$177,856"
UBN,"Jun 13, 2021",$0.00004745,$0.00007642,$0.00004625,$0.00005016,$12,"$117,248"
UBN,"Jun 12, 2021",$0.0000471,$0.0000733,$0.00004532,$0.00004742,$11,"$110,848"
UBN,"Jun 11, 2021",$0.00007415,$0.00007486,$0.00004654,$0.00004702,$14,"$109,918"
UBN,"Jun 10, 2021",$0.00007825,$0.0000786,$0.00004939,$0.00007411,$14,"$173,228"
UBN,"Jun 09, 2021",$0.00007552,$0.00007839,$0.00004848,$0.00007817,$14,"$182,722"
UBN,"Jun 08, 2021",$0.00005189,$0.00007847,$0.00004631,$0.00007557,$12,"$176,654"
UBN,"Jun 07, 2021",$0.00008145,$0.00008514,$0.00005168,$0.00005181,$16,"$121,099"
UBN,"Jun 06, 2021",$0.00005261,$0.0000823,$0.00005232,$0.00008144,$14,"$190,376"
UBN,"Jun 05, 2021",$0.00008065,$0.00008374,$0.00005116,$0.00005256,$15,"$122,863"
UBN,"Jun 04, 2021",$0.00005714,$0.00008502,$0.00005131,$0.00008066,$15,"$188,547"
UBN,"Jun 03, 2021",$0.00008125,$0.00008674,$0.00005341,$0.0000571,$14,"$133,482"
UBN,"Jun 02, 2021",$0.00007901,$0.00008404,$0.00005111,$0.00008128,$39,"$189,999"
UBN,"Jun 01, 2021",$0.0000543,$0.00008219,$0.00005062,$0.00007894,$15,"$184,525"
UBN,"May 31, 2021",$0.0001195,$0.000129,$0.00005183,$0.00005413,$25,"$126,524"
UBN,"May 30, 2021",$0.000114,$0.0001226,$0.00008755,$0.0001196,$24,"$279,472"
UBN,"May 29, 2021",$0.0000968,$0.0001284,$0.00008834,$0.0001139,$21,"$266,185"
UBN,"May 28, 2021",$0.0001368,$0.0001381,$0.00009345,$0.00009676,$23,"$226,186"
UBN,"May 27, 2021",$0.0001444,$0.0001444,$0.0001057,$0.0001369,$26,"$320,081"
UBN,"May 26, 2021",$0.0001353,$0.0001451,$0.000107,$0.0001443,$29,"$337,341"
UBN,"May 25, 2021",$0.000106,$0.0001375,$0.00009577,$0.0001348,$27,"$315,205"
