symbol,date,open,high,low,close,volume,marketCap
UCOIN,"Oct 22, 2021",$1.04,$1.09,$1.04,$1.07,"$30,788",$0
UCOIN,"Oct 21, 2021",$1.07,$1.07,$1.01,$1.04,"$281,197",$0
UCOIN,"Oct 20, 2021",$1.05,$1.08,$0.9942,$1.07,"$29,649",$0
UCOIN,"Oct 19, 2021",$1.07,$1.07,$0.9968,$1.05,"$21,778",$0
UCOIN,"Oct 18, 2021",$1.01,$1.08,$0.9806,$1.07,"$16,711",$0
UCOIN,"Oct 17, 2021",$1.05,$1.08,$0.997,$1.01,"$26,233",$0
UCOIN,"Oct 16, 2021",$1.09,$1.09,$0.9724,$1.05,"$25,204",$0
UCOIN,"Oct 15, 2021",$1.14,$1.14,$1.05,$1.09,"$27,468",$0
UCOIN,"Oct 14, 2021",$1.11,$1.18,$0.9675,$1.14,"$27,088",$0
UCOIN,"Oct 13, 2021",$1.20,$1.20,$1.04,$1.11,"$24,519",$0
UCOIN,"Oct 12, 2021",$1.16,$1.20,$1.04,$1.20,"$32,298",$0
UCOIN,"Oct 11, 2021",$1.14,$1.19,$1.03,$1.16,"$33,101",$0
UCOIN,"Oct 10, 2021",$1.17,$1.22,$1.04,$1.14,"$34,625",$0
UCOIN,"Oct 09, 2021",$1.17,$1.17,$0.8957,$1.17,"$32,626",$0
UCOIN,"Oct 08, 2021",$1.13,$1.20,$1.06,$1.17,"$33,166",$0
UCOIN,"Oct 07, 2021",$1.19,$1.19,$1.08,$1.13,"$31,100",$0
UCOIN,"Oct 06, 2021",$1.21,$1.21,$1.10,$1.19,"$31,273",$0
UCOIN,"Oct 05, 2021",$1.24,$1.24,$1.01,$1.21,"$33,236",$0
UCOIN,"Oct 04, 2021",$1.31,$1.32,$1.12,$1.24,"$32,572",$0
UCOIN,"Oct 03, 2021",$1.60,$1.60,$1.08,$1.31,"$32,838",$0
UCOIN,"Oct 02, 2021",$4.05,$4.66,$0.8676,$1.60,"$45,596",$0
UCOIN,"Oct 01, 2021",$1.12,$4.05,$0.9495,$4.05,"$40,821",$0
UCOIN,"Sep 30, 2021",$0.7111,$1.14,$0.6061,$1.12,"$85,417",$0
UCOIN,"Sep 29, 2021",$0.543,$0.8312,$0.5206,$0.7111,"$32,487",$0
UCOIN,"Sep 28, 2021",$0.5653,$0.5654,$0.5129,$0.543,"$27,446",$0
UCOIN,"Sep 27, 2021",$0.4996,$0.5841,$0.4757,$0.5653,"$28,187",$0
UCOIN,"Sep 26, 2021",$0.5653,$0.5767,$0.481,$0.4996,"$27,127",$0
UCOIN,"Sep 25, 2021",$0.5949,$0.595,$0.4543,$0.5653,"$39,379",$0
UCOIN,"Sep 24, 2021",$0.5356,$0.7033,$0.4469,$0.5949,"$32,389",$0
UCOIN,"Sep 23, 2021",$0.5488,$0.5831,$0.442,$0.5356,"$27,217",$0
UCOIN,"Sep 22, 2021",$0.5489,$0.591,$0.4887,$0.5488,"$26,980",$0
UCOIN,"Sep 21, 2021",$0.5651,$0.5968,$0.5257,$0.5489,"$23,661",$0
UCOIN,"Sep 20, 2021",$0.5738,$0.6266,$0.5321,$0.5651,"$23,334",$0
UCOIN,"Sep 19, 2021",$0.597,$0.6333,$0.5507,$0.5738,"$24,618",$0
UCOIN,"Sep 18, 2021",$0.7108,$0.712,$0.5509,$0.597,"$26,622",$0
UCOIN,"Sep 17, 2021",$0.637,$0.744,$0.6196,$0.7108,"$24,462",$0
UCOIN,"Sep 16, 2021",$0.6995,$0.6995,$0.632,$0.6369,"$24,818",$0
UCOIN,"Sep 15, 2021",$0.7217,$0.7431,$0.6188,$0.6994,"$25,874",$0
UCOIN,"Sep 14, 2021",$0.5714,$0.8752,$0.5238,$0.7218,"$32,043",$0
