,symbol,date,open,high,low,close,volume,marketCap
0,UFT,"Oct 19, 2021",$1.06,$1.07,$1.02,$1.04,"$3,280,646","$32,141,774"
1,UFT,"Oct 18, 2021",$1.07,$1.11,$1.06,$1.06,"$3,513,356","$32,856,560"
2,UFT,"Oct 17, 2021",$1.12,$1.21,$1.05,$1.07,"$7,117,083","$33,155,366"
3,UFT,"Oct 16, 2021",$1.05,$1.12,$1.04,$1.11,"$3,895,063","$34,618,586"
4,UFT,"Oct 15, 2021",$1.05,$1.09,$1.02,$1.05,"$3,414,639","$32,523,037"
5,UFT,"Oct 14, 2021",$1.04,$1.10,$1.02,$1.05,"$4,066,024","$32,533,602"
6,UFT,"Oct 13, 2021",$1.04,$1.05,$1.02,$1.04,"$3,602,469","$32,284,105"
7,UFT,"Oct 12, 2021",$1.08,$1.09,$1.03,$1.04,"$2,857,373","$32,368,994"
8,UFT,"Oct 11, 2021",$1.01,$1.17,$1.00,$1.08,"$9,783,196","$33,639,675"
9,UFT,"Oct 10, 2021",$1.06,$1.10,$1.01,$1.01,"$3,201,141","$31,312,107"
10,UFT,"Oct 09, 2021",$1.04,$1.21,$1.03,$1.06,"$6,861,105","$32,809,314"
11,UFT,"Oct 08, 2021",$1.03,$1.06,$1.02,$1.04,"$3,357,513","$32,171,392"
12,UFT,"Oct 07, 2021",$1.04,$1.07,$1.02,$1.03,"$2,616,307","$31,978,400"
13,UFT,"Oct 06, 2021",$1.09,$1.09,$1.00,$1.04,"$2,435,373","$32,343,058"
14,UFT,"Oct 05, 2021",$1.02,$1.17,$1.02,$1.09,"$5,093,518","$33,831,855"
15,UFT,"Oct 04, 2021",$1.05,$1.06,$0.9956,$1.03,"$4,441,378","$31,869,121"
16,UFT,"Oct 03, 2021",$1.04,$1.07,$1.02,$1.05,"$2,992,814","$32,715,425"
17,UFT,"Oct 02, 2021",$1.04,$1.07,$1.02,$1.04,"$2,865,516","$32,408,276"
18,UFT,"Oct 01, 2021",$0.9063,$1.09,$0.9054,$1.04,"$9,881,716","$32,213,945"
19,UFT,"Sep 30, 2021",$0.9177,$0.9364,$0.8855,$0.9063,"$4,449,453","$28,143,161"
20,UFT,"Sep 29, 2021",$0.9298,$0.945,$0.8155,$0.9197,"$7,402,061","$28,557,875"
21,UFT,"Sep 28, 2021",$1.00,$1.09,$0.9265,$0.9283,"$8,486,318","$28,826,342"
22,UFT,"Sep 27, 2021",$1.11,$1.15,$0.9847,$1.00,"$15,250,141","$31,070,646"
23,UFT,"Sep 26, 2021",$0.8612,$1.38,$0.7893,$1.11,"$37,615,815","$34,459,914"
24,UFT,"Sep 25, 2021",$0.8777,$0.9184,$0.8605,$0.8612,"$1,960,038","$26,742,340"
25,UFT,"Sep 24, 2021",$0.9597,$0.9813,$0.8125,$0.8772,"$2,735,261","$27,238,222"
26,UFT,"Sep 23, 2021",$0.9411,$1.01,$0.9282,$0.9593,"$3,230,367","$29,788,676"
27,UFT,"Sep 22, 2021",$0.8463,$0.9775,$0.8455,$0.9429,"$4,025,747","$29,278,823"
28,UFT,"Sep 21, 2021",$1.00,$1.07,$0.8065,$0.8439,"$5,100,977","$26,206,749"
29,UFT,"Sep 20, 2021",$1.15,$1.15,$0.9661,$1.00,"$4,473,126","$31,156,315"
30,UFT,"Sep 19, 2021",$1.15,$1.33,$1.13,$1.15,"$9,598,603","$35,794,432"
31,UFT,"Sep 18, 2021",$1.15,$1.23,$1.13,$1.15,"$3,677,510","$35,672,868"
32,UFT,"Sep 17, 2021",$1.15,$1.30,$1.10,$1.15,"$6,669,992","$35,591,888"
