,symbol,date,open,high,low,close,volume,marketCap
0,ULT,"Oct 20, 2021",$0.1568,$0.1648,$0.1558,$0.1648,"$152,189",$0
1,ULT,"Oct 19, 2021",$0.1418,$0.1674,$0.1415,$0.1568,"$116,888",$0
2,ULT,"Oct 18, 2021",$0.1455,$0.1563,$0.08442,$0.1418,"$147,403",$0
3,ULT,"Oct 17, 2021",$0.191,$0.192,$0.1269,$0.1455,"$139,973",$0
4,ULT,"Oct 16, 2021",$0.1513,$0.2273,$0.1513,$0.1911,"$95,026",$0
5,ULT,"Oct 15, 2021",$0.1113,$0.1578,$0.1113,$0.1513,"$141,808",$0
6,ULT,"Oct 14, 2021",$0.08216,$0.1113,$0.08158,$0.1113,"$94,357",$0
7,ULT,"Oct 13, 2021",$0.07993,$0.08217,$0.07929,$0.08216,"$112,502",$0
8,ULT,"Oct 12, 2021",$0.07034,$0.08286,$0.06853,$0.07992,"$59,230",$0
9,ULT,"Oct 11, 2021",$0.1067,$0.1123,$0.06904,$0.07029,$48,$0
10,ULT,"Oct 10, 2021",$0.07398,$0.111,$0.07096,$0.1068,"$1,110",$0
11,ULT,"Oct 09, 2021",$0.07646,$0.07654,$0.07398,$0.07399,"$11,514",$0
12,ULT,"Oct 08, 2021",$0.07645,$0.07656,$0.0764,$0.07646,"$79,255",$0
13,ULT,"Oct 07, 2021",$0.09385,$0.09387,$0.06856,$0.07645,"$58,530",$0
14,ULT,"Oct 06, 2021",$0.1001,$0.1001,$0.09,$0.09386,"$107,149",$0
15,ULT,"Oct 05, 2021",$0.09506,$0.1002,$0.09502,$0.1001,"$121,000",$0
16,ULT,"Oct 04, 2021",$0.09505,$0.09512,$0.095,$0.09507,"$126,261",$0
17,ULT,"Oct 03, 2021",$0.09781,$0.09786,$0.09495,$0.09506,"$76,869",$0
18,ULT,"Oct 02, 2021",$0.09344,$0.0979,$0.09316,$0.09783,"$55,364",$0
19,ULT,"Oct 01, 2021",$0.08815,$0.09413,$0.08782,$0.09343,"$110,994",$0
20,ULT,"Sep 30, 2021",$0.08502,$0.08869,$0.08492,$0.08815,"$132,261",$0
21,ULT,"Sep 29, 2021",$0.08956,$0.08967,$0.08497,$0.08503,"$118,359",$0
22,ULT,"Sep 28, 2021",$0.0937,$0.09373,$0.08955,$0.08957,"$101,582",$0
23,ULT,"Sep 27, 2021",$0.09145,$0.09417,$0.09143,$0.09369,"$95,377",$0
