symbol,date,open,high,low,close,volume,marketCap
UME,"Oct 22, 2021",$0.6129,$0.6739,$0.5712,$0.6683,"$3,546",$0
UME,"Oct 21, 2021",$0.6692,$0.6694,$0.6125,$0.6129,$246,$0
UME,"Oct 20, 2021",$0.6758,$0.7171,$0.6655,$0.6693,$453,$0
UME,"Oct 19, 2021",$0.6869,$0.687,$0.6591,$0.6758,$11,$0
UME,"Oct 18, 2021",$0.6935,$0.7298,$0.6862,$0.6869,$58,$0
UME,"Oct 17, 2021",$0.712,$0.7125,$0.6928,$0.6935,$19,$0
UME,"Oct 16, 2021",$0.7129,$0.7152,$0.7101,$0.712,"$19,032",$0
UME,"Oct 15, 2021",$0.6987,$0.7389,$0.6982,$0.7129,"$9,633",$0
UME,"Oct 14, 2021",$0.7125,$0.7125,$0.6987,$0.6987,$88,$0
UME,"Oct 13, 2021",$0.7001,$0.7527,$0.6996,$0.7125,"$1,111",$0
UME,"Oct 12, 2021",$0.7078,$0.7131,$0.6821,$0.7,"$7,676",$0
UME,"Oct 11, 2021",$0.7606,$0.7607,$0.7042,$0.7077,$63,$0
UME,"Oct 10, 2021",$0.7701,$0.7755,$0.6935,$0.7605,$665,$0
UME,"Oct 09, 2021",$0.697,$0.7703,$0.6947,$0.7702,"$6,435",$0
UME,"Oct 08, 2021",$0.6829,$0.7002,$0.6824,$0.6969,"$4,393",$0
UME,"Oct 07, 2021",$0.6698,$0.683,$0.6613,$0.6829,"$8,988",$0
UME,"Oct 06, 2021",$0.6605,$0.7612,$0.6598,$0.6699,"$9,485",$0
UME,"Oct 05, 2021",$0.656,$0.7357,$0.6555,$0.6605,"$7,300",$0
UME,"Oct 04, 2021",$1.28,$1.28,$0.656,$0.656,"$4,768",$0
UME,"Oct 03, 2021",$0.6949,$1.72,$0.3002,$1.28,$252,$0
UME,"Oct 02, 2021",$0.6648,$0.6978,$0.6509,$0.695,$125,$0
UME,"Oct 01, 2021",$0.6328,$0.6653,$0.5913,$0.6647,$216,$0
UME,"Sep 30, 2021",$0.6417,$0.6419,$0.6305,$0.6328,"$1,538",$0
UME,"Sep 29, 2021",$0.6626,$0.7049,$0.6232,$0.6418,"$16,077",$0
UME,"Sep 28, 2021",$1.20,$1.29,$0.6567,$0.6626,"$9,052",$0
UME,"Sep 27, 2021",$0.8303,$1.20,$0.6228,$1.20,"$5,091",$0
UME,"Sep 26, 2021",$0.9788,$0.999,$0.7176,$0.8303,$60,$0
UME,"Sep 25, 2021",$0.6915,$0.9883,$0.6889,$0.9788,$66,$0
UME,"Sep 24, 2021",$0.7227,$0.7436,$0.6888,$0.6913,$192,$0
