symbol,date,open,high,low,close,volume,marketCap
UMI,"Oct 29, 2021",$0.04874,$0.04918,$0.04426,$0.0467,"$83,187",$0
UMI,"Oct 28, 2021",$0.04723,$0.04891,$0.04252,$0.04874,"$64,564",$0
UMI,"Oct 27, 2021",$0.05225,$0.05339,$0.0461,$0.04723,"$75,762",$0
UMI,"Oct 26, 2021",$0.0553,$0.0556,$0.05092,$0.05225,"$102,482",$0
UMI,"Oct 25, 2021",$0.05654,$0.05996,$0.05354,$0.0553,"$104,654",$0
UMI,"Oct 24, 2021",$0.05245,$0.05799,$0.05016,$0.05654,"$113,085",$0
UMI,"Oct 23, 2021",$0.05864,$0.05999,$0.05115,$0.05245,"$110,338",$0
UMI,"Oct 22, 2021",$0.05724,$0.06037,$0.05602,$0.05863,"$119,319",$0
UMI,"Oct 21, 2021",$0.06161,$0.06429,$0.05667,$0.05724,"$109,999",$0
UMI,"Oct 20, 2021",$0.05241,$0.0704,$0.04281,$0.06161,"$145,035",$0
UMI,"Oct 19, 2021",$0.04266,$0.05268,$0.04236,$0.05241,"$115,890",$0
UMI,"Oct 18, 2021",$0.04394,$0.04448,$0.04263,$0.04267,"$58,045",$0
UMI,"Oct 17, 2021",$0.04407,$0.04408,$0.04161,$0.04394,"$11,623",$0
UMI,"Oct 16, 2021",$0.0433,$0.04462,$0.0431,$0.04407,"$6,581",$0
UMI,"Oct 15, 2021",$0.04365,$0.04405,$0.04165,$0.0433,"$42,541",$0
UMI,"Oct 14, 2021",$0.04175,$0.0445,$0.04139,$0.04365,"$75,509",$0
UMI,"Oct 13, 2021",$0.0391,$0.0458,$0.03782,$0.04176,"$52,754",$0
UMI,"Oct 12, 2021",$0.04234,$0.0425,$0.0391,$0.0391,"$27,967",$0
UMI,"Oct 11, 2021",$0.04376,$0.04376,$0.04221,$0.04234,"$71,437",$0
UMI,"Oct 10, 2021",$0.04509,$0.04716,$0.0426,$0.04375,"$88,527",$0
UMI,"Oct 09, 2021",$0.05131,$0.05873,$0.04304,$0.04509,"$86,743",$0
UMI,"Oct 08, 2021",$0.035,$0.0666,$0.0311,$0.05131,"$137,266",$0
UMI,"Oct 07, 2021",$0.0314,$0.0395,$0.0271,$0.035,"$2,411",$0
UMI,"Oct 06, 2021",$0.0416,$0.0422,$0.0303,$0.0314,"$4,504",$0
UMI,"Oct 05, 2021",$0.041,$0.0444,$0.04,$0.0416,"$3,190",$0
UMI,"Oct 04, 2021",$0.0458,$0.0458,$0.0401,$0.041,$976,$0
UMI,"Oct 03, 2021",$0.0444,$0.046,$0.0413,$0.0458,$985,$0
UMI,"Oct 02, 2021",$0.042,$0.0483,$0.0408,$0.0444,"$1,719",$0
UMI,"Oct 01, 2021",$0.0405,$0.0448,$0.04,$0.042,"$15,325",$0
UMI,"Sep 30, 2021",$0.05,$0.05,$0.0402,$0.0405,"$3,589",$0
UMI,"Sep 29, 2021",$0.0488,$0.0534,$0.0415,$0.05,"$2,033",$0
UMI,"Sep 28, 2021",$0.0579,$0.058,$0.042,$0.0488,"$2,474",$0
UMI,"Sep 27, 2021",$0.062,$0.0699,$0.04735,$0.0579,"$3,936",$0
UMI,"Sep 26, 2021",$0.0634,$0.08,$0.0502,$0.062,"$3,847",$0
UMI,"Sep 25, 2021",$0.0658,$0.0658,$0.0581,$0.0634,$558,$0
UMI,"Sep 24, 2021",$0.0669,$0.067,$0.0507,$0.0658,"$1,844",$0
UMI,"Sep 23, 2021",$0.0665,$0.08,$0.063,$0.0669,"$2,240",$0
UMI,"Sep 22, 2021",$0.06961,$0.06961,$0.05718,$0.0665,"$1,089",$0
UMI,"Sep 21, 2021",$0.06395,$0.0698,$0.05589,$0.06961,"$4,056",$0
UMI,"Sep 20, 2021",$0.07234,$0.07234,$0.06013,$0.06395,"$1,907",$0
UMI,"Sep 19, 2021",$0.07028,$0.07484,$0.06531,$0.07234,"$2,695",$0
UMI,"Sep 18, 2021",$0.06639,$0.08188,$0.06639,$0.07028,"$2,722",$0
UMI,"Sep 17, 2021",$0.05999,$0.07377,$0.05999,$0.06639,"$3,288",$0
UMI,"Sep 16, 2021",$0.06369,$0.07244,$0.05999,$0.05999,"$2,595",$0
