symbol,date,open,high,low,close,volume,marketCap
URQA,"Oct 22, 2021",$0.3091,$0.3403,$0.309,$0.3296,"$23,539","$9,128,891"
URQA,"Oct 21, 2021",$0.3173,$0.3294,$0.3092,$0.3094,"$4,352","$8,571,191"
URQA,"Oct 20, 2021",$0.3017,$0.3177,$0.2985,$0.3177,"$10,039","$8,801,072"
URQA,"Oct 19, 2021",$0.2981,$0.3136,$0.296,$0.3028,"$18,648","$8,388,970"
URQA,"Oct 18, 2021",$0.3392,$0.346,$0.2866,$0.2981,"$78,505","$8,257,453"
URQA,"Oct 17, 2021",$0.3484,$0.3495,$0.3271,$0.3389,"$6,971","$9,388,847"
URQA,"Oct 16, 2021",$0.3402,$0.3491,$0.332,$0.3484,"$12,684","$9,650,614"
URQA,"Oct 15, 2021",$0.3642,$0.3691,$0.3197,$0.3397,"$26,560","$9,410,864"
URQA,"Oct 14, 2021",$0.3535,$0.3656,$0.3512,$0.3646,"$11,707","$10,100,712"
URQA,"Oct 13, 2021",$0.3657,$0.3684,$0.3279,$0.3533,"$27,699","$9,785,789"
URQA,"Oct 12, 2021",$0.3612,$0.3688,$0.2996,$0.3656,"$63,593","$10,126,056"
URQA,"Oct 11, 2021",$0.3505,$0.4051,$0.3482,$0.3614,"$48,447","$10,010,366"
URQA,"Oct 10, 2021",$0.3593,$0.3971,$0.3391,$0.3508,"$89,393","$9,718,377"
URQA,"Oct 09, 2021",$0.3527,$0.3684,$0.3504,$0.3597,"$56,300","$9,963,788"
URQA,"Oct 08, 2021",$0.4015,$0.4134,$0.3521,$0.3528,"$29,118","$9,773,428"
URQA,"Oct 07, 2021",$0.3975,$0.4108,$0.3593,$0.402,"$43,737","$11,134,673"
URQA,"Oct 06, 2021",$0.3647,$0.445,$0.3289,$0.3973,"$86,121","$11,006,016"
URQA,"Oct 05, 2021",$0.3928,$0.4,$0.3485,$0.3652,"$37,343","$10,115,705"
URQA,"Oct 04, 2021",$0.401,$0.4839,$0.3902,$0.3927,"$80,336","$10,878,477"
URQA,"Oct 03, 2021",$0.4289,$0.4337,$0.399,$0.4008,"$19,944","$11,103,156"
URQA,"Oct 02, 2021",$0.4006,$0.4372,$0.4006,$0.4295,"$35,136","$11,897,491"
URQA,"Oct 01, 2021",$0.3887,$0.4459,$0.3787,$0.4005,"$97,579","$11,094,680"
