,symbol,date,open,high,low,close,volume,marketCap
0,USDX,"Oct 19, 2021",$4.40,$4.61,$4.39,$4.60,$264,"$17,342,886"
1,USDX,"Oct 18, 2021",$4.56,$4.62,$4.31,$4.40,$257,"$16,612,708"
2,USDX,"Oct 17, 2021",$4.53,$4.66,$4.27,$4.56,$262,"$17,192,677"
3,USDX,"Oct 16, 2021",$4.58,$4.73,$4.49,$4.53,$261,"$17,100,326"
4,USDX,"Oct 15, 2021",$4.46,$4.63,$4.38,$4.58,$263,"$17,282,943"
5,USDX,"Oct 14, 2021",$4.19,$4.51,$4.16,$4.47,$259,"$16,845,880"
6,USDX,"Oct 13, 2021",$4.02,$4.19,$0.4096,$4.19,$250,"$15,793,001"
7,USDX,"Oct 12, 2021",$4.10,$4.10,$3.90,$4.03,$245,"$15,190,410"
8,USDX,"Oct 11, 2021",$3.92,$4.22,$3.86,$4.10,$247,"$15,460,007"
9,USDX,"Oct 10, 2021",$4.15,$4.19,$3.90,$3.93,$242,"$14,813,067"
10,USDX,"Oct 09, 2021",$4.13,$4.23,$4.10,$4.15,$249,"$15,642,960"
11,USDX,"Oct 08, 2021",$4.17,$4.29,$4.10,$4.13,$248,"$15,563,940"
12,USDX,"Oct 07, 2021",$4.15,$4.26,$4.00,$4.17,$249,"$15,714,683"
13,USDX,"Oct 06, 2021",$4.06,$4.22,$3.82,$4.16,$249,"$15,697,486"
14,USDX,"Oct 05, 2021",$3.85,$4.09,$3.83,$4.06,$246,"$15,304,734"
15,USDX,"Oct 04, 2021",$3.91,$3.93,$3.70,$3.85,$240,"$14,517,107"
16,USDX,"Oct 03, 2021",$3.87,$4.01,$3.80,$3.90,$242,"$14,724,250"
17,USDX,"Oct 02, 2021",$3.74,$3.98,$3.67,$3.87,$241,"$14,596,701"
18,USDX,"Oct 01, 2021",$3.29,$3.77,$3.26,$3.74,$237,"$14,125,759"
19,USDX,"Sep 30, 2021",$3.07,$3.36,$3.06,$3.29,$222,"$12,422,456"
20,USDX,"Sep 29, 2021",$3.00,$3.20,$2.98,$3.07,$215,"$11,577,399"
21,USDX,"Sep 28, 2021",$3.18,$3.24,$2.98,$2.99,$213,"$11,291,157"
22,USDX,"Sep 27, 2021",$3.37,$3.52,$3.18,$3.18,$220,"$11,997,684"
23,USDX,"Sep 26, 2021",$3.17,$3.44,$2.91,$3.37,$226,"$12,712,415"
24,USDX,"Sep 25, 2021",$3.18,$3.23,$3.01,$3.17,$220,"$11,961,790"
25,USDX,"Sep 24, 2021",$3.50,$3.51,$2.91,$3.18,$220,"$11,984,579"
26,USDX,"Sep 23, 2021",$3.39,$3.53,$3.33,$3.50,$230,"$13,218,937"
27,USDX,"Sep 22, 2021",$2.94,$3.40,$2.90,$3.39,$226,"$12,786,476"
28,USDX,"Sep 21, 2021",$3.22,$3.42,$2.81,$2.92,$211,"$11,009,740"
29,USDX,"Sep 20, 2021",$3.76,$3.78,$3.19,$3.22,$221,"$12,153,955"
30,USDX,"Sep 19, 2021",$3.92,$3.94,$3.70,$3.76,$239,"$14,190,615"
31,USDX,"Sep 18, 2021",$3.86,$4.08,$3.82,$3.91,$243,"$14,749,100"
32,USDX,"Sep 17, 2021",$4.12,$4.15,$3.80,$3.86,$242,"$14,557,365"
33,USDX,"Sep 16, 2021",$4.18,$4.27,$4.00,$4.12,$250,"$15,529,043"
34,USDX,"Sep 15, 2021",$3.90,$4.16,$3.81,$4.15,$252,"$15,674,397"
35,USDX,"Sep 14, 2021",$3.69,$3.90,$3.67,$3.90,$243,"$14,696,294"
36,USDX,"Sep 13, 2021",$3.87,$3.90,$3.45,$3.69,$237,"$13,914,717"
37,USDX,"Sep 12, 2021",$3.66,$3.95,$3.61,$3.87,$243,"$14,616,589"
38,USDX,"Sep 11, 2021",$3.58,$3.78,$3.57,$3.66,$236,"$13,812,174"
39,USDX,"Sep 10, 2021",$3.90,$4.02,$3.50,$3.57,$233,"$13,480,689"
40,USDX,"Sep 09, 2021",$3.93,$4.10,$0.4171,$3.90,$244,"$14,711,526"
41,USDX,"Sep 08, 2021",$3.89,$4.09,$3.60,$4.00,$247,"$15,080,715"
42,USDX,"Sep 07, 2021",$4.65,$4.67,$3.35,$3.89,$244,"$14,694,000"
43,USDX,"Sep 06, 2021",$4.68,$4.71,$4.56,$4.65,$268,"$17,546,849"
44,USDX,"Sep 05, 2021",$4.59,$4.72,$4.51,$4.69,$269,"$17,677,779"
45,USDX,"Sep 04, 2021",$4.67,$4.71,$4.51,$4.58,$266,"$17,284,889"
46,USDX,"Sep 03, 2021",$4.44,$4.79,$4.32,$4.66,$268,"$17,587,509"
47,USDX,"Sep 02, 2021",$4.51,$4.51,$4.34,$4.44,$261,"$16,755,981"
48,USDX,"Sep 01, 2021",$3.90,$4.51,$3.84,$4.51,$263,"$17,023,359"
49,USDX,"Aug 31, 2021",$3.60,$3.96,$3.55,$3.91,$244,"$14,741,090"
50,USDX,"Aug 30, 2021",$3.60,$3.78,$3.49,$3.60,$234,"$13,569,811"
51,USDX,"Aug 29, 2021",$3.63,$3.68,$3.50,$3.60,$234,"$13,582,536"
52,USDX,"Aug 28, 2021",$3.67,$3.69,$3.59,$3.63,$235,"$13,682,487"
53,USDX,"Aug 27, 2021",$3.42,$3.68,$3.37,$3.66,$236,"$13,803,606"
54,USDX,"Aug 26, 2021",$3.60,$3.64,$3.36,$3.42,$228,"$12,898,320"
55,USDX,"Aug 25, 2021",$3.53,$3.64,$3.40,$3.60,$234,"$13,586,557"
56,USDX,"Aug 24, 2021",$3.74,$3.80,$3.50,$3.53,$231,"$13,320,830"
57,USDX,"Aug 23, 2021",$3.63,$3.83,$3.62,$3.74,$238,"$14,120,181"
58,USDX,"Aug 22, 2021",$3.61,$3.68,$3.49,$3.64,$234,"$13,719,757"
59,USDX,"Aug 21, 2021",$3.70,$3.73,$3.59,$3.61,$233,"$13,621,895"
60,USDX,"Aug 20, 2021",$3.55,$3.72,$3.54,$3.70,$236,"$13,962,781"
61,USDX,"Aug 19, 2021",$3.31,$3.55,$3.23,$3.55,$231,"$13,374,412"
62,USDX,"Aug 18, 2021",$3.30,$3.46,$3.22,$3.31,$224,"$12,493,212"
63,USDX,"Aug 17, 2021",$3.50,$3.70,$3.27,$3.30,$224,"$12,443,957"
64,USDX,"Aug 16, 2021",$3.73,$3.76,$3.48,$3.51,$231,"$13,240,682"
65,USDX,"Aug 15, 2021",$3.66,$3.74,$3.44,$3.72,$238,"$14,044,446"
66,USDX,"Aug 14, 2021",$3.74,$3.75,$3.58,$3.66,$236,"$13,798,815"
67,USDX,"Aug 13, 2021",$3.34,$3.75,$3.33,$3.75,$239,"$14,130,703"
68,USDX,"Aug 12, 2021",$3.51,$3.62,$3.25,$3.34,$225,"$12,600,454"
69,USDX,"Aug 11, 2021",$3.48,$3.67,$3.46,$3.52,$231,"$13,290,121"
70,USDX,"Aug 10, 2021",$3.52,$3.61,$3.36,$3.48,$230,"$13,134,195"
71,USDX,"Aug 09, 2021",$3.29,$3.55,$3.13,$3.51,$231,"$13,260,091"
72,USDX,"Aug 08, 2021",$3.50,$3.54,$3.20,$3.29,$224,"$12,405,268"
73,USDX,"Aug 07, 2021",$3.11,$3.52,$3.08,$3.51,$231,"$13,259,008"
74,USDX,"Aug 06, 2021",$3.02,$3.19,$2.88,$3.12,$218,"$11,761,313"
75,USDX,"Aug 05, 2021",$2.87,$3.03,$2.61,$3.02,$216,"$11,379,248"
76,USDX,"Aug 04, 2021",$2.55,$2.93,$2.50,$2.87,$211,"$10,832,592"
77,USDX,"Aug 03, 2021",$2.70,$2.73,$2.48,$2.55,$201,"$9,631,064"
78,USDX,"Aug 02, 2021",$2.64,$2.78,$2.57,$2.70,$206,"$10,192,644"
79,USDX,"Aug 01, 2021",$2.60,$2.82,$2.58,$2.64,$204,"$9,973,596"
80,USDX,"Jul 31, 2021",$2.50,$2.62,$2.44,$2.60,$202,"$9,825,980"
81,USDX,"Jul 30, 2021",$2.38,$2.51,$2.30,$2.50,$199,"$9,446,747"
82,USDX,"Jul 29, 2021",$2.27,$2.40,$2.24,$2.38,$195,"$8,982,582"
83,USDX,"Jul 28, 2021",$2.28,$2.34,$2.21,$2.27,$191,"$8,581,717"
84,USDX,"Jul 27, 2021",$2.19,$2.30,$2.08,$2.27,$191,"$8,581,460"
85,USDX,"Jul 26, 2021",$2.13,$2.46,$2.12,$2.19,$188,"$8,277,812"
86,USDX,"Jul 25, 2021",$2.13,$2.14,$2.02,$2.14,$185,"$8,058,217"
87,USDX,"Jul 24, 2021",$2.04,$2.14,$2.02,$2.13,$185,"$8,031,728"
88,USDX,"Jul 23, 2021",$1.91,$2.05,$1.88,$2.04,$182,"$7,714,898"
89,USDX,"Jul 22, 2021",$1.87,$1.94,$1.82,$1.91,$178,"$7,217,147"
90,USDX,"Jul 21, 2021",$1.60,$1.91,$1.57,$1.86,$176,"$7,033,147"
91,USDX,"Jul 20, 2021",$1.64,$1.67,$1.52,$1.61,$167,"$6,063,947"
92,USDX,"Jul 19, 2021",$1.74,$1.77,$1.63,$1.64,$168,"$6,200,332"
93,USDX,"Jul 18, 2021",$1.75,$1.86,$1.73,$1.74,$172,"$6,576,732"
94,USDX,"Jul 17, 2021",$1.72,$1.77,$1.69,$1.75,$172,"$6,588,695"
95,USDX,"Jul 16, 2021",$1.76,$1.83,$1.69,$1.72,$171,"$6,502,705"
96,USDX,"Jul 15, 2021",$1.87,$1.93,$1.73,$1.76,$172,"$6,628,818"
97,USDX,"Jul 14, 2021",$1.80,$1.90,$1.71,$1.87,$177,"$7,050,434"
98,USDX,"Jul 13, 2021",$1.92,$1.93,$1.78,$1.80,$174,"$6,802,912"
99,USDX,"Jul 12, 2021",$2.06,$2.10,$0.3071,$1.92,$179,"$7,252,071"
100,USDX,"Jul 11, 2021",$2.02,$2.10,$1.98,$2.06,$184,"$7,763,641"
101,USDX,"Jul 10, 2021",$2.07,$2.13,$1.98,$2.02,$182,"$7,617,987"
102,USDX,"Jul 09, 2021",$2.03,$2.12,$1.94,$2.07,$184,"$7,816,064"
103,USDX,"Jul 08, 2021",$2.30,$2.31,$1.99,$2.04,$183,"$7,678,467"
104,USDX,"Jul 07, 2021",$2.31,$2.42,$2.28,$2.30,$191,"$8,662,185"
105,USDX,"Jul 06, 2021",$2.14,$2.34,$2.14,$2.31,$192,"$8,724,119"
106,USDX,"Jul 05, 2021",$2.30,$2.31,$2.09,$2.15,$187,"$8,093,476"
107,USDX,"Jul 04, 2021",$2.17,$2.39,$2.13,$2.30,$192,"$8,692,398"
108,USDX,"Jul 03, 2021",$2.07,$2.19,$2.03,$2.18,$188,"$8,207,097"
109,USDX,"Jul 02, 2021",$2.03,$2.08,$1.91,$2.07,$184,"$7,820,159"
110,USDX,"Jul 01, 2021",$2.24,$2.24,$1.98,$2.02,$182,"$7,625,218"
111,USDX,"Jun 30, 2021",$2.08,$2.25,$1.99,$2.24,$190,"$8,444,603"
112,USDX,"Jun 29, 2021",$1.97,$2.19,$1.97,$2.09,$185,"$7,888,273"
113,USDX,"Jun 28, 2021",$1.84,$2.05,$1.82,$1.98,$181,"$7,457,701"
114,USDX,"Jun 27, 2021",$1.65,$1.84,$1.63,$1.84,$176,"$6,932,621"
115,USDX,"Jun 26, 2021",$1.63,$1.68,$1.51,$1.64,$169,"$6,204,400"
116,USDX,"Jun 25, 2021",$1.86,$1.89,$1.61,$1.63,$169,"$6,155,279"
117,USDX,"Jun 24, 2021",$1.83,$1.91,$1.73,$1.86,$177,"$7,004,013"
118,USDX,"Jun 23, 2021",$1.71,$1.93,$0.3008,$1.86,$177,"$7,017,808"
119,USDX,"Jun 22, 2021",$1.73,$1.86,$1.50,$1.71,$172,"$6,438,108"
120,USDX,"Jun 21, 2021",$2.20,$2.22,$1.70,$1.73,$172,"$6,510,035"
121,USDX,"Jun 20, 2021",$2.11,$2.24,$1.94,$2.20,$189,"$8,305,638"
122,USDX,"Jun 19, 2021",$2.18,$2.25,$2.10,$2.11,$185,"$7,952,484"
123,USDX,"Jun 18, 2021",$2.37,$2.38,$2.07,$2.18,$188,"$8,234,669"
124,USDX,"Jun 17, 2021",$2.36,$2.48,$2.29,$2.37,$195,"$8,935,396"
125,USDX,"Jun 16, 2021",$2.59,$2.61,$2.34,$2.36,$195,"$8,887,323"
126,USDX,"Jun 15, 2021",$2.65,$2.72,$2.55,$2.68,$206,"$10,104,352"
127,USDX,"Jun 14, 2021",$2.54,$2.68,$2.49,$2.56,$202,"$9,670,140"
128,USDX,"Jun 13, 2021",$2.36,$2.60,$2.27,$2.54,$203,"$9,590,447"
129,USDX,"Jun 12, 2021",$2.33,$2.46,$2.21,$2.35,$196,"$8,880,283"
130,USDX,"Jun 11, 2021",$2.49,$2.52,$2.29,$2.33,$195,"$8,778,145"
131,USDX,"Jun 10, 2021",$2.68,$2.69,$2.44,$2.49,$201,"$9,376,211"
132,USDX,"Jun 09, 2021",$2.55,$2.70,$2.41,$2.67,$208,"$10,083,942"
133,USDX,"Jun 08, 2021",$2.65,$2.69,$2.27,$2.55,$204,"$9,630,715"
134,USDX,"Jun 07, 2021",$2.83,$3.01,$2.64,$2.66,$207,"$10,033,456"
135,USDX,"Jun 06, 2021",$2.71,$2.87,$2.69,$2.83,$213,"$10,665,236"
136,USDX,"Jun 05, 2021",$2.79,$2.97,$2.61,$2.71,$209,"$10,205,574"
137,USDX,"Jun 04, 2021",$3.03,$3.03,$2.62,$2.79,$211,"$10,527,006"
138,USDX,"Jun 03, 2021",$2.81,$3.08,$2.76,$3.03,$219,"$11,424,002"
139,USDX,"Jun 02, 2021",$2.71,$2.95,$2.60,$2.82,$213,"$10,623,352"
140,USDX,"Jun 01, 2021",$2.81,$2.86,$2.57,$2.71,$209,"$10,207,636"
141,USDX,"May 31, 2021",$2.37,$2.82,$2.22,$2.81,$213,"$10,600,078"
142,USDX,"May 30, 2021",$2.22,$2.49,$2.10,$2.38,$198,"$8,961,717"
143,USDX,"May 29, 2021",$2.41,$2.62,$2.13,$2.22,$192,"$8,379,357"
144,USDX,"May 28, 2021",$2.86,$2.89,$2.30,$2.41,$199,"$9,105,205"
145,USDX,"May 27, 2021",$3.07,$3.07,$2.72,$2.86,$214,"$10,785,064"
146,USDX,"May 26, 2021",$2.81,$3.10,$2.73,$3.07,$221,"$11,578,303"
147,USDX,"May 25, 2021",$2.72,$2.87,$2.38,$2.80,$212,"$10,545,536"
148,USDX,"May 24, 2021",$2.00,$2.76,$1.97,$2.72,$210,"$10,259,965"
149,USDX,"May 23, 2021",$2.25,$2.37,$1.52,$2.00,$185,"$7,557,510"
150,USDX,"May 22, 2021",$2.43,$2.50,$2.08,$2.24,$193,"$8,468,311"
151,USDX,"May 21, 2021",$2.92,$3.14,$2.00,$2.43,$199,"$9,157,901"
152,USDX,"May 20, 2021",$2.47,$3.22,$2.08,$2.91,$216,"$10,990,659"
153,USDX,"May 19, 2021",$3.79,$3.87,$1.79,$2.49,$202,"$9,410,769"
154,USDX,"May 18, 2021",$3.65,$4.06,$3.60,$3.80,$245,"$14,318,263"
155,USDX,"May 17, 2021",$4.10,$4.10,$3.42,$3.63,$239,"$13,677,803"
156,USDX,"May 16, 2021",$4.18,$4.54,$3.75,$4.10,$253,"$15,468,568"
157,USDX,"May 15, 2021",$4.85,$4.92,$4.19,$4.19,$256,"$15,818,827"
158,USDX,"May 14, 2021",$4.30,$4.99,$4.28,$4.84,$276,"$18,271,650"
159,USDX,"May 13, 2021",$4.41,$4.78,$4.05,$4.31,$259,"$16,259,535"
160,USDX,"May 12, 2021",$4.99,$5.29,$4.41,$4.41,$262,"$16,632,676"
161,USDX,"May 11, 2021",$4.65,$5.00,$4.40,$4.99,$281,"$18,807,294"
162,USDX,"May 10, 2021",$4.62,$5.03,$4.25,$4.66,$271,"$17,570,839"
163,USDX,"May 09, 2021",$4.58,$4.70,$4.34,$4.62,$270,"$17,431,372"
164,USDX,"May 08, 2021",$3.95,$4.65,$3.90,$4.58,$268,"$17,268,233"
165,USDX,"May 07, 2021",$3.97,$4.44,$3.79,$3.95,$249,"$14,896,142"
166,USDX,"May 06, 2021",$2.05,$4.13,$1.97,$3.96,$248,"$14,936,474"
