,symbol,date,open,high,low,close,volume,marketCap
0,UST,"Oct 19, 2021",$1.00,$1.00,$0.9997,$1.00,"$50,949,619","$2,739,316,078"
1,UST,"Oct 18, 2021",$1.00,$1.00,$0.9989,$1.00,"$45,376,177","$2,740,537,089"
2,UST,"Oct 17, 2021",$1.00,$1.00,$0.9982,$1.00,"$35,402,307","$2,735,863,672"
3,UST,"Oct 16, 2021",$1.00,$1.01,$0.9962,$1.00,"$58,121,466","$2,731,815,100"
4,UST,"Oct 15, 2021",$1.00,$1.00,$0.9982,$1.00,"$65,947,115","$2,732,106,151"
5,UST,"Oct 14, 2021",$1.00,$1.00,$0.9994,$1.00,"$61,244,659","$2,733,567,980"
6,UST,"Oct 13, 2021",$1.00,$1.01,$0.9987,$1.00,"$55,017,564","$2,732,536,315"
7,UST,"Oct 12, 2021",$1.00,$1.01,$0.9983,$1.00,"$72,271,052","$2,730,383,334"
8,UST,"Oct 11, 2021",$1.00,$1.00,$0.9975,$1.00,"$70,798,346","$2,734,046,040"
9,UST,"Oct 10, 2021",$1.00,$1.00,$0.9981,$1.00,"$65,088,769","$2,721,676,032"
10,UST,"Oct 09, 2021",$1.00,$1.00,$0.9994,$1.00,"$50,272,233","$2,726,892,556"
11,UST,"Oct 08, 2021",$1.00,$1.00,$0.9979,$1.00,"$101,168,485","$2,725,866,054"
12,UST,"Oct 07, 2021",$1.00,$1.01,$0.9946,$1.00,"$106,774,875","$2,714,545,550"
13,UST,"Oct 06, 2021",$1.00,$1.01,$0.9969,$1.00,"$76,537,990","$2,697,685,096"
14,UST,"Oct 05, 2021",$1.00,$1.00,$0.9989,$1.00,"$82,910,456","$2,691,859,615"
15,UST,"Oct 04, 2021",$1.00,$1.01,$0.9966,$1.00,"$107,566,304","$2,689,789,684"
16,UST,"Oct 03, 2021",$1.00,$1.01,$0.9969,$1.00,"$88,415,004","$2,679,938,224"
17,UST,"Oct 02, 2021",$1.00,$1.00,$0.9988,$1.00,"$74,683,524","$2,678,949,871"
18,UST,"Oct 01, 2021",$1.00,$1.00,$0.998,$1.00,"$92,701,948","$2,672,868,517"
19,UST,"Sep 30, 2021",$1.00,$1.00,$0.9977,$1.00,"$66,496,677","$2,674,722,463"
20,UST,"Sep 29, 2021",$1.00,$1.00,$0.9977,$1.00,"$74,624,531","$2,677,388,700"
21,UST,"Sep 28, 2021",$1.00,$1.00,$0.9984,$1.00,"$75,282,691","$2,667,146,799"
