symbol,date,open,high,low,close,volume,marketCap
VIDT,"Oct 29, 2021",$0.9214,$1.03,$0.9147,$0.958,"$16,868,208","$47,350,275"
VIDT,"Oct 28, 2021",$0.9083,$0.9571,$0.8827,$0.9224,"$12,306,531","$45,591,463"
VIDT,"Oct 27, 2021",$1.03,$1.05,$0.9011,$0.9084,"$13,599,515","$44,898,953"
VIDT,"Oct 26, 2021",$1.06,$1.08,$1.02,$1.03,"$13,277,436","$50,973,263"
VIDT,"Oct 25, 2021",$1.06,$1.10,$1.05,$1.06,"$8,533,941","$52,563,671"
VIDT,"Oct 24, 2021",$1.08,$1.10,$1.03,$1.06,"$9,413,624","$52,323,050"
VIDT,"Oct 23, 2021",$1.08,$1.11,$1.07,$1.08,"$7,396,066","$53,476,482"
VIDT,"Oct 22, 2021",$1.06,$1.13,$1.06,$1.08,"$9,334,532","$53,527,654"
VIDT,"Oct 21, 2021",$1.11,$1.13,$1.05,$1.06,"$11,839,973","$52,300,203"
VIDT,"Oct 20, 2021",$1.13,$1.19,$1.09,$1.11,"$21,858,755","$54,812,607"
VIDT,"Oct 19, 2021",$1.03,$1.15,$1.02,$1.13,"$32,358,816","$55,812,601"
VIDT,"Oct 18, 2021",$1.03,$1.09,$1.00,$1.03,"$14,630,239","$51,025,806"
VIDT,"Oct 17, 2021",$1.00,$1.26,$1.00,$1.03,"$58,309,169","$50,794,922"
VIDT,"Oct 16, 2021",$1.02,$1.06,$0.9984,$1.00,"$13,425,603","$49,457,338"
VIDT,"Oct 15, 2021",$1.02,$1.04,$0.9711,$1.02,"$15,858,276","$50,368,923"
VIDT,"Oct 14, 2021",$1.06,$1.13,$1.01,$1.01,"$19,670,806","$50,168,230"
VIDT,"Oct 13, 2021",$0.9794,$1.16,$0.9794,$1.06,"$47,908,926","$52,488,070"
VIDT,"Oct 12, 2021",$1.05,$1.06,$0.9235,$0.9808,"$23,138,941","$48,477,172"
VIDT,"Oct 11, 2021",$1.32,$1.32,$0.9959,$1.04,"$69,989,651","$51,497,850"
VIDT,"Oct 10, 2021",$0.8671,$1.40,$0.8572,$1.32,"$317,522,161","$65,129,463"
VIDT,"Oct 09, 2021",$0.8463,$0.8976,$0.8445,$0.8662,"$10,448,936","$42,817,119"
VIDT,"Oct 08, 2021",$0.8312,$0.9838,$0.8263,$0.8462,"$25,983,038","$41,826,358"
VIDT,"Oct 07, 2021",$0.8568,$0.8569,$0.8142,$0.8312,"$8,277,605","$41,082,999"
VIDT,"Oct 06, 2021",$0.8694,$0.8745,$0.8102,$0.8569,"$10,651,412","$42,354,879"
