symbol,date,open,high,low,close,volume,marketCap
WANSUSHI,"Oct 29, 2021",$16.10,$18.07,$16.09,$17.58,$0,$0
WANSUSHI,"Oct 28, 2021",$16.19,$16.89,$15.50,$16.10,$0,$0
WANSUSHI,"Oct 27, 2021",$18.21,$18.22,$16.13,$16.19,$0,$0
WANSUSHI,"Oct 26, 2021",$17.74,$18.29,$16.32,$18.21,$0,$0
WANSUSHI,"Oct 25, 2021",$16.77,$17.74,$15.84,$17.74,$1,$0
WANSUSHI,"Oct 24, 2021",$16.97,$22.05,$15.64,$16.77,$0,$0
WANSUSHI,"Oct 23, 2021",$15.75,$16.97,$15.63,$16.97,$0,$0
WANSUSHI,"Oct 22, 2021",$14.87,$16.36,$14.70,$15.75,$1,$0
WANSUSHI,"Oct 21, 2021",$15.90,$16.03,$14.25,$14.87,$0,$0
WANSUSHI,"Oct 20, 2021",$13.92,$15.92,$13.77,$15.90,$0,$0
WANSUSHI,"Oct 19, 2021",$14.22,$14.73,$13.84,$13.92,$0,$0
WANSUSHI,"Oct 18, 2021",$14.57,$14.78,$13.92,$14.21,$0,$0
WANSUSHI,"Oct 17, 2021",$15.34,$16.46,$14.04,$14.57,$1,$0
WANSUSHI,"Oct 16, 2021",$14.33,$15.79,$14.07,$15.34,$0,$0
WANSUSHI,"Oct 15, 2021",$14.25,$14.63,$13.77,$14.33,$0,$0
WANSUSHI,"Oct 14, 2021",$14.22,$14.36,$13.67,$14.24,$0,$0
WANSUSHI,"Oct 13, 2021",$14.38,$14.55,$13.73,$14.21,$0,$0
WANSUSHI,"Oct 12, 2021",$14.92,$15.14,$13.63,$14.37,$4,$0
WANSUSHI,"Oct 11, 2021",$14.69,$15.82,$14.24,$14.91,$1,$0
WANSUSHI,"Oct 10, 2021",$16.48,$16.76,$14.43,$14.69,$0,$0
WANSUSHI,"Oct 09, 2021",$16.43,$16.83,$15.94,$16.56,$31,$0
WANSUSHI,"Oct 08, 2021",$16.64,$17.05,$15.70,$16.43,$4,$0
WANSUSHI,"Oct 07, 2021",$17.45,$18.82,$16.32,$16.64,$1,$0
WANSUSHI,"Oct 06, 2021",$17.01,$17.69,$15.41,$17.42,$1,$0
WANSUSHI,"Oct 05, 2021",$14.61,$17.15,$14.57,$17.01,$1,$0
