,symbol,date,open,high,low,close,volume,marketCap
0,WCT,"Oct 19, 2021",$0.2605,$0.2706,$0.2588,$0.2699,$0,"$2,698,668"
1,WCT,"Oct 18, 2021",$0.2585,$0.263,$0.2521,$0.2605,$0,"$2,605,062"
2,WCT,"Oct 17, 2021",$0.2557,$0.2589,$0.2485,$0.2586,$0,"$2,585,933"
3,WCT,"Oct 16, 2021",$0.2587,$0.2616,$0.2529,$0.2557,$0,"$2,557,157"
4,WCT,"Oct 15, 2021",$0.2408,$0.2636,$0.2388,$0.2588,$0,"$2,588,330"
5,WCT,"Oct 14, 2021",$0.2411,$0.2456,$0.2392,$0.2408,$0,"$2,408,020"
6,WCT,"Oct 13, 2021",$0.2354,$0.2423,$0.2284,$0.2411,$0,"$2,411,358"
7,WCT,"Oct 12, 2021",$0.2414,$0.242,$0.2288,$0.2355,$0,"$2,354,611"
8,WCT,"Oct 11, 2021",$0.23,$0.2427,$0.229,$0.2413,$0,"$2,413,433"
9,WCT,"Oct 10, 2021",$0.2309,$0.2369,$0.2279,$0.2302,$0,"$2,301,986"
10,WCT,"Oct 09, 2021",$0.2267,$0.2327,$0.2257,$0.2308,$0,"$2,308,260"
11,WCT,"Oct 08, 2021",$0.226,$0.2349,$0.2255,$0.2266,$0,"$2,266,050"
12,WCT,"Oct 07, 2021",$0.2325,$0.2325,$0.2248,$0.226,$0,"$2,259,724"
13,WCT,"Oct 06, 2021",$0.2164,$0.2334,$0.2121,$0.2327,$0,"$2,326,598"
14,WCT,"Oct 05, 2021",$0.2063,$0.2177,$0.2061,$0.2163,$0,"$2,162,595"
15,WCT,"Oct 04, 2021",$0.2024,$0.2077,$0.1976,$0.2063,$0,"$2,062,608"
16,WCT,"Oct 03, 2021",$0.2004,$0.2063,$0.1981,$0.2024,$0,"$2,024,106"
17,WCT,"Oct 02, 2021",$0.2021,$0.2028,$0.1994,$0.2005,$0,"$2,004,670"
18,WCT,"Oct 01, 2021",$0.1839,$0.2034,$0.1819,$0.2022,$0,"$2,021,920"
19,WCT,"Sep 30, 2021",$0.1746,$0.1852,$0.1741,$0.1839,$0,"$1,838,679"
20,WCT,"Sep 29, 2021",$0.1723,$0.1787,$0.1715,$0.1744,$0,"$1,744,384"
21,WCT,"Sep 28, 2021",$0.1774,$0.1797,$0.1719,$0.1721,$0,"$1,720,977"
22,WCT,"Sep 27, 2021",$0.1815,$0.1861,$0.1772,$0.1774,$0,"$1,773,892"
23,WCT,"Sep 26, 2021",$0.1794,$0.1845,$0.1716,$0.1816,$0,"$1,815,872"
24,WCT,"Sep 25, 2021",$0.1799,$0.1806,$0.1754,$0.1794,$0,"$1,794,092"
25,WCT,"Sep 24, 2021",$0.1886,$0.1893,$0.1719,$0.1799,$0,"$1,799,361"
26,WCT,"Sep 23, 2021",$0.183,$0.1888,$0.1811,$0.1886,$0,"$1,885,742"
27,WCT,"Sep 22, 2021",$0.1708,$0.1847,$0.1706,$0.183,$0,"$1,830,118"
28,WCT,"Sep 21, 2021",$0.153,$0.1783,$0.1445,$0.1709,$5,"$1,709,124"
29,WCT,"Sep 20, 2021",$0.1687,$0.169,$0.1521,$0.1531,$0,"$1,530,755"
30,WCT,"Sep 19, 2021",$0.1724,$0.1725,$0.1675,$0.1688,$0,"$1,687,590"
31,WCT,"Sep 18, 2021",$0.1687,$0.1742,$0.1681,$0.1722,$0,"$1,722,425"
32,WCT,"Sep 17, 2021",$0.1706,$0.1719,$0.1672,$0.1686,$0,"$1,686,032"
33,WCT,"Sep 16, 2021",$0.172,$0.1731,$0.1681,$0.1706,$0,"$1,705,658"
34,WCT,"Sep 15, 2021",$0.1681,$0.173,$0.167,$0.172,$0,"$1,719,810"
35,WCT,"Sep 14, 2021",$0.1605,$0.1686,$0.1598,$0.1681,$0,"$1,680,524"
36,WCT,"Sep 13, 2021",$0.1644,$0.1664,$0.1556,$0.1605,$0,"$1,605,264"
37,WCT,"Sep 12, 2021",$0.1614,$0.1655,$0.1599,$0.1646,$0,"$1,645,752"
38,WCT,"Sep 11, 2021",$0.1602,$0.1641,$0.16,$0.1613,$0,"$1,613,034"
39,WCT,"Sep 10, 2021",$0.1656,$0.1679,$0.1583,$0.1602,$0,"$1,601,902"
40,WCT,"Sep 09, 2021",$0.1635,$0.1687,$0.163,$0.1656,$0,"$1,655,660"
41,WCT,"Sep 08, 2021",$0.1671,$0.169,$0.1591,$0.1645,$0,"$1,645,464"
42,WCT,"Sep 07, 2021",$0.1879,$0.1887,$0.1545,$0.1671,$0,"$1,671,474"
43,WCT,"Sep 06, 2021",$0.1848,$0.1881,$0.1823,$0.188,$0,"$1,879,538"
44,WCT,"Sep 05, 2021",$0.1783,$0.1852,$0.1769,$0.1847,$0,"$1,847,402"
45,WCT,"Sep 04, 2021",$0.1786,$0.1804,$0.1769,$0.1783,$0,"$1,783,003"
46,WCT,"Sep 03, 2021",$0.1761,$0.182,$0.1727,$0.1786,$0,"$1,786,408"
47,WCT,"Sep 02, 2021",$0.1744,$0.1797,$0.1739,$0.1761,$0,"$1,761,436"
48,WCT,"Sep 01, 2021",$0.1683,$0.1753,$0.1662,$0.1744,$0,"$1,744,272"
49,WCT,"Aug 31, 2021",$0.1679,$0.172,$0.1669,$0.1685,$0,"$1,685,245"
50,WCT,"Aug 30, 2021",$0.1743,$0.1747,$0.1676,$0.168,$0,"$1,679,853"
51,WCT,"Aug 29, 2021",$0.1746,$0.1772,$0.1714,$0.1743,$0,"$1,743,214"
52,WCT,"Aug 28, 2021",$0.09566,$0.1754,$0.09494,$0.1746,$42,"$1,745,805"
53,WCT,"Aug 27, 2021",$0.2582,$0.2667,$0.09408,$0.09558,$29,"$955,804"
54,WCT,"Aug 26, 2021",$0.2693,$0.2714,$0.2552,$0.2582,$0,"$2,581,723"
55,WCT,"Aug 25, 2021",$0.2624,$0.2703,$0.2594,$0.2693,$0,"$2,692,881"
56,WCT,"Aug 24, 2021",$0.2725,$0.2743,$0.2623,$0.2627,$0,"$2,626,564"
57,WCT,"Aug 23, 2021",$0.2713,$0.2777,$0.2699,$0.2724,$0,"$2,724,399"
58,WCT,"Aug 22, 2021",$0.269,$0.2721,$0.2651,$0.2713,$0,"$2,713,269"
59,WCT,"Aug 21, 2021",$0.2714,$0.2734,$0.2657,$0.2691,$0,"$2,691,061"
60,WCT,"Aug 20, 2021",$0.2569,$0.2714,$0.2566,$0.2714,$0,"$2,713,802"
61,WCT,"Aug 19, 2021",$0.2464,$0.2583,$0.242,$0.2569,$0,"$2,568,780"
62,WCT,"Aug 18, 2021",$0.2458,$0.2527,$0.244,$0.2465,$0,"$2,465,301"
63,WCT,"Aug 17, 2021",$0.253,$0.2593,$0.2448,$0.2459,$0,"$2,458,489"
64,WCT,"Aug 16, 2021",$0.2588,$0.264,$0.2514,$0.2533,$0,"$2,532,562"
65,WCT,"Aug 15, 2021",$0.259,$0.2605,$0.2507,$0.259,$0,"$2,589,870"
66,WCT,"Aug 14, 2021",$0.2629,$0.2645,$0.254,$0.2589,$0,"$2,588,844"
67,WCT,"Aug 13, 2021",$0.2444,$0.2631,$0.2436,$0.2631,$0,"$2,630,743"
68,WCT,"Aug 12, 2021",$0.2508,$0.2543,$0.2412,$0.2444,$0,"$2,443,750"
69,WCT,"Aug 11, 2021",$0.2507,$0.257,$0.2494,$0.2511,$0,"$2,511,155"
70,WCT,"Aug 10, 2021",$0.255,$0.2565,$0.2459,$0.2506,$0,"$2,505,859"
71,WCT,"Aug 09, 2021",$0.2409,$0.2555,$0.2357,$0.2546,$0,"$2,545,738"
72,WCT,"Aug 08, 2021",$0.2451,$0.2491,$0.2383,$0.2407,$0,"$2,406,512"
73,WCT,"Aug 07, 2021",$0.2355,$0.2458,$0.2344,$0.2457,$0,"$2,457,301"
74,WCT,"Aug 06, 2021",$0.2248,$0.238,$0.2196,$0.2359,$0,"$2,358,710"
75,WCT,"Aug 05, 2021",$0.2186,$0.2274,$0.206,$0.2248,$0,"$2,247,909"
76,WCT,"Aug 04, 2021",$0.2098,$0.2197,$0.207,$0.2187,$0,"$2,187,413"
77,WCT,"Aug 03, 2021",$0.2156,$0.2186,$0.2078,$0.2097,$0,"$2,097,471"
78,WCT,"Aug 02, 2021",$0.2199,$0.2223,$0.2131,$0.2155,$0,"$2,154,680"
79,WCT,"Aug 01, 2021",$0.2289,$0.234,$0.2175,$0.2204,$0,"$2,203,709"
80,WCT,"Jul 31, 2021",$0.2323,$0.2323,$0.2261,$0.2294,$0,"$2,293,842"
81,WCT,"Jul 30, 2021",$0.22,$0.2318,$0.2112,$0.2317,$0,"$2,317,087"
82,WCT,"Jul 29, 2021",$0.22,$0.2233,$0.2164,$0.2199,$0,"$2,199,422"
83,WCT,"Jul 28, 2021",$0.2167,$0.2245,$0.2137,$0.2201,$0,"$2,201,010"
84,WCT,"Jul 27, 2021",$0.2054,$0.2167,$0.2004,$0.2167,$0,"$2,166,557"
