,symbol,date,open,high,low,close,volume,marketCap
0,WEYU,"Oct 19, 2021",$0.0661,$0.08414,$0.04112,$0.07256,"$3,310,754",$0
1,WEYU,"Oct 18, 2021",$0.04739,$0.06612,$0.04575,$0.06607,"$1,599,459",$0
2,WEYU,"Oct 17, 2021",$0.04816,$0.049,$0.04548,$0.0474,"$1,271,095",$0
3,WEYU,"Oct 16, 2021",$0.04461,$0.05198,$0.04352,$0.04822,"$1,389,206",$0
4,WEYU,"Oct 15, 2021",$0.03888,$0.04483,$0.0363,$0.04463,"$1,396,940",$0
5,WEYU,"Oct 14, 2021",$0.03512,$0.03983,$0.0313,$0.03877,"$1,407,155",$0
6,WEYU,"Oct 13, 2021",$0.02329,$0.03535,$0.02288,$0.0351,"$780,679",$0
7,WEYU,"Oct 12, 2021",$0.02069,$0.02333,$0.02046,$0.02327,"$258,658",$0
8,WEYU,"Oct 11, 2021",$0.02039,$0.02098,$0.01966,$0.02071,"$372,114",$0
9,WEYU,"Oct 10, 2021",$0.01737,$0.02548,$0.01668,$0.02041,"$405,859",$0
10,WEYU,"Oct 09, 2021",$0.01729,$0.01883,$0.01726,$0.01737,"$202,270",$0
11,WEYU,"Oct 08, 2021",$0.01712,$0.01825,$0.01698,$0.01729,"$236,038",$0
12,WEYU,"Oct 07, 2021",$0.01743,$0.02113,$0.01643,$0.01712,"$249,076",$0
13,WEYU,"Oct 06, 2021",$0.01858,$0.02112,$0.01704,$0.01743,"$293,819",$0
14,WEYU,"Oct 05, 2021",$0.01836,$0.0201,$0.01738,$0.01858,"$302,902",$0
15,WEYU,"Oct 04, 2021",$0.01934,$0.01963,$0.01823,$0.01836,"$344,025",$0
16,WEYU,"Oct 03, 2021",$0.02183,$0.02229,$0.01931,$0.01934,"$277,659",$0
17,WEYU,"Oct 02, 2021",$0.02223,$0.02282,$0.02135,$0.02183,"$251,881",$0
18,WEYU,"Oct 01, 2021",$0.01923,$0.02231,$0.01901,$0.02222,"$361,770",$0
19,WEYU,"Sep 30, 2021",$0.01822,$0.02016,$0.01822,$0.01923,"$410,268",$0
20,WEYU,"Sep 29, 2021",$0.01648,$0.02652,$0.01648,$0.01822,"$290,962",$0
21,WEYU,"Sep 28, 2021",$0.01783,$0.01831,$0.01644,$0.01649,"$237,216",$0
22,WEYU,"Sep 27, 2021",$0.0192,$0.0201,$0.01782,$0.01783,"$231,827",$0
23,WEYU,"Sep 26, 2021",$0.01858,$0.01954,$0.01772,$0.0192,"$283,596",$0
24,WEYU,"Sep 25, 2021",$0.02149,$0.02192,$0.01835,$0.01858,"$274,606",$0
25,WEYU,"Sep 24, 2021",$0.02218,$0.02252,$0.01971,$0.02148,"$344,720",$0
26,WEYU,"Sep 23, 2021",$0.0205,$0.02241,$0.01985,$0.02218,"$307,862",$0
27,WEYU,"Sep 22, 2021",$0.01971,$0.02049,$0.01881,$0.02049,"$348,585",$0
28,WEYU,"Sep 21, 2021",$0.02139,$0.02204,$0.01963,$0.01972,"$437,978",$0
29,WEYU,"Sep 20, 2021",$0.02578,$0.02605,$0.02007,$0.02141,"$476,519",$0
30,WEYU,"Sep 19, 2021",$0.02762,$0.02831,$0.02566,$0.02584,"$390,676",$0
31,WEYU,"Sep 18, 2021",$0.02898,$0.02992,$0.02747,$0.02762,"$458,692",$0
32,WEYU,"Sep 17, 2021",$0.03234,$0.0327,$0.02855,$0.02899,"$643,350",$0
33,WEYU,"Sep 16, 2021",$0.02707,$0.03251,$0.02455,$0.03232,"$685,950",$0
34,WEYU,"Sep 15, 2021",$0.0297,$0.02989,$0.02639,$0.02706,"$563,665",$0
35,WEYU,"Sep 14, 2021",$0.031,$0.03136,$0.02903,$0.02972,"$555,728",$0
36,WEYU,"Sep 13, 2021",$0.03315,$0.03428,$0.02831,$0.031,"$699,638",$0
37,WEYU,"Sep 12, 2021",$0.03139,$0.04286,$0.03122,$0.03314,"$944,318",$0
38,WEYU,"Sep 11, 2021",$0.02734,$0.0341,$0.02732,$0.03139,"$983,638",$0
39,WEYU,"Sep 10, 2021",$0.03486,$0.03605,$0.02712,$0.02733,"$1,166,663",$0
40,WEYU,"Sep 09, 2021",$0.03585,$0.03712,$0.03361,$0.03486,"$1,198,133",$0
41,WEYU,"Sep 08, 2021",$0.03193,$0.03668,$0.02965,$0.0357,"$1,709,340",$0
42,WEYU,"Sep 07, 2021",$0.04048,$0.0466,$0.03128,$0.03192,"$1,955,354",$0
43,WEYU,"Sep 06, 2021",$0.05035,$0.05095,$0.03633,$0.04048,"$2,796,597",$0
44,WEYU,"Sep 05, 2021",$0.05776,$0.05887,$0.04135,$0.05034,"$3,264,668",$0
45,WEYU,"Sep 04, 2021",$0.06479,$0.06951,$0.04611,$0.05777,"$6,570,929",$0
46,WEYU,"Sep 03, 2021",$0.07378,$0.08795,$0.06113,$0.06459,"$8,943,230",$0
47,WEYU,"Sep 02, 2021",$0.04166,$0.0738,$0.04127,$0.0738,"$8,088,285",$0
48,WEYU,"Sep 01, 2021",$0.03042,$0.04693,$0.02652,$0.04165,"$17,466,352",$0
