symbol,date,open,high,low,close,volume,marketCap
WLITI,"Oct 22, 2021",$0.02569,$0.02706,$0.0246,$0.02693,"$320,448",$0
WLITI,"Oct 21, 2021",$0.02788,$0.02874,$0.02532,$0.0257,"$565,420",$0
WLITI,"Oct 20, 2021",$0.02757,$0.02792,$0.02704,$0.02788,"$511,181",$0
WLITI,"Oct 19, 2021",$0.0275,$0.02803,$0.02639,$0.02759,"$383,530",$0
WLITI,"Oct 18, 2021",$0.02873,$0.02924,$0.0245,$0.0275,"$223,160",$0
WLITI,"Oct 17, 2021",$0.02887,$0.02912,$0.02778,$0.02874,"$602,164",$0
WLITI,"Oct 16, 2021",$0.02981,$0.0299,$0.02882,$0.02887,"$478,265",$0
WLITI,"Oct 15, 2021",$0.03022,$0.0307,$0.02965,$0.02982,"$722,438",$0
WLITI,"Oct 14, 2021",$0.03014,$0.03103,$0.02989,$0.03022,"$593,746",$0
WLITI,"Oct 13, 2021",$0.03073,$0.03088,$0.02944,$0.03015,"$341,601",$0
WLITI,"Oct 12, 2021",$0.03041,$0.03098,$0.02994,$0.03073,"$622,065",$0
WLITI,"Oct 11, 2021",$0.03061,$0.03259,$0.03027,$0.03041,"$619,773",$0
WLITI,"Oct 10, 2021",$0.03194,$0.03231,$0.03057,$0.03062,"$394,033",$0
WLITI,"Oct 09, 2021",$0.03254,$0.03282,$0.03179,$0.03195,"$455,179",$0
WLITI,"Oct 08, 2021",$0.03266,$0.03381,$0.03122,$0.03254,"$479,420",$0
WLITI,"Oct 07, 2021",$0.03328,$0.03364,$0.03229,$0.03265,"$1,002,590",$0
WLITI,"Oct 06, 2021",$0.03327,$0.03403,$0.03263,$0.03328,"$777,548",$0
WLITI,"Oct 05, 2021",$0.03277,$0.0335,$0.0326,$0.03326,"$786,335",$0
WLITI,"Oct 04, 2021",$0.03324,$0.03347,$0.03168,$0.03277,"$704,583",$0
WLITI,"Oct 03, 2021",$0.03336,$0.03396,$0.03296,$0.03324,"$30,037",$0
WLITI,"Oct 02, 2021",$0.03297,$0.03372,$0.03192,$0.03337,"$297,768",$0
WLITI,"Oct 01, 2021",$0.03001,$0.03365,$0.0296,$0.03297,"$124,575",$0
WLITI,"Sep 30, 2021",$0.02886,$0.03047,$0.02879,$0.03001,"$8,550",$0
