symbol,date,open,high,low,close,volume,marketCap
WMATIC,"Oct 22, 2021",$1.51,$1.57,$1.50,$1.51,"$78,996,669",$0
WMATIC,"Oct 21, 2021",$1.53,$1.62,$1.49,$1.51,"$75,669,478",$0
WMATIC,"Oct 20, 2021",$1.47,$1.55,$1.45,$1.53,"$75,619,520",$0
WMATIC,"Oct 19, 2021",$1.48,$1.51,$1.43,$1.47,"$97,550,484",$0
WMATIC,"Oct 18, 2021",$1.46,$1.61,$1.45,$1.48,"$98,357,313",$0
WMATIC,"Oct 17, 2021",$1.51,$1.55,$1.41,$1.46,"$56,414,577",$0
WMATIC,"Oct 16, 2021",$1.58,$1.59,$1.50,$1.51,"$131,364,968",$0
WMATIC,"Oct 15, 2021",$1.27,$1.62,$1.24,$1.58,"$150,033,937",$0
WMATIC,"Oct 14, 2021",$1.24,$1.29,$1.23,$1.27,"$44,103,155",$0
WMATIC,"Oct 13, 2021",$1.22,$1.26,$1.15,$1.24,"$38,513,294",$0
WMATIC,"Oct 12, 2021",$1.23,$1.24,$1.15,$1.22,"$34,410,748",$0
WMATIC,"Oct 11, 2021",$1.25,$1.30,$1.22,$1.23,"$29,465,133",$0
WMATIC,"Oct 10, 2021",$1.35,$1.35,$1.25,$1.25,"$28,830,115",$0
WMATIC,"Oct 09, 2021",$1.34,$1.38,$1.33,$1.35,"$44,028,123",$0
WMATIC,"Oct 08, 2021",$1.28,$1.43,$1.27,$1.34,"$57,477,161",$0
WMATIC,"Oct 07, 2021",$1.25,$1.31,$1.17,$1.28,"$44,983,297",$0
WMATIC,"Oct 06, 2021",$1.31,$1.32,$1.21,$1.25,"$41,608,894",$0
WMATIC,"Oct 05, 2021",$1.27,$1.33,$1.27,$1.31,"$38,469,757",$0
WMATIC,"Oct 04, 2021",$1.32,$1.32,$1.24,$1.27,"$37,745,088",$0
WMATIC,"Oct 03, 2021",$1.29,$1.34,$1.28,$1.32,"$37,440,858",$0
WMATIC,"Oct 02, 2021",$1.26,$1.33,$1.22,$1.29,"$46,486,548",$0
WMATIC,"Oct 01, 2021",$1.12,$1.26,$1.12,$1.26,"$47,529,047",$0
WMATIC,"Sep 30, 2021",$1.10,$1.14,$1.09,$1.12,"$33,956,072",$0
WMATIC,"Sep 29, 2021",$1.05,$1.11,$1.05,$1.10,"$29,158,922",$0
WMATIC,"Sep 28, 2021",$1.09,$1.11,$0.9502,$1.05,"$32,585,733",$0
WMATIC,"Sep 27, 2021",$1.12,$1.17,$1.08,$1.09,"$38,312,235",$0
WMATIC,"Sep 26, 2021",$1.12,$1.16,$1.03,$1.12,"$36,866,669",$0
WMATIC,"Sep 25, 2021",$1.12,$1.14,$1.07,$1.12,"$42,000,807",$0
WMATIC,"Sep 24, 2021",$1.22,$1.23,$1.08,$1.12,"$49,461,835",$0
WMATIC,"Sep 23, 2021",$1.21,$1.24,$1.19,$1.22,"$51,615,204",$0
WMATIC,"Sep 22, 2021",$1.04,$1.22,$1.04,$1.21,"$66,895,360",$0
WMATIC,"Sep 21, 2021",$1.14,$1.18,$1.03,$1.04,"$66,828,596",$0
WMATIC,"Sep 20, 2021",$1.32,$1.32,$1.12,$1.14,"$51,564,434",$0
WMATIC,"Sep 19, 2021",$1.36,$1.37,$1.28,$1.32,"$32,968,997",$0
WMATIC,"Sep 18, 2021",$1.41,$1.43,$1.34,$1.36,"$47,123,176",$0
WMATIC,"Sep 17, 2021",$1.38,$1.42,$1.31,$1.41,"$58,635,403",$0
WMATIC,"Sep 16, 2021",$1.41,$1.49,$1.34,$1.38,"$66,180,065",$0
WMATIC,"Sep 15, 2021",$1.31,$1.41,$1.31,$1.41,"$57,753,829",$0
WMATIC,"Sep 14, 2021",$1.25,$1.34,$1.24,$1.31,"$51,127,434",$0
WMATIC,"Sep 13, 2021",$1.33,$1.34,$1.21,$1.25,"$58,450,159",$0
WMATIC,"Sep 12, 2021",$1.31,$1.37,$1.29,$1.33,"$59,863,989",$0
WMATIC,"Sep 11, 2021",$1.30,$1.36,$1.29,$1.31,"$67,728,797",$0
WMATIC,"Sep 10, 2021",$1.37,$1.45,$1.28,$1.30,"$84,288,410",$0
WMATIC,"Sep 09, 2021",$1.30,$1.44,$1.27,$1.37,"$89,112,647",$0
WMATIC,"Sep 08, 2021",$1.37,$1.37,$1.21,$1.33,"$119,996,700",$0
WMATIC,"Sep 07, 2021",$1.65,$1.69,$1.31,$1.37,"$106,646,394",$0
WMATIC,"Sep 06, 2021",$1.67,$1.71,$1.61,$1.65,"$70,674,043",$0
WMATIC,"Sep 05, 2021",$1.72,$1.77,$1.65,$1.67,"$92,288,253",$0
WMATIC,"Sep 04, 2021",$1.46,$1.72,$1.45,$1.72,"$85,518,501",$0
WMATIC,"Sep 03, 2021",$1.45,$1.49,$1.35,$1.46,"$60,117,650",$0
WMATIC,"Sep 02, 2021",$1.46,$1.51,$1.44,$1.45,"$67,133,050",$0
WMATIC,"Sep 01, 2021",$1.36,$1.48,$1.33,$1.46,"$63,869,666",$0
WMATIC,"Aug 31, 2021",$1.35,$1.41,$1.31,$1.36,"$38,770,537",$0
WMATIC,"Aug 30, 2021",$1.43,$1.43,$1.34,$1.35,"$19,025,537",$0
WMATIC,"Aug 29, 2021",$1.46,$1.48,$1.41,$1.43,"$10,130,857",$0
WMATIC,"Aug 28, 2021",$1.47,$1.49,$1.45,$1.46,"$22,163,891",$0
WMATIC,"Aug 27, 2021",$1.40,$1.47,$1.37,$1.47,"$46,891,432",$0
WMATIC,"Aug 26, 2021",$1.52,$1.54,$1.38,$1.40,"$55,667,846",$0
WMATIC,"Aug 25, 2021",$1.48,$1.54,$1.44,$1.52,"$60,184,606",$0
WMATIC,"Aug 24, 2021",$1.61,$1.62,$1.46,$1.48,"$45,778,043",$0
WMATIC,"Aug 23, 2021",$1.63,$1.68,$1.60,$1.61,"$9,801,399",$0
WMATIC,"Aug 22, 2021",$1.60,$1.66,$1.57,$1.63,"$40,236,011",$0
WMATIC,"Aug 21, 2021",$1.54,$1.69,$1.52,$1.60,"$56,588,363",$0
WMATIC,"Aug 20, 2021",$1.45,$1.56,$1.45,$1.54,"$18,813,739",$0
WMATIC,"Aug 19, 2021",$1.36,$1.45,$1.31,$1.45,"$32,182,704",$0
WMATIC,"Aug 18, 2021",$1.35,$1.41,$1.30,$1.36,"$41,590,272",$0
WMATIC,"Aug 17, 2021",$1.43,$1.53,$1.35,$1.35,"$43,488,265",$0
WMATIC,"Aug 16, 2021",$1.47,$1.54,$1.43,$1.43,"$9,267,036",$0
WMATIC,"Aug 15, 2021",$1.44,$1.48,$1.39,$1.47,"$25,710,420",$0
WMATIC,"Aug 14, 2021",$1.48,$1.50,$1.41,$1.44,"$32,912,112",$0
WMATIC,"Aug 13, 2021",$1.32,$1.50,$1.32,$1.48,"$56,549,672",$0
WMATIC,"Aug 12, 2021",$1.38,$1.46,$1.27,$1.32,"$56,513,068",$0
WMATIC,"Aug 11, 2021",$1.15,$1.41,$1.15,$1.38,"$20,811,379",$0
WMATIC,"Aug 10, 2021",$1.13,$1.20,$1.11,$1.14,"$57,674,565",$0
WMATIC,"Aug 09, 2021",$1.09,$1.20,$1.05,$1.13,"$46,237,571",$0
WMATIC,"Aug 08, 2021",$1.17,$1.19,$1.08,$1.09,"$33,755,645",$0
WMATIC,"Aug 07, 2021",$1.08,$1.20,$1.08,$1.17,"$34,341,875",$0
WMATIC,"Aug 06, 2021",$1.07,$1.09,$1.04,$1.08,"$17,975,802",$0
WMATIC,"Aug 05, 2021",$1.06,$1.07,$1.02,$1.07,"$24,776,046",$0
WMATIC,"Aug 04, 2021",$1.02,$1.07,$1.01,$1.06,"$19,093,425",$0
WMATIC,"Aug 03, 2021",$1.05,$1.06,$1.01,$1.02,"$20,150,012",$0
WMATIC,"Aug 02, 2021",$1.06,$1.08,$1.03,$1.05,"$18,477,237",$0
WMATIC,"Aug 01, 2021",$1.09,$1.14,$1.05,$1.06,"$25,745,356",$0
WMATIC,"Jul 31, 2021",$1.06,$1.09,$1.03,$1.09,"$18,946,712",$0
WMATIC,"Jul 30, 2021",$1.04,$1.08,$0.9959,$1.06,"$24,500,198",$0
WMATIC,"Jul 29, 2021",$1.02,$1.04,$0.9998,$1.04,"$25,063,931",$0
WMATIC,"Jul 28, 2021",$1.04,$1.05,$1.00,$1.02,"$26,278,681",$0
WMATIC,"Jul 27, 2021",$1.02,$1.06,$0.9518,$1.04,"$39,336,634",$0
WMATIC,"Jul 26, 2021",$0.922,$1.13,$0.922,$1.02,"$60,026,928",$0
WMATIC,"Jul 25, 2021",$0.9477,$0.9588,$0.892,$0.9219,"$19,201,095",$0
WMATIC,"Jul 24, 2021",$0.9434,$0.9776,$0.9157,$0.9477,"$23,031,405",$0
WMATIC,"Jul 23, 2021",$0.8845,$0.9608,$0.8621,$0.9429,"$34,388,050",$0
WMATIC,"Jul 22, 2021",$0.8897,$0.9232,$0.8561,$0.8845,"$32,324,683",$0
WMATIC,"Jul 21, 2021",$0.6927,$0.9285,$0.675,$0.8899,"$60,066,666",$0
WMATIC,"Jul 20, 2021",$0.734,$0.7385,$0.6322,$0.6922,"$40,809,193",$0
WMATIC,"Jul 19, 2021",$0.8017,$0.803,$0.7272,$0.7339,"$18,882,075",$0
WMATIC,"Jul 18, 2021",$0.8067,$0.8579,$0.7986,$0.8018,"$15,817,257",$0
WMATIC,"Jul 17, 2021",$0.8171,$0.8196,$0.7891,$0.8066,"$21,261,243",$0
WMATIC,"Jul 16, 2021",$0.8687,$0.8924,$0.8171,$0.8171,"$17,356,742",$0
WMATIC,"Jul 15, 2021",$0.9291,$0.9465,$0.864,$0.8688,"$20,342,560",$0
WMATIC,"Jul 14, 2021",$0.9402,$0.9567,$0.8719,$0.929,"$22,772,124",$0
WMATIC,"Jul 13, 2021",$0.9943,$1.01,$0.9392,$0.9398,"$18,799,854",$0
WMATIC,"Jul 12, 2021",$1.06,$1.08,$0.9716,$0.9943,"$42,355,066",$0
WMATIC,"Jul 11, 2021",$1.05,$1.07,$1.02,$1.06,"$12,549,389",$0
WMATIC,"Jul 10, 2021",$1.07,$1.08,$1.03,$1.04,"$13,520,628",$0
WMATIC,"Jul 09, 2021",$1.05,$1.08,$1.02,$1.07,"$19,517,935",$0
WMATIC,"Jul 08, 2021",$1.14,$1.17,$1.04,$1.05,"$27,847,832",$0
WMATIC,"Jul 07, 2021",$1.13,$1.17,$1.13,$1.14,"$23,084,423",$0
WMATIC,"Jul 06, 2021",$1.10,$1.16,$1.10,$1.13,"$25,186,390",$0
WMATIC,"Jul 05, 2021",$1.15,$1.15,$1.08,$1.10,"$22,692,881",$0
WMATIC,"Jul 04, 2021",$1.11,$1.17,$1.10,$1.15,"$23,484,509",$0
WMATIC,"Jul 03, 2021",$1.10,$1.14,$1.08,$1.11,"$25,680,968",$0
WMATIC,"Jul 02, 2021",$1.08,$1.11,$1.05,$1.10,"$23,599,807",$0
WMATIC,"Jul 01, 2021",$1.16,$1.16,$1.07,$1.08,"$31,744,282",$0
WMATIC,"Jun 30, 2021",$1.17,$1.18,$1.09,$1.16,"$33,029,483",$0
WMATIC,"Jun 29, 2021",$1.11,$1.24,$1.11,$1.17,"$41,588,408",$0
WMATIC,"Jun 28, 2021",$1.10,$1.16,$1.09,$1.11,"$37,567,694",$0
WMATIC,"Jun 27, 2021",$1.06,$1.10,$1.03,$1.10,"$39,032,086",$0
