symbol,date,open,high,low,close,volume,marketCap
WNXM,"Oct 29, 2021",$53.04,$53.41,$51.37,$51.79,"$9,639,295","$86,845,634"
WNXM,"Oct 28, 2021",$54.52,$59.40,$45.64,$53.03,"$27,736,960","$88,935,208"
WNXM,"Oct 27, 2021",$59.38,$60.16,$54.16,$54.53,"$7,565,744","$91,439,855"
WNXM,"Oct 26, 2021",$60.73,$61.22,$58.36,$59.43,"$8,404,183","$99,665,441"
WNXM,"Oct 25, 2021",$57.66,$60.79,$57.59,$60.65,"$4,653,627","$101,701,530"
WNXM,"Oct 24, 2021",$58.57,$58.74,$55.54,$57.74,"$5,943,998","$96,824,875"
WNXM,"Oct 23, 2021",$57.26,$58.65,$56.31,$58.57,"$4,553,833","$98,222,272"
WNXM,"Oct 22, 2021",$58.59,$60.46,$56.58,$57.26,"$5,608,890","$96,024,062"
WNXM,"Oct 21, 2021",$58.27,$59.72,$54.92,$58.58,"$7,461,546","$98,240,321"
WNXM,"Oct 20, 2021",$54.89,$58.86,$53.92,$58.26,"$6,179,654","$97,702,802"
WNXM,"Oct 19, 2021",$53.51,$61.23,$53.26,$54.89,"$15,748,892","$92,048,817"
WNXM,"Oct 18, 2021",$52.39,$54.26,$50.65,$53.54,"$5,779,001","$89,784,204"
WNXM,"Oct 17, 2021",$54.39,$55.90,$50.70,$52.39,"$7,393,324","$87,855,746"
WNXM,"Oct 16, 2021",$51.55,$54.69,$50.63,$54.33,"$7,401,190","$91,115,936"
WNXM,"Oct 15, 2021",$52.99,$53.16,$51.24,$51.46,"$6,125,181","$86,292,409"
WNXM,"Oct 14, 2021",$53.00,$53.93,$51.58,$52.99,"$10,397,282","$88,862,012"
WNXM,"Oct 13, 2021",$52.14,$53.27,$50.46,$53.00,"$12,066,330","$88,874,469"
WNXM,"Oct 12, 2021",$54.54,$54.54,$51.32,$52.20,"$11,278,882","$87,539,681"
WNXM,"Oct 11, 2021",$56.58,$57.47,$54.18,$54.45,"$14,630,235","$91,303,047"
WNXM,"Oct 10, 2021",$62.61,$73.76,$56.30,$56.58,"$60,177,623","$94,875,436"
WNXM,"Oct 09, 2021",$61.19,$64.30,$60.99,$62.82,"$15,195,433","$105,343,668"
WNXM,"Oct 08, 2021",$59.91,$61.60,$59.33,$60.99,"$9,393,708","$102,282,838"
WNXM,"Oct 07, 2021",$60.38,$61.15,$58.47,$59.91,"$9,531,586","$100,464,602"
WNXM,"Oct 06, 2021",$59.67,$61.48,$57.55,$60.39,"$15,928,884","$101,271,585"
WNXM,"Oct 05, 2021",$56.92,$60.13,$56.57,$59.67,"$13,529,604","$100,062,223"
WNXM,"Oct 04, 2021",$57.80,$58.23,$54.67,$56.92,"$11,431,839","$95,451,005"
WNXM,"Oct 03, 2021",$55.71,$58.10,$55.12,$57.68,"$13,388,317","$96,720,298"
WNXM,"Oct 02, 2021",$56.51,$58.26,$54.90,$55.71,"$13,322,117","$93,418,233"
WNXM,"Oct 01, 2021",$55.60,$59.82,$54.54,$56.53,"$16,255,799","$94,797,031"
WNXM,"Sep 30, 2021",$51.11,$56.89,$50.83,$55.43,"$17,289,240","$92,950,327"
WNXM,"Sep 29, 2021",$52.41,$55.12,$50.60,$51.11,"$14,020,814","$85,714,224"
WNXM,"Sep 28, 2021",$55.83,$56.07,$52.30,$52.42,"$13,434,458","$87,900,474"
WNXM,"Sep 27, 2021",$58.97,$64.10,$55.48,$55.88,"$19,385,833","$93,715,486"
WNXM,"Sep 26, 2021",$57.14,$59.73,$55.00,$59.05,"$12,824,512","$99,025,818"
WNXM,"Sep 25, 2021",$57.44,$58.19,$55.54,$57.14,"$9,213,232","$95,824,448"
WNXM,"Sep 24, 2021",$62.11,$62.38,$55.26,$57.45,"$12,367,749","$96,349,403"
WNXM,"Sep 23, 2021",$65.99,$67.06,$61.39,$62.15,"$15,154,776","$104,229,516"
WNXM,"Sep 22, 2021",$58.12,$66.14,$57.32,$65.99,"$13,673,907","$110,670,699"
WNXM,"Sep 21, 2021",$62.80,$66.69,$57.25,$58.03,"$15,781,991","$97,320,446"
WNXM,"Sep 20, 2021",$71.28,$72.34,$62.13,$62.64,"$16,741,851","$105,038,142"
WNXM,"Sep 19, 2021",$72.40,$74.47,$70.54,$71.27,"$10,546,045","$119,516,000"
WNXM,"Sep 18, 2021",$74.40,$76.27,$70.52,$72.62,"$13,694,058","$121,777,800"
WNXM,"Sep 17, 2021",$73.19,$75.22,$72.06,$74.40,"$14,681,293","$124,762,196"
WNXM,"Sep 16, 2021",$73.55,$75.49,$71.85,$73.18,"$15,791,945","$122,715,497"
WNXM,"Sep 15, 2021",$68.60,$73.34,$67.81,$73.33,"$12,077,811","$122,969,983"
WNXM,"Sep 14, 2021",$64.78,$68.66,$63.49,$68.35,"$14,222,753","$114,615,128"
WNXM,"Sep 13, 2021",$67.42,$67.93,$61.34,$64.79,"$18,319,179","$108,643,187"
WNXM,"Sep 12, 2021",$64.14,$67.95,$63.02,$67.41,"$14,211,377","$113,042,041"
WNXM,"Sep 11, 2021",$67.13,$69.33,$64.01,$64.15,"$16,044,565","$107,572,806"
WNXM,"Sep 10, 2021",$74.13,$75.17,$65.52,$67.13,"$19,866,366","$112,570,338"
WNXM,"Sep 09, 2021",$74.96,$77.11,$73.31,$74.13,"$14,345,444","$124,308,053"
WNXM,"Sep 08, 2021",$75.82,$77.45,$69.00,$75.94,"$18,854,051","$127,348,830"
WNXM,"Sep 07, 2021",$83.34,$83.98,$65.07,$75.83,"$30,768,249","$127,169,957"
WNXM,"Sep 06, 2021",$80.45,$83.97,$79.09,$83.22,"$16,172,649","$139,564,057"
WNXM,"Sep 05, 2021",$85.43,$85.60,$79.93,$80.44,"$22,059,470","$134,887,126"
WNXM,"Sep 04, 2021",$85.47,$87.52,$80.80,$85.22,"$21,019,319","$142,913,861"
