symbol,date,open,high,low,close,volume,marketCap
XAMP,"Oct 29, 2021",$0.004371,$0.004564,$0.004336,$0.00448,"$1,688","$2,087,540"
XAMP,"Oct 28, 2021",$0.003994,$0.004368,$0.003965,$0.004365,$0,"$2,033,911"
XAMP,"Oct 27, 2021",$0.004215,$0.004382,$0.003946,$0.004002,$0,"$1,864,600"
XAMP,"Oct 26, 2021",$0.004322,$0.004535,$0.004146,$0.004217,$0,"$1,964,831"
XAMP,"Oct 25, 2021",$0.004165,$0.004351,$0.004137,$0.004314,$945,"$2,010,060"
XAMP,"Oct 24, 2021",$0.004273,$0.004378,$0.004064,$0.004171,$891,"$1,943,506"
XAMP,"Oct 23, 2021",$0.004117,$0.004336,$0.00407,$0.004269,"$5,270","$1,988,920"
XAMP,"Oct 22, 2021",$0.004205,$0.004302,$0.004078,$0.004114,"$1,134","$1,917,059"
XAMP,"Oct 21, 2021",$0.004295,$0.004481,$0.004191,$0.004208,$154,"$1,960,656"
XAMP,"Oct 20, 2021",$0.003999,$0.004303,$0.003945,$0.004303,$0,"$2,004,831"
XAMP,"Oct 19, 2021",$0.003888,$0.004035,$0.003876,$0.004018,$433,"$1,872,094"
XAMP,"Oct 18, 2021",$0.00399,$0.004051,$0.003853,$0.003889,"$1,584","$1,811,834"
XAMP,"Oct 17, 2021",$0.004003,$0.004069,$0.00384,$0.003987,$57,"$1,857,541"
XAMP,"Oct 16, 2021",$0.004034,$0.004113,$0.003968,$0.004004,$0,"$1,865,366"
XAMP,"Oct 15, 2021",$0.00397,$0.00406,$0.003883,$0.004029,"$1,315","$1,877,186"
XAMP,"Oct 14, 2021",$0.003755,$0.003981,$0.003752,$0.003975,$623,"$1,852,033"
XAMP,"Oct 13, 2021",$0.003614,$0.003759,$0.003567,$0.003752,"$4,650","$1,748,365"
XAMP,"Oct 12, 2021",$0.0037,$0.003703,$0.003568,$0.003613,"$3,463","$1,683,329"
XAMP,"Oct 11, 2021",$0.003602,$0.003778,$0.003577,$0.003703,$984,"$1,725,225"
XAMP,"Oct 10, 2021",$0.003771,$0.003777,$0.003603,$0.003606,"$1,052","$1,679,938"
XAMP,"Oct 09, 2021",$0.003742,$0.003805,$0.003716,$0.003776,$929,"$1,759,168"
XAMP,"Oct 08, 2021",$0.003775,$0.003841,$0.00372,$0.003743,$0,"$1,744,007"
XAMP,"Oct 07, 2021",$0.003881,$0.003961,$0.003734,$0.00378,"$10,175","$1,761,252"
XAMP,"Oct 06, 2021",$0.003808,$0.003918,$0.00363,$0.003878,$0,"$1,806,962"
XAMP,"Oct 05, 2021",$0.003676,$0.003835,$0.003642,$0.003815,$519,"$1,777,295"
XAMP,"Oct 04, 2021",$0.003734,$0.003741,$0.003582,$0.003675,"$2,592","$1,712,370"
XAMP,"Oct 03, 2021",$0.003706,$0.003813,$0.003672,$0.003733,$277,"$1,739,180"
XAMP,"Oct 02, 2021",$0.003627,$0.003786,$0.003586,$0.003711,"$1,963","$1,729,225"
XAMP,"Oct 01, 2021",$0.003303,$0.003647,$0.003281,$0.003626,$438,"$1,689,596"
XAMP,"Sep 30, 2021",$0.00313,$0.005305,$0.003127,$0.003303,$207,"$1,539,164"
XAMP,"Sep 29, 2021",$0.003097,$0.00324,$0.003084,$0.003133,$728,"$1,459,908"
XAMP,"Sep 28, 2021",$0.003257,$0.003287,$0.003094,$0.003101,$804,"$1,444,842"
XAMP,"Sep 27, 2021",$0.003374,$0.003496,$0.003257,$0.003257,"$1,325","$1,517,499"
XAMP,"Sep 26, 2021",$0.003217,$0.003442,$0.003055,$0.003379,"$3,713","$1,574,259"
XAMP,"Sep 25, 2021",$0.005035,$0.005075,$0.003218,$0.003218,"$126,044","$1,499,536"
XAMP,"Sep 24, 2021",$0.005447,$0.005456,$0.00481,$0.005033,"$31,808","$2,345,204"
XAMP,"Sep 23, 2021",$0.00559,$0.006007,$0.005439,$0.005446,"$56,852","$2,537,487"
XAMP,"Sep 22, 2021",$0.00364,$0.005587,$0.00364,$0.005584,"$331,878","$2,601,712"
XAMP,"Sep 21, 2021",$0.003792,$0.004033,$0.0036,$0.00364,"$51,007","$1,696,203"
XAMP,"Sep 20, 2021",$0.003906,$0.003913,$0.003503,$0.003792,"$28,380","$1,766,831"
XAMP,"Sep 19, 2021",$0.004003,$0.004034,$0.003852,$0.003906,"$2,474","$1,820,043"
XAMP,"Sep 18, 2021",$0.003973,$0.004123,$0.003945,$0.004001,$0,"$1,864,161"
XAMP,"Sep 17, 2021",$0.004169,$0.004195,$0.003929,$0.003971,$0,"$1,850,079"
XAMP,"Sep 16, 2021",$0.004195,$0.004269,$0.004096,$0.004172,$0,"$1,943,888"
XAMP,"Sep 15, 2021",$0.003977,$0.004199,$0.003957,$0.004194,"$1,249","$1,954,017"
XAMP,"Sep 14, 2021",$0.003843,$0.003989,$0.003836,$0.003976,$621,"$1,852,601"
XAMP,"Sep 13, 2021",$0.003405,$0.003917,$0.0034,$0.003843,"$136,668","$1,790,466"
XAMP,"Sep 12, 2021",$0.003225,$0.003442,$0.003201,$0.003406,"$4,267","$1,586,904"
XAMP,"Sep 11, 2021",$0.003173,$0.003301,$0.00317,$0.003226,$0,"$1,503,015"
XAMP,"Sep 10, 2021",$0.003383,$0.003461,$0.003138,$0.003173,$887,"$1,478,438"
XAMP,"Sep 09, 2021",$0.003426,$0.003506,$0.003366,$0.003383,$892,"$1,576,164"
XAMP,"Sep 08, 2021",$0.003389,$0.003501,$0.003192,$0.003449,$0,"$1,607,122"
XAMP,"Sep 07, 2021",$0.003888,$0.003903,$0.003254,$0.003386,$0,"$1,577,833"
XAMP,"Sep 06, 2021",$0.003897,$0.003926,$0.003814,$0.00389,$0,"$1,812,242"
XAMP,"Sep 05, 2021",$0.003833,$0.003914,$0.003795,$0.003896,$50,"$1,815,303"
XAMP,"Sep 04, 2021",$0.003879,$0.003925,$0.003789,$0.003831,$0,"$1,784,991"
XAMP,"Sep 03, 2021",$0.003739,$0.003944,$0.003682,$0.00388,$0,"$1,807,828"
XAMP,"Sep 02, 2021",$0.003741,$0.003771,$0.003685,$0.00374,$0,"$1,742,634"
XAMP,"Sep 01, 2021",$0.00338,$0.003741,$0.003346,$0.003741,$0,"$1,742,971"
