symbol,date,open,high,low,close,volume,marketCap
XNK,"Oct 29, 2021",$0.0009211,$0.0009535,$0.000913,$0.0009372,$150,"$400,290"
XNK,"Oct 28, 2021",$0.0008731,$0.0009233,$0.0008664,$0.0009206,$147,"$393,220"
XNK,"Oct 27, 2021",$0.0009266,$0.001104,$0.000866,$0.0008744,$140,"$373,450"
XNK,"Oct 26, 2021",$0.0009376,$0.0009602,$0.000919,$0.0009272,$149,"$396,036"
XNK,"Oct 25, 2021",$0.0008946,$0.0009484,$0.0008863,$0.0009376,$151,"$400,472"
XNK,"Oct 24, 2021",$0.0008839,$0.0009102,$0.0008683,$0.0008944,$472,"$382,020"
XNK,"Oct 23, 2021",$0.001054,$0.001065,$0.0008552,$0.0008837,"$2,728","$377,460"
XNK,"Oct 22, 2021",$0.001127,$0.001158,$0.001043,$0.001054,$757,"$450,001"
XNK,"Oct 21, 2021",$0.001149,$0.001179,$0.001121,$0.001128,$456,"$481,874"
XNK,"Oct 20, 2021",$0.001098,$0.001159,$0.001089,$0.001148,$466,"$490,433"
XNK,"Oct 19, 2021",$0.001109,$0.001117,$0.001075,$0.001098,$445,"$468,904"
XNK,"Oct 18, 2021",$0.001126,$0.001151,$0.001093,$0.001108,$794,"$473,353"
XNK,"Oct 17, 2021",$0.001142,$0.001155,$0.001092,$0.001128,$816,"$481,732"
XNK,"Oct 16, 2021",$0.001232,$0.001257,$0.001135,$0.001142,"$1,136","$487,612"
XNK,"Oct 15, 2021",$0.00129,$0.001346,$0.001226,$0.001232,$615,"$526,223"
XNK,"Oct 14, 2021",$0.001262,$0.001317,$0.001259,$0.001291,$592,"$551,372"
XNK,"Oct 13, 2021",$0.00123,$0.001263,$0.001203,$0.001262,$579,"$538,860"
XNK,"Oct 12, 2021",$0.001261,$0.001261,$0.001205,$0.00123,$565,"$525,391"
XNK,"Oct 11, 2021",$0.001262,$0.001333,$0.00125,$0.001262,$933,"$538,909"
XNK,"Oct 10, 2021",$0.0013,$0.001322,$0.001256,$0.001262,$150,"$539,132"
XNK,"Oct 09, 2021",$0.001276,$0.001312,$0.001268,$0.0013,"$1,089","$555,123"
XNK,"Oct 08, 2021",$0.001248,$0.001289,$0.001178,$0.001276,"$1,724","$545,063"
XNK,"Oct 07, 2021",$0.001263,$0.001269,$0.001228,$0.001248,$277,"$532,972"
XNK,"Oct 06, 2021",$0.001245,$0.001285,$0.00118,$0.001263,$280,"$539,318"
XNK,"Oct 05, 2021",$0.001202,$0.001263,$0.001195,$0.001245,$276,"$531,917"
XNK,"Oct 04, 2021",$0.001223,$0.001224,$0.00117,$0.001202,$267,"$513,214"
XNK,"Oct 03, 2021",$0.001254,$0.00127,$0.001206,$0.001223,$574,"$522,347"
XNK,"Oct 02, 2021",$0.001307,$0.001318,$0.001223,$0.001253,$773,"$535,267"
XNK,"Oct 01, 2021",$0.001221,$0.001313,$0.00121,$0.001307,$264,"$558,177"
XNK,"Sep 30, 2021",$0.001282,$0.001351,$0.001203,$0.00122,"$1,302","$521,205"
XNK,"Sep 29, 2021",$0.001276,$0.001329,$0.001256,$0.001282,$273,"$547,696"
XNK,"Sep 28, 2021",$0.001324,$0.00133,$0.001269,$0.001276,$268,"$544,791"
XNK,"Sep 27, 2021",$0.001359,$0.001406,$0.001319,$0.001324,$279,"$565,319"
XNK,"Sep 26, 2021",$0.001308,$0.001388,$0.001239,$0.001357,$291,"$579,494"
XNK,"Sep 25, 2021",$0.001319,$0.001323,$0.001264,$0.001309,$166,"$559,196"
XNK,"Sep 24, 2021",$0.0014,$0.001406,$0.001254,$0.001317,$164,"$562,385"
XNK,"Sep 23, 2021",$0.001364,$0.001409,$0.001342,$0.0014,$176,"$598,098"
XNK,"Sep 22, 2021",$0.00124,$0.001369,$0.001237,$0.001365,$172,"$582,952"
XNK,"Sep 21, 2021",$0.001319,$0.001373,$0.00123,$0.00124,$157,"$529,827"
XNK,"Sep 20, 2021",$0.001504,$0.001504,$0.001319,$0.00132,$168,"$563,576"
XNK,"Sep 19, 2021",$0.001523,$0.001551,$0.001488,$0.001504,$189,"$642,401"
XNK,"Sep 18, 2021",$0.00151,$0.001573,$0.001497,$0.001523,$305,"$650,373"
XNK,"Sep 17, 2021",$0.001575,$0.001582,$0.001495,$0.001508,$301,"$644,193"
XNK,"Sep 16, 2021",$0.001606,$0.001638,$0.001535,$0.001575,$315,"$672,693"
XNK,"Sep 15, 2021",$0.001553,$0.001612,$0.001537,$0.001604,$321,"$685,107"
XNK,"Sep 14, 2021",$0.001462,$0.001552,$0.001453,$0.001552,$310,"$663,068"
XNK,"Sep 13, 2021",$0.001536,$0.001539,$0.001392,$0.001462,$293,"$624,478"
XNK,"Sep 12, 2021",$0.001498,$0.001544,$0.001461,$0.001537,$307,"$656,493"
XNK,"Sep 11, 2021",$0.00148,$0.001535,$0.001479,$0.001499,$716,"$640,039"
XNK,"Sep 10, 2021",$0.001638,$0.001671,$0.001458,$0.00148,$710,"$631,983"
XNK,"Sep 09, 2021",$0.001609,$0.001692,$0.001604,$0.001639,$0,"$699,880"
XNK,"Sep 08, 2021",$0.001648,$0.001682,$0.001536,$0.001627,$0,"$694,779"
XNK,"Sep 07, 2021",$0.00191,$0.001921,$0.001577,$0.001649,$0,"$704,395"
XNK,"Sep 06, 2021",$0.001884,$0.001939,$0.001866,$0.00191,$0,"$815,944"
XNK,"Sep 05, 2021",$0.001825,$0.001903,$0.001805,$0.001886,$0,"$805,378"
XNK,"Sep 04, 2021",$0.001835,$0.001862,$0.001804,$0.001823,$0,"$778,802"
XNK,"Sep 03, 2021",$0.001824,$0.001876,$0.001786,$0.001835,$0,"$783,630"
XNK,"Sep 02, 2021",$0.001829,$0.001858,$0.001804,$0.001824,$80,"$779,007"
XNK,"Sep 01, 2021",$0.001721,$0.001831,$0.001688,$0.001831,$81,"$781,852"
XNK,"Aug 31, 2021",$0.00171,$0.001753,$0.001647,$0.001723,$76,"$735,709"
XNK,"Aug 30, 2021",$0.001684,$0.001743,$0.001621,$0.001707,$73,"$729,280"
XNK,"Aug 29, 2021",$0.001693,$0.001728,$0.001657,$0.001684,$74,"$719,376"
XNK,"Aug 28, 2021",$0.001744,$0.001748,$0.001687,$0.001694,$56,"$723,360"
XNK,"Aug 27, 2021",$0.001679,$0.001756,$0.001655,$0.001744,$57,"$744,990"
XNK,"Aug 26, 2021",$0.001761,$0.001804,$0.001671,$0.00168,$55,"$717,657"
XNK,"Aug 25, 2021",$0.001667,$0.001791,$0.001645,$0.001761,$57,"$751,980"
XNK,"Aug 24, 2021",$0.001732,$0.001841,$0.001662,$0.001671,$55,"$713,783"
XNK,"Aug 23, 2021",$0.001709,$0.001776,$0.001702,$0.001733,$57,"$740,106"
XNK,"Aug 22, 2021",$0.001703,$0.001734,$0.001657,$0.00171,$56,"$730,322"
XNK,"Aug 21, 2021",$0.001727,$0.001751,$0.001689,$0.001707,$56,"$729,209"
XNK,"Aug 20, 2021",$0.001676,$0.001731,$0.001659,$0.001728,$304,"$738,006"
XNK,"Aug 19, 2021",$0.001662,$0.001732,$0.001594,$0.001675,$295,"$715,472"
XNK,"Aug 18, 2021",$0.001662,$0.001743,$0.001605,$0.001661,$237,"$709,407"
XNK,"Aug 17, 2021",$0.001729,$0.001797,$0.001644,$0.001658,$484,"$707,981"
XNK,"Aug 16, 2021",$0.001763,$0.001811,$0.001706,$0.001728,$506,"$738,174"
XNK,"Aug 15, 2021",$0.001712,$0.001775,$0.001643,$0.001763,$518,"$752,799"
XNK,"Aug 14, 2021",$0.001696,$0.001722,$0.001644,$0.00171,$131,"$730,454"
XNK,"Aug 13, 2021",$0.001565,$0.001701,$0.001565,$0.001696,$71,"$724,380"
XNK,"Aug 12, 2021",$0.001636,$0.001694,$0.001546,$0.001565,$316,"$668,315"
XNK,"Aug 11, 2021",$0.001621,$0.001713,$0.001613,$0.001636,$330,"$698,960"
XNK,"Aug 10, 2021",$0.001676,$0.001729,$0.001596,$0.001622,$499,"$692,681"
XNK,"Aug 09, 2021",$0.001621,$0.001696,$0.001557,$0.001676,$274,"$715,815"
XNK,"Aug 08, 2021",$0.001661,$0.001688,$0.001578,$0.001621,$264,"$692,256"
XNK,"Aug 07, 2021",$0.001613,$0.001692,$0.001602,$0.001667,$274,"$712,082"
XNK,"Aug 06, 2021",$0.001589,$0.001635,$0.001542,$0.001614,$162,"$689,530"
XNK,"Aug 05, 2021",$0.001559,$0.001599,$0.00148,$0.001588,$160,"$678,163"
XNK,"Aug 04, 2021",$0.001469,$0.00157,$0.001448,$0.001559,$156,"$665,730"
XNK,"Aug 03, 2021",$0.001518,$0.001532,$0.00144,$0.001469,$148,"$627,305"
XNK,"Aug 02, 2021",$0.001505,$0.001552,$0.001482,$0.001519,$152,"$648,617"
XNK,"Aug 01, 2021",$0.001577,$0.00166,$0.001498,$0.001507,"$1,544","$643,794"
XNK,"Jul 31, 2021",$0.001541,$0.001596,$0.001522,$0.001579,$0,"$674,454"
XNK,"Jul 30, 2021",$0.00147,$0.001543,$0.001428,$0.00154,$0,"$657,928"
XNK,"Jul 29, 2021",$0.001443,$0.001476,$0.001408,$0.00147,$134,"$627,917"
XNK,"Jul 28, 2021",$0.001428,$0.001458,$0.0014,$0.001443,$131,"$616,487"
XNK,"Jul 27, 2021",$0.001407,$0.001453,$0.001354,$0.001428,$131,"$609,942"
XNK,"Jul 26, 2021",$0.001347,$0.001519,$0.001338,$0.001409,$128,"$601,772"
XNK,"Jul 25, 2021",$0.001344,$0.001361,$0.001309,$0.001348,$124,"$575,825"
XNK,"Jul 24, 2021",$0.001341,$0.001368,$0.001316,$0.001343,$417,"$573,434"
XNK,"Jul 23, 2021",$0.001271,$0.001341,$0.001267,$0.001341,$122,"$572,853"
XNK,"Jul 22, 2021",$0.00126,$0.001288,$0.001238,$0.001272,$666,"$543,175"
XNK,"Jul 21, 2021",$0.001132,$0.001261,$0.001116,$0.00126,$486,"$538,160"
XNK,"Jul 20, 2021",$0.001175,$0.001186,$0.001101,$0.001133,$124,"$483,782"
XNK,"Jul 19, 2021",$0.001236,$0.001242,$0.001173,$0.001176,$128,"$502,334"
XNK,"Jul 18, 2021",$0.001242,$0.001285,$0.001228,$0.001236,"$1,636","$528,082"
XNK,"Jul 17, 2021",$0.001237,$0.001259,$0.001226,$0.001242,"$1,633","$530,559"
XNK,"Jul 16, 2021",$0.001278,$0.001311,$0.001232,$0.001236,"$1,624","$527,978"
XNK,"Jul 15, 2021",$0.001345,$0.001372,$0.001264,$0.001277,"$1,678","$545,409"
XNK,"Jul 14, 2021",$0.001328,$0.001361,$0.001278,$0.001345,"$1,764","$574,431"
XNK,"Jul 13, 2021",$0.001223,$0.001335,$0.001153,$0.001328,"$1,979","$567,199"
XNK,"Jul 12, 2021",$0.001245,$0.001285,$0.001204,$0.001223,$807,"$522,553"
