symbol,date,open,high,low,close,volume,marketCap
YEAR,"Oct 29, 2021",$0.04122,$0.04436,$0.04058,$0.04357,$173,$0
YEAR,"Oct 28, 2021",$0.04094,$0.04407,$0.03941,$0.04122,$172,$0
YEAR,"Oct 27, 2021",$0.04165,$0.04223,$0.039,$0.04097,$172,$0
YEAR,"Oct 26, 2021",$0.04224,$0.04477,$0.04139,$0.04164,$144,$0
YEAR,"Oct 25, 2021",$0.04082,$0.04483,$0.04066,$0.04223,$170,$0
YEAR,"Oct 24, 2021",$0.04175,$0.04346,$0.03996,$0.04084,$159,$0
YEAR,"Oct 23, 2021",$0.04309,$0.04366,$0.04071,$0.04173,$179,$0
YEAR,"Oct 22, 2021",$0.0423,$0.04523,$0.04088,$0.04309,$167,$0
YEAR,"Oct 21, 2021",$0.04685,$0.04687,$0.04189,$0.04231,$171,$0
YEAR,"Oct 20, 2021",$0.0437,$0.04708,$0.04274,$0.04686,$170,$0
YEAR,"Oct 19, 2021",$0.04342,$0.04575,$0.04142,$0.04369,$170,$0
YEAR,"Oct 18, 2021",$0.04186,$0.04348,$0.0391,$0.04342,$177,$0
YEAR,"Oct 17, 2021",$0.04019,$0.04238,$0.03905,$0.04187,$158,$0
YEAR,"Oct 16, 2021",$0.04188,$0.04279,$0.03924,$0.04018,$173,$0
YEAR,"Oct 15, 2021",$0.03783,$0.04267,$0.03763,$0.04191,$163,$0
YEAR,"Oct 14, 2021",$0.03788,$0.03993,$0.03759,$0.03784,$155,$0
YEAR,"Oct 13, 2021",$0.03755,$0.03972,$0.03588,$0.03789,$156,$0
YEAR,"Oct 12, 2021",$0.03851,$0.03973,$0.03707,$0.03756,$138,$0
YEAR,"Oct 11, 2021",$0.03615,$0.03984,$0.03598,$0.0385,$144,$0
YEAR,"Oct 10, 2021",$0.03628,$0.03892,$0.03595,$0.03617,$145,$0
YEAR,"Oct 09, 2021",$0.03616,$0.03822,$0.0359,$0.03627,$156,$0
YEAR,"Oct 08, 2021",$0.03551,$0.03781,$0.03534,$0.03615,$146,$0
YEAR,"Oct 07, 2021",$0.03654,$0.03779,$0.03505,$0.03551,$145,$0
YEAR,"Oct 06, 2021",$0.03451,$0.03834,$0.03377,$0.03656,$130,$0
YEAR,"Oct 05, 2021",$0.03389,$0.03525,$0.03254,$0.0345,$120,$0
YEAR,"Oct 04, 2021",$0.03229,$0.03409,$0.03132,$0.03389,$127,$0
YEAR,"Oct 03, 2021",$0.03149,$0.03361,$0.03114,$0.03229,$140,$0
YEAR,"Oct 02, 2021",$0.0332,$0.03331,$0.03085,$0.0315,$117,$0
YEAR,"Oct 01, 2021",$0.03022,$0.03322,$0.02899,$0.03322,$119,$0
YEAR,"Sep 30, 2021",$0.02785,$0.03033,$0.02777,$0.03021,$105,$0
YEAR,"Sep 29, 2021",$0.02708,$0.02932,$0.02703,$0.02783,$107,$0
YEAR,"Sep 28, 2021",$0.02872,$0.02927,$0.02675,$0.02704,$117,$0
YEAR,"Sep 27, 2021",$0.02809,$0.03053,$0.02794,$0.02872,$125,$0
YEAR,"Sep 26, 2021",$0.02862,$0.03002,$0.02737,$0.0281,$124,$0
YEAR,"Sep 25, 2021",$0.02956,$0.02961,$0.02737,$0.02862,$113,$0
YEAR,"Sep 24, 2021",$0.02963,$0.0307,$0.02702,$0.02956,$121,$0
YEAR,"Sep 23, 2021",$0.02919,$0.03055,$0.02867,$0.02963,$123,$0
YEAR,"Sep 22, 2021",$0.02685,$0.03009,$0.02681,$0.02919,$119,$0
YEAR,"Sep 21, 2021",$0.02871,$0.03078,$0.0267,$0.02686,$117,$0
YEAR,"Sep 20, 2021",$0.03355,$0.0336,$0.02854,$0.02873,$114,$0
YEAR,"Sep 19, 2021",$0.03283,$0.03422,$0.03164,$0.03356,$141,$0
YEAR,"Sep 18, 2021",$0.03309,$0.03464,$0.03155,$0.03281,$128,$0
YEAR,"Sep 17, 2021",$0.03393,$0.03413,$0.03213,$0.03306,$123,$0
YEAR,"Sep 16, 2021",$0.03228,$0.03436,$0.03154,$0.03392,$130,$0
YEAR,"Sep 15, 2021",$0.03296,$0.03427,$0.03218,$0.03228,$136,$0
YEAR,"Sep 14, 2021",$0.03102,$0.03305,$0.03016,$0.03295,$142,$0
YEAR,"Sep 13, 2021",$0.03086,$0.03309,$0.02964,$0.03103,$128,$0
YEAR,"Sep 12, 2021",$0.03164,$0.03279,$0.03037,$0.03089,$127,$0
YEAR,"Sep 11, 2021",$0.03007,$0.03229,$0.03003,$0.03163,$127,$0
YEAR,"Sep 10, 2021",$0.03247,$0.03317,$0.02971,$0.03006,$124,$0
YEAR,"Sep 09, 2021",$0.0316,$0.03312,$0.03081,$0.03246,$129,$0
YEAR,"Sep 08, 2021",$0.0323,$0.03361,$0.0303,$0.0318,$123,$0
YEAR,"Sep 07, 2021",$0.03632,$0.03687,$0.03073,$0.03231,$128,$0
YEAR,"Sep 06, 2021",$0.03674,$0.03693,$0.03421,$0.03633,$157,$0
YEAR,"Sep 05, 2021",$0.03396,$0.03676,$0.03329,$0.03674,$144,$0
YEAR,"Sep 04, 2021",$0.03502,$0.03582,$0.0332,$0.03396,$142,$0
YEAR,"Sep 03, 2021",$0.03305,$0.03601,$0.03257,$0.03503,$145,$0
YEAR,"Sep 02, 2021",$0.03273,$0.0357,$0.03263,$0.03306,$138,$0
YEAR,"Sep 01, 2021",$0.0316,$0.03397,$0.03143,$0.03273,$131,$0
YEAR,"Aug 31, 2021",$0.032,$0.03419,$0.03152,$0.03159,$134,$0
YEAR,"Aug 30, 2021",$0.03369,$0.03453,$0.03195,$0.03195,$135,$0
YEAR,"Aug 29, 2021",$0.03472,$0.03486,$0.03243,$0.03369,$142,$0
YEAR,"Aug 28, 2021",$0.03483,$0.03493,$0.03259,$0.03473,$140,$0
YEAR,"Aug 27, 2021",$0.03286,$0.03487,$0.03108,$0.0348,$141,$0
YEAR,"Aug 26, 2021",$0.03427,$0.03454,$0.03124,$0.03286,$132,$0
YEAR,"Aug 25, 2021",$0.03244,$0.03493,$0.03213,$0.03427,$129,$0
YEAR,"Aug 24, 2021",$0.0332,$0.03541,$0.03243,$0.03247,$131,$0
YEAR,"Aug 23, 2021",$0.03502,$0.03545,$0.03288,$0.03319,$125,$0
YEAR,"Aug 22, 2021",$0.03277,$0.03512,$0.03238,$0.03503,$121,$0
YEAR,"Aug 21, 2021",$0.03355,$0.03506,$0.03267,$0.03278,$159,$0
YEAR,"Aug 20, 2021",$0.0313,$0.035,$0.03126,$0.03355,$134,$0
YEAR,"Aug 19, 2021",$0.03181,$0.03267,$0.02955,$0.03129,$128,$0
YEAR,"Aug 18, 2021",$0.03173,$0.03223,$0.03026,$0.03182,$129,$0
YEAR,"Aug 17, 2021",$0.03174,$0.033,$0.03041,$0.03174,$116,$0
YEAR,"Aug 16, 2021",$0.0334,$0.03408,$0.03062,$0.03177,$143,$0
YEAR,"Aug 15, 2021",$0.03297,$0.03362,$0.03058,$0.03343,$122,$0
YEAR,"Aug 14, 2021",$0.03298,$0.03342,$0.03129,$0.03295,$137,$0
YEAR,"Aug 13, 2021",$0.02977,$0.03393,$0.02967,$0.033,$121,$0
YEAR,"Aug 12, 2021",$0.03146,$0.03227,$0.02939,$0.02977,$153,$0
YEAR,"Aug 11, 2021",$0.03237,$0.03306,$0.03074,$0.0315,$125,$0
YEAR,"Aug 10, 2021",$0.03106,$0.03271,$0.03034,$0.03235,$123,$0
YEAR,"Aug 09, 2021",$0.03066,$0.03265,$0.02886,$0.03101,$128,$0
YEAR,"Aug 08, 2021",$0.02985,$0.03215,$0.02939,$0.03063,$117,$0
YEAR,"Aug 07, 2021",$0.02954,$0.03124,$0.02893,$0.02993,$118,$0
YEAR,"Aug 06, 2021",$0.02861,$0.03072,$0.02715,$0.02959,$119,$0
YEAR,"Aug 05, 2021",$0.02822,$0.02879,$0.02622,$0.02861,$120,$0
YEAR,"Aug 04, 2021",$0.02633,$0.02833,$0.02524,$0.02824,$108,$0
YEAR,"Aug 03, 2021",$0.02666,$0.02775,$0.02553,$0.02631,$108,$0
YEAR,"Aug 02, 2021",$0.02718,$0.0287,$0.02637,$0.02664,$100,$0
YEAR,"Aug 01, 2021",$0.02872,$0.03005,$0.02689,$0.02725,$115,$0
YEAR,"Jul 31, 2021",$0.02999,$0.02999,$0.02767,$0.02878,$118,$0
YEAR,"Jul 30, 2021",$0.02801,$0.02992,$0.02628,$0.02991,$111,$0
YEAR,"Jul 29, 2021",$0.028,$0.02858,$0.02651,$0.02799,$115,$0
YEAR,"Jul 28, 2021",$0.0264,$0.02855,$0.02604,$0.02801,$101,$0
YEAR,"Jul 27, 2021",$0.02651,$0.02793,$0.02442,$0.02639,$99,$0
YEAR,"Jul 26, 2021",$0.02475,$0.02875,$0.02392,$0.02654,$94,$0
YEAR,"Jul 25, 2021",$0.02298,$0.02476,$0.02275,$0.02475,$109,$0
YEAR,"Jul 24, 2021",$0.02317,$0.02411,$0.02251,$0.02296,$92,$0
YEAR,"Jul 23, 2021",$0.02197,$0.02333,$0.02178,$0.02316,$81,$0
YEAR,"Jul 22, 2021",$0.02216,$0.0228,$0.02138,$0.02198,$89,$0
YEAR,"Jul 21, 2021",$0.02057,$0.02325,$0.0202,$0.02215,$75,$0
YEAR,"Jul 20, 2021",$0.02096,$0.02179,$0.01967,$0.02057,$78,$0
YEAR,"Jul 19, 2021",$0.02226,$0.02264,$0.02053,$0.02096,$79,$0
YEAR,"Jul 18, 2021",$0.02144,$0.02252,$0.02112,$0.02225,$84,$0
YEAR,"Jul 17, 2021",$0.02137,$0.02259,$0.02098,$0.02144,$81,$0
YEAR,"Jul 16, 2021",$0.02161,$0.02278,$0.02093,$0.02137,$89,$0
YEAR,"Jul 15, 2021",$0.02265,$0.0232,$0.02093,$0.02156,$89,$0
YEAR,"Jul 14, 2021",$0.02256,$0.02313,$0.02151,$0.02265,$79,$0
YEAR,"Jul 13, 2021",$0.02321,$0.02366,$0.02162,$0.02256,$75,$0
YEAR,"Jul 12, 2021",$0.02363,$0.02447,$0.02199,$0.02321,$92,$0
