symbol,date,open,high,low,close,volume,marketCap
YLD,"Oct 29, 2021",$9.76,$11.82,$9.68,$11.60,"$11,299",$0
YLD,"Oct 28, 2021",$9.40,$9.75,$8.13,$9.75,"$25,285",$0
YLD,"Oct 27, 2021",$10.53,$10.83,$8.94,$9.39,"$32,292",$0
YLD,"Oct 26, 2021",$12.56,$12.99,$10.47,$10.53,"$12,312",$0
YLD,"Oct 25, 2021",$14.36,$14.64,$12.21,$12.53,"$23,384",$0
YLD,"Oct 24, 2021",$12.68,$14.85,$12.19,$14.38,"$16,934",$0
YLD,"Oct 23, 2021",$12.68,$13.30,$12.13,$12.67,"$2,902",$0
YLD,"Oct 22, 2021",$12.91,$13.21,$12.52,$12.67,$0,$0
YLD,"Oct 21, 2021",$11.85,$14.18,$11.75,$12.92,"$17,568",$0
YLD,"Oct 20, 2021",$13.84,$14.23,$10.73,$11.87,"$66,578",$0
YLD,"Oct 19, 2021",$13.61,$13.96,$13.43,$13.90,$925,$0
YLD,"Oct 18, 2021",$14.03,$14.24,$13.46,$13.61,$801,$0
YLD,"Oct 17, 2021",$14.11,$15.48,$13.50,$14.02,"$33,153",$0
YLD,"Oct 16, 2021",$15.51,$15.82,$13.87,$14.11,"$13,385",$0
YLD,"Oct 15, 2021",$14.93,$15.61,$14.60,$15.49,"$1,948",$0
YLD,"Oct 14, 2021",$16.04,$16.48,$14.78,$14.95,"$11,945",$0
YLD,"Oct 13, 2021",$16.79,$16.89,$14.03,$16.03,"$28,647",$0
YLD,"Oct 12, 2021",$18.07,$18.12,$16.63,$16.79,"$11,164",$0
YLD,"Oct 11, 2021",$17.54,$18.45,$17.42,$18.08,$0,$0
YLD,"Oct 10, 2021",$18.17,$18.93,$17.54,$17.55,"$9,359",$0
YLD,"Oct 09, 2021",$16.94,$18.48,$16.70,$18.19,"$33,596",$0
YLD,"Oct 08, 2021",$17.18,$17.61,$16.31,$16.94,"$10,664",$0
YLD,"Oct 07, 2021",$17.12,$17.75,$16.65,$17.20,$0,$0
YLD,"Oct 06, 2021",$17.12,$17.71,$16.20,$17.11,"$24,656",$0
YLD,"Oct 05, 2021",$18.32,$18.38,$16.67,$17.15,"$13,568",$0
YLD,"Oct 04, 2021",$19.08,$19.12,$18.03,$18.32,"$6,060",$0
YLD,"Oct 03, 2021",$18.40,$19.60,$18.23,$19.08,"$13,301",$0
YLD,"Oct 02, 2021",$19.21,$19.36,$18.26,$18.42,"$8,903",$0
YLD,"Oct 01, 2021",$16.46,$19.32,$16.34,$19.21,"$13,227",$0
