symbol,date,open,high,low,close,volume,marketCap
ZUT,"Oct 29, 2021",$741.72,$793.10,$735.96,$778.50,"$2,220","$754,173"
ZUT,"Oct 28, 2021",$680.18,$741.31,$673.01,$740.93,$0,"$717,780"
ZUT,"Oct 27, 2021",$714.45,$742.78,$669.76,$679.25,$136,"$658,030"
ZUT,"Oct 26, 2021",$732.69,$768.63,$702.77,$714.81,$0,"$692,476"
ZUT,"Oct 25, 2021",$704.25,$735.80,$699.59,$731.26,$0,"$708,417"
ZUT,"Oct 24, 2021",$720.79,$738.46,$687.23,$705.34,$0,"$683,302"
ZUT,"Oct 23, 2021",$685.83,$731.38,$682.38,$720.11,$0,"$697,610"
ZUT,"Oct 22, 2021",$702.23,$718.69,$681.71,$685.35,$755,"$663,932"
ZUT,"Oct 21, 2021",$722.02,$753.66,$702.41,$702.98,"$2,131","$681,014"
ZUT,"Oct 20, 2021",$705.69,$723.27,$668.59,$723.27,"$5,292","$700,674"
ZUT,"Oct 19, 2021",$694.89,$711.91,$684.92,$708.99,"$1,424","$686,839"
ZUT,"Oct 18, 2021",$709.78,$720.47,$687.31,$694.84,$0,"$673,132"
ZUT,"Oct 17, 2021",$722.06,$733.77,$683.05,$709.12,"$1,411","$686,964"
ZUT,"Oct 16, 2021",$733.23,$741.91,$715.60,$722.08,$791,"$699,519"
ZUT,"Oct 15, 2021",$712.67,$737.94,$697.10,$732.22,"$1,023","$709,344"
ZUT,"Oct 14, 2021",$692.49,$714.56,$671.14,$713.52,"$4,652","$691,227"
ZUT,"Oct 13, 2021",$676.41,$693.25,$662.49,$692.04,$302,"$670,419"
ZUT,"Oct 12, 2021",$692.42,$693.01,$660.63,$676.15,"$1,017","$655,024"
ZUT,"Oct 11, 2021",$672.04,$706.97,$667.40,$692.87,$0,"$671,225"
ZUT,"Oct 10, 2021",$701.38,$701.74,$672.16,$672.66,$424,"$651,645"
ZUT,"Oct 09, 2021",$696.93,$707.29,$692.14,$702.18,$0,"$680,238"
ZUT,"Oct 08, 2021",$703.19,$715.45,$692.83,$697.16,$0,"$675,379"
ZUT,"Oct 07, 2021",$700.97,$726.65,$681.46,$704.06,$0,"$682,058"
ZUT,"Oct 06, 2021",$687.88,$707.66,$655.67,$700.54,$0,"$678,656"
ZUT,"Oct 05, 2021",$674.90,$700.15,$664.40,$689.04,"$4,559","$667,514"
ZUT,"Oct 04, 2021",$638.88,$681.70,$619.16,$674.73,"$5,907","$653,649"
ZUT,"Oct 03, 2021",$633.62,$652.01,$627.83,$638.60,$0,"$618,646"
ZUT,"Oct 02, 2021",$617.62,$645.22,$610.12,$634.55,$199,"$614,722"
ZUT,"Oct 01, 2021",$562.17,$621.36,$558.35,$617.57,$0,"$598,275"
ZUT,"Sep 30, 2021",$532.22,$568.85,$531.75,$562.16,$0,"$544,595"
ZUT,"Sep 29, 2021",$525.65,$550.91,$524.40,$532.83,$0,"$516,179"
ZUT,"Sep 28, 2021",$555.48,$560.61,$525.21,$526.31,$511,"$509,870"
ZUT,"Sep 27, 2021",$591.94,$613.30,$555.43,$555.43,"$2,246","$538,081"
ZUT,"Sep 26, 2021",$568.98,$602.09,$534.69,$592.28,$33,"$573,774"
ZUT,"Sep 25, 2021",$566.36,$572.09,$548.24,$569.09,$0,"$551,311"
ZUT,"Sep 24, 2021",$610.55,$612.05,$539.80,$566.17,$0,"$548,481"
ZUT,"Sep 23, 2021",$598.70,$620.54,$592.23,$610.48,"$5,615","$591,404"
ZUT,"Sep 22, 2021",$517.97,$601.02,$517.97,$599.00,"$3,126","$580,281"
ZUT,"Sep 21, 2021",$544.13,$581.18,$511.99,$518.06,"$2,046","$501,871"
ZUT,"Sep 20, 2021",$608.31,$609.29,$541.51,$544.63,$0,"$527,614"
ZUT,"Sep 19, 2021",$625.36,$636.73,$604.67,$608.27,"$1,529","$589,269"
ZUT,"Sep 18, 2021",$692.82,$717.83,$622.27,$625.06,"$10,257","$605,532"
ZUT,"Sep 17, 2021",$744.09,$747.77,$685.09,$692.38,"$2,235","$670,745"
ZUT,"Sep 16, 2021",$703.82,$746.54,$693.62,$744.66,"$6,192","$721,395"
ZUT,"Sep 15, 2021",$642.83,$704.39,$640.53,$703.58,"$3,467","$681,600"
ZUT,"Sep 14, 2021",$621.22,$644.72,$620.07,$642.66,"$1,290","$622,579"
ZUT,"Sep 13, 2021",$643.17,$648.17,$594.97,$621.20,$0,"$601,791"
ZUT,"Sep 12, 2021",$631.15,$668.02,$626.57,$643.28,"$2,144","$623,179"
ZUT,"Sep 11, 2021",$621.10,$646.07,$620.41,$631.35,$0,"$611,625"
ZUT,"Sep 10, 2021",$726.47,$742.34,$614.25,$621.03,"$8,125","$601,624"
ZUT,"Sep 09, 2021",$735.48,$752.23,$722.66,$726.51,$72,"$703,812"
ZUT,"Sep 08, 2021",$735.80,$754.39,$685.25,$739.95,"$1,113","$716,833"
ZUT,"Sep 07, 2021",$844.11,$847.36,$706.31,$735.14,$0,"$712,169"
ZUT,"Sep 06, 2021",$851.37,$859.68,$834.57,$844.35,"$2,068","$817,972"
ZUT,"Sep 05, 2021",$837.47,$855.08,$829.30,$851.24,$0,"$824,640"
ZUT,"Sep 04, 2021",$826.22,$851.97,$821.62,$837.14,"$2,855","$810,985"
ZUT,"Sep 03, 2021",$795.86,$840.04,$783.73,$826.42,$83,"$800,598"
ZUT,"Sep 02, 2021",$796.55,$802.69,$784.38,$796.03,$0,"$771,157"
ZUT,"Sep 01, 2021",$719.48,$796.18,$712.16,$796.18,$0,"$771,306"
ZUT,"Aug 31, 2021",$682.19,$721.77,$677.35,$719.65,$793,"$697,170"
ZUT,"Aug 30, 2021",$700.29,$719.37,$680.76,$682.52,"$2,042","$661,200"
