,symbol,date,open,high,low,close,volume,marketCap
0,erowan,"Oct 19, 2021",$0.3011,$0.3391,$0.3002,$0.3374,"$616,057","$84,106,707"
1,erowan,"Oct 18, 2021",$0.3499,$0.3558,$0.3003,$0.3011,"$401,539","$74,958,341"
2,erowan,"Oct 17, 2021",$0.363,$0.3906,$0.292,$0.3496,"$879,333","$86,911,379"
3,erowan,"Oct 16, 2021",$0.3917,$0.4303,$0.3552,$0.363,"$1,086,644","$90,121,157"
4,erowan,"Oct 15, 2021",$0.42,$0.425,$0.3845,$0.3917,"$619,746","$96,810,746"
5,erowan,"Oct 14, 2021",$0.3984,$0.433,$0.3921,$0.4201,"$610,780","$99,308,597"
6,erowan,"Oct 13, 2021",$0.3958,$0.4299,$0.3754,$0.3983,"$846,252","$94,027,959"
7,erowan,"Oct 12, 2021",$0.4004,$0.4159,$0.3748,$0.3958,"$949,519","$93,295,967"
8,erowan,"Oct 11, 2021",$0.4489,$0.4777,$0.3996,$0.4004,"$596,950","$90,868,132"
9,erowan,"Oct 10, 2021",$0.4494,$0.4775,$0.4118,$0.4491,"$804,599",$0
10,erowan,"Oct 09, 2021",$0.4506,$0.4889,$0.3977,$0.4496,"$1,050,024",$0
11,erowan,"Oct 08, 2021",$0.4539,$0.486,$0.4348,$0.4506,"$704,775",$0
12,erowan,"Oct 07, 2021",$0.4704,$0.4793,$0.431,$0.4539,"$1,082,263",$0
13,erowan,"Oct 06, 2021",$0.3995,$0.4713,$0.3773,$0.4705,"$1,945,623",$0
14,erowan,"Oct 05, 2021",$0.3536,$0.4043,$0.3407,$0.3996,"$1,696,656",$0
15,erowan,"Oct 04, 2021",$0.3328,$0.3657,$0.3252,$0.3536,"$1,093,814",$0
16,erowan,"Oct 03, 2021",$0.3054,$0.3617,$0.3019,$0.3327,"$1,412,232",$0
17,erowan,"Oct 02, 2021",$0.3298,$0.3337,$0.2985,$0.3055,"$874,044",$0
18,erowan,"Oct 01, 2021",$0.2763,$0.3437,$0.2732,$0.3298,"$1,201,346",$0
19,erowan,"Sep 30, 2021",$0.2657,$0.2928,$0.262,$0.2763,"$582,567",$0
20,erowan,"Sep 29, 2021",$0.2628,$0.2929,$0.2554,$0.2657,"$1,222,220",$0
21,erowan,"Sep 28, 2021",$0.2693,$0.2749,$0.2449,$0.2629,"$648,104",$0
22,erowan,"Sep 27, 2021",$0.2787,$0.2931,$0.2389,$0.2693,"$969,332",$0
23,erowan,"Sep 26, 2021",$0.2863,$0.3001,$0.2582,$0.2787,"$880,484",$0
24,erowan,"Sep 25, 2021",$0.3139,$0.3259,$0.2846,$0.2864,"$1,460,089",$0
25,erowan,"Sep 24, 2021",$0.2884,$0.319,$0.243,$0.3139,"$3,563,921",$0
26,erowan,"Sep 23, 2021",$0.225,$0.2978,$0.2179,$0.2884,"$3,460,483",$0
27,erowan,"Sep 22, 2021",$0.1733,$0.2786,$0.1731,$0.225,"$817,211",$0
28,erowan,"Sep 21, 2021",$0.204,$0.2091,$0.169,$0.1732,"$506,438",$0
29,erowan,"Sep 20, 2021",$0.2354,$0.2395,$0.2018,$0.2041,"$488,046",$0
30,erowan,"Sep 19, 2021",$0.2688,$0.2689,$0.2234,$0.2354,"$455,060",$0
31,erowan,"Sep 18, 2021",$0.224,$0.2691,$0.2188,$0.2688,"$702,263",$0
32,erowan,"Sep 17, 2021",$0.2313,$0.2421,$0.2174,$0.2239,"$448,053",$0
33,erowan,"Sep 16, 2021",$0.2473,$0.2658,$0.2011,$0.2313,"$2,318,810",$0
34,erowan,"Sep 15, 2021",$0.2439,$0.2584,$0.2282,$0.247,"$671,746",$0
35,erowan,"Sep 14, 2021",$0.262,$0.2639,$0.2311,$0.2439,"$874,745",$0
36,erowan,"Sep 13, 2021",$0.2658,$0.2872,$0.2351,$0.262,"$851,641",$0
37,erowan,"Sep 12, 2021",$0.2583,$0.2757,$0.2432,$0.2659,"$993,350",$0
38,erowan,"Sep 11, 2021",$0.2788,$0.3199,$0.2541,$0.2583,"$1,006,517",$0
